,Number,Name,Position,Height,Weight,Class,Hometown,High School,Current School Name,Previous School,Twitter,Instagram
87,87.0,Addison Ostrenga,TE,6-4,234 lbs.,So.,"Sun Prairie, Wis.",Sun Prairie,Iowa,,,
88,88.0,Hayden Large,TE,6-5,240 lbs.,Sr.,"Hudsonville, Mich.",Unity Christian,Iowa,Dordt College,,
89,89.0,Nico Ragaini,WR,6-0,196 lbs.,Sr.,"East Haven, Conn.",Notre Dame,Iowa,Avon Old Farms Prep,,
90,90.0,Brian Allen,DE,6-4,263 lbs.,RS Fr.,"Lake in the Hills, Ill.",St. Thomas More HS (Conn.),Iowa,,,
91,93.0,Anu Dokun,DE,6-3,230 lbs.,Jr.,"Iowa City, Iowa",West,Iowa,,,
92,94.0,Yahya Black,DL,6-5,306 lbs.,Jr.,"Marshall, Minn.",Marshall,Iowa,,,
93,95.0,Aaron Graves,DL,6-4,271 lbs.,So.,"Dayton, Iowa",Southeast Valley,Iowa,,,
94,97.0,Caden Crawford,DL,6-4,253 lbs.,RS Fr.,"Lansing, Kan.",Lansing,Iowa,,,
95,97.0,Liam Reardon,LS,6-1,223 lbs.,Jr.,"Chicago, Ill.",Mount Carmel,Iowa,,,
96,98.0,Chris Reames,DL,6-7,274 lbs.,Sr.,"Van Meter, Iowa",Van Meter,Iowa,,,
97,99.0,Max Hoskins,P,6-1,175 lbs.,RS Fr.,"Salem, Ore.",Blanchet Catholic,Iowa,,,
98,99.0,Noah Shannon,DL,6-0,289 lbs.,Sr.,"Aurora, Ill.",Oswego,Iowa,,,
0,,Kirk Ferentz,Moon Family Head Football Coach,,,,,,Iowa,,-,-
1,,Brian Ferentz,Offensive Coordinator/Quarterbacks,,,,,,Iowa,,-,-
2,,Phil Parker,Defensive Coordinator/Secondary,,,,,,Iowa,,@CoachParkerIowa,-
3,,LeVar Woods,Special Teams Coordinator,,,,,,Iowa,,@LeVarWoods,-
4,,George Barnett,Offensive Line,,,,,,Iowa,,@CoachBarnett_OL,-
5,,Kelvin Bell,Defensive Line,,,,,,Iowa,,@CoachK_Bell,-
6,,Ladell Betts,Running Backs,,,,,,Iowa,,@LadellBetts46,-
7,,Kelton Copeland,Wide Receivers,,,,,,Iowa,,@CopelandKelton,-
8,,Abdul Hodge,Tight Ends/Fullbacks,,,,,,Iowa,,-,-
9,,Jay Niemann,Assistant Defensive Line Coach/Defensive Recruiting Coordinator,,,,,,Iowa,,-,-
10,,Seth Wallace,Assistant Defensive Coordinator/Linebackers,,,,,,Iowa,,@CoachSWallace,-
11,,Raimond Braithwaite,"Director, Strength & Conditioning",,,,,,Iowa,,-,-
12,,Drew Heitland,"Assistant, Strength & Conditioning",,,,,,Iowa,,-,-
13,,Kohle Helle,"Assistant, Strength & Conditioning",,,,,,Iowa,,-,-
14,,Cody Myers,"Assistant, Strength & Conditioning",,,,,,Iowa,,-,-
15,,John Engelbrecht,Assistant Strength and Conditioning Coach,,,,,,Iowa,,-,-
16,,Paul Federici,"Director, Football Operations",,,,,,Iowa,,-,-
17,,Ben Hansen,Director of Football Administration and Engagement,,,,,,Iowa,,-,-
18,,Jason Manson,Klein Family Director of Player Development,,,,,,Iowa,,-,-
19,,Sam Brincks,"Assistant Director, Player Development",,,,,,Iowa,,-,-
20,,Scott Southmayd,"Director, Player Personnel",,,,,,Iowa,,-,-
21,,Tyler Barnes,"Director, Recruiting/NFL Liaison",,,,,,Iowa,,@TylerBarnesIOWA,-
22,,Christopher Browne,Football Recruiting Specialist,,,,,,Iowa,,-,-
23,,Matt Spaulding,Football Recruiting Specialist,,,,,,Iowa,,-,-
24,,Ireland Hostetler,Recruiting Operations and Special Events Coordinator,,,,,,Iowa,,-,-
25,,Justin Elsner,Director of Football Creative Media,,,,,,Iowa,,-,-
26,,Eric Copeland,Graduate Assistant,,,,,,Iowa,,-,-
27,,Adam Cox,Graduate Assistant,,,,,,Iowa,,-,-
28,,Justin Flood,Graduate Assistant,,,,,,Iowa,,-,-
29,,Austin Showalter,"Director, Football Analytics",,,,,,Iowa,,-,-
30,,Tyler Parker,Football Analyst,,,,,,Iowa,,-,-
31,,Brock Sherman,Football Analyst,,,,,,Iowa,,-,-
32,,Shane Viilo,Football Analyst,,,,,,Iowa,,-,-
33,,Bob Rahfeldt,"Director, Football Video Operations",,,,,,Iowa,,-,-
34,,Parker Dilley,Associate Director of Football Video Operations,,,,,,Iowa,,-,-
35,,Owen Cooper,"Assistant Director, Football Video Operations",,,,,,Iowa,,-,-
