,NO,Name,Ht.,Wt.,Pos,CL,Hometown / High School,Twitter,Current School Name,Instagram
74,73,Madden Sanker,6' 4'',310,OL,Fr.,"Douglasville, Ga. / South Paulding",MaddenSanker,Louisville,
75,75,Aaron Gunn,6' 4'',300,OL,R-So.,"Newcastle, Pa. / Union Area",@aarongunn77,Louisville,
76,76,Luke Burgess,6' 8'',300,OL,Fr.,"New Palestine, Ind. / New Palestine",lsburgess098,Louisville,
77,79,Makhete Gueye,6' 7'',300,OL,So.,"Bradenton, Fla. / Venice Senior",,Louisville,
78,80,Chris Bell,6' 2'',225,WR,So.,"Yazoo City, Miss. / Greenville Christian",,Louisville,
79,81,Christian Henry,6' 1'',185,WR,R-So.,"Concord, N.C. / Cox Mill",,Louisville,
80,81,Cataurus Hicks,5' 10'',170,WR,Fr.,"Miami, Fla. / Miami Central",BlueCataurus,Louisville,bluehunnitss_
81,82,Gerald Hanson,6' 1'',215,WR,So.,"Klein, Texas / Klein",H16hanson,Louisville,Gerald.4th
82,83,Chance Morrow,6' 6'',195,WR,So.,"Charlotte, N.C. / West Charlotte",chancemorrow61,Louisville,
83,84,Dez Melton,6' 3'',245,TE,R-Jr.,"Glendale, Ariz. / Deer Valley",bigdes01,Louisville,dez_melton
84,85,Nate Kurisky,6' 3'',230,TE,So.,"Washington, D.C. / Gonzaga",NateKurisky,Louisville,
85,86,Elijah Downing,6' 5'',200,WR,R-So.,"Louisville, Ky. / Ballard",elijahdowning_,Louisville,elijahdowning_
86,88,William Fowles,6' 3'',210,WR,Fr.,"Hialeah, Fla. / Dade Christian",wfowles9,Louisville,
87,89,Gage Reale,6' 3'',230,TE,So.,"Charlotte, N.C. / Charlotte Christian",GageReale3,Louisville,
88,90,Jermayne Lole,6' 3'',320,DL,Gr.,"Long Beach, Calif. / Long Beach Poly",JermayneLole,Louisville,
89,91,Tawfiq Thomas,6' 4'',310,DL,So.,"Tampa, Fla. / Gaither",TawfiqThomas,Louisville,
90,93,Jared Dawson,6' 2'',305,DL,R-So.,"Collierville, Tenn. / Collierville",jareddawson92,Louisville,jared.dawson
91,93,Brady Hodges,6' 1'',200,P,Jr.,"Knoxville, Tenn. / Farragut",Bradyhodges2,Louisville,Brady_hodges
92,94,Cole Hussung,5' 10'',195,K,So.,"Floyd Knobs, Ind. / Floyd Central",ColeHussung,Louisville,
93,95,Mason Reiger,6' 4'',250,DL,Jr.,"Hoffman Estates, Ill. / Conant",reiger_mason,Louisville,masonreiger02
94,96,R.J. Sorensen,6' 3'',255,DL,R-So.,"West Palm Beach, Fla / St. Thomas Aquinas",rjsorensen13,Louisville,rjsorensen_
95,97,Rodney McGraw,6' 5'',270,DL,So.,"Chicago, Ill. / Elkhart",,Louisville,
96,98,Adonijah Green,6' 6'',220,DL,Fr.,"Ellenwood, Ga. / Cedar Grove",,Louisville,
97,99,Dezmond Tell,6' 1'',290,DL,Jr.,"Stockbridge, Ga. / Dutchtown",Dtell_,Louisville,dtell.99
