,Statistic,No.,Name,Pos.,Ht.,Wt.,Year,Hometown / Previous School,Image,Title
131,,,Ismael Smith Flores,TE,6-4,230.0,Fr.,"Crowley, Texas / Arlington Martin",,
132,,,Rahmir Stewart,DB,6-0,195.0,Fr.,"Philadelphia, Pa. / Imhotep Institute",,
133,,,Brice Turner,WR,6-1,175.0,Fr.,"Bay City, Texas / Bay City",,
134,,,Riley Van Poppel,DL,6-5,275.0,Fr.,"Argyle, Texas / Argyle",,
135,,,Gage Wager,RB,5-10,185.0,Fr.,"Arlington, Texas / Arlington Martin",,
0,,,Matt Rhule,,,,,,,Head Coach
1,,,Tony White,,,,,,,Associate Head Coach / Defensive Coordinator
2,,,Marcus Satterfield,,,,,,,Offensive Coordinator
3,,,Ed Foley,,,,,,,Special Teams Coordinator
4,,,E.J. Barthel,,,,,,,Assistant Coach - Running Backs
5,,,Evan Cooper,,,,,,,Assistant Coach - Secondary/Defensive Pass Game Coordinator
6,,,Rob Dvoracek,,,,,,,Assistant Coach - Linebackers
7,,,Terrance Knighton,,,,,,,Assistant Coach - Defensive Line
8,,,Garret McGuire,,,,,,,Assistant Coach - Wide Receivers
9,,,Donovan Raiola,,,,,,,Assistant Coach - Offensive Line
10,,,Bob Wager,,,,,,,Assistant Coach - Tight Ends
11,,,Corey Campbell,,,,,,,Head Football Strength & Conditioning Coach
