,Number,Name,Position,Height,Weight,Class,Hometown,High school,Current School Name,Previous School,Social
66,68.0,Kenneth Horsey,Offensive Lineman,6-3,311 lbs.,Redshirt Fifth Year,"Sanford, Fla.",Sanford Seminole,Kentucky,,twitter  instagram  nil
67,69.0,Marques Cox,Offensive Lineman,6-5,311 lbs.,Senior,"Peoria, Ill.",Peoria,Kentucky,Northern Illinois,
68,70.0,Nikolas Hall,Offensive Lineman,6-6,314 lbs.,Redshirt Freshman,"Austin, Texas",Akins,Kentucky,,twitter  instagram
69,71.0,Malachi Wood,Offensive Lineman,6-8,283 lbs.,Freshman,"Richmond, Ky.",Madison Central,Kentucky,,
70,72.0,Josh Jones,Offensive Lineman,6-6,343 lbs.,Junior,"Columbus, Ga.",Central-Phenix City-Ala.,Kentucky,,twitter  instagram
71,74.0,David Wohlabaugh Jr.,Offensive Lineman,6-6,321 lbs.,Sophomore,"Stow, Ohio",Walsh Jesuit,Kentucky,,twitter  instagram
72,75.0,Eli Cox,Offensive Lineman,6-4,311 lbs.,Senior,"Nicholasville, Ky.",West Jessamine,Kentucky,,twitter  instagram  nil
73,77.0,Jeremy Flax,Offensive Lineman,6-6,325 lbs.,Senior,"Detroit, Mich.",Robichaud,Kentucky,Independence CC,twitter  instagram
74,80.0,Brenden Bates,Tight End,6-5,251 lbs.,Redshirt Fifth Year,"Cincinnati, Ohio",Archbishop Moeller,Kentucky,,twitter  instagram  nil
75,81.0,Cole Lanter,Wide Receiver,5-11,182 lbs.,Sophomore,"Danville, Ky.",Boyle County,Kentucky,,twitter  instagram
76,82.0,Khamari Anderson,Tight End,6-5,238 lbs.,Freshman,"Detroit, Mich.",Cass Tech,Kentucky,,instagram
77,83.0,Jack Monday,Tight End,6-1,224 lbs.,Sophomore,"Lexington, Ky.",Lexington Catholic,Kentucky,,twitter  instagram
78,84.0,Josh Kattus,Tight End,6-4,231 lbs.,Sophomore,"Cincinnati, Ohio",Archbishop Moeller,Kentucky,,twitter  instagram
79,85.0,Jordan Dingle,Tight End,6-4,238 lbs.,Sophomore,"Bowling Green, Ky.",Bowling Green,Kentucky,,twitter  instagram
80,86.0,Dylan Gary,Wide Receiver,6-4,198 lbs.,Sophomore,"Sugar Hill, Ga.",North Gwinnett,Kentucky,,twitter  instagram
81,87.0,Josh Terrell,Wide Receiver,5-10,189 lbs.,Sophomore,"Fort Worth, Texas",Grapevine Faith Christian,Kentucky,,
82,90.0,Tre’vonn Rybka,Defensive Lineman,6-4,276 lbs.,Junior,"Dickson, Tenn.",Dickson County,Kentucky,,twitter  instagram
83,91.0,Sam Anaele,Defensive Lineman,6-4,286 lbs.,Junior,"Lagos, Nigeria","McDougle Technical Institute (Pompano Beach, Fla.)",Kentucky,,twitter  instagram
84,92.0,Kahlil Saunders,Defensive Lineman,6-5,285 lbs.,Sophomore,"Huntsville, Ala.",Grissom,Kentucky,,twitter  instagram
85,93.0,Wilson Berry,Punter,6-4,213 lbs.,Sophomore,"Maribyrnong, Australia",Maribyrnong College,Kentucky,,twitter
86,95.0,Jamarius Dinkins,Defensive Lineman,6-5,280 lbs.,Sophomore,"Columbus, Ohio",Walnut Ridge,Kentucky,,twitter  instagram
87,96.0,Tommy Ziesmer,Defensive Lineman,6-2,257 lbs.,Freshman,"Danville, Ky.",Boyle County,Kentucky,,
88,97.0,Josaih Hayes,Defensive Lineman,6-3,317 lbs.,Senior,"Horn Lake, Miss.",Horn Lake,Kentucky,,twitter  instagram
89,98.0,Isaiah Beasley,Defensive Lineman,5-11,292 lbs.,Senior,"Radcliff, Ky.",North Hardin,Kentucky,,twitter  instagram
0,,Mark Stoops,Head Coach,,,,,,Kentucky,,
1,,Vince Marrow,Associate Head Coach/Tight Ends/Recruiting Coordinator/NFL Liaison,,,,,,Kentucky,,
2,,Brad White,Defensive Coordinator / Outside Linebackers,,,,,,Kentucky,,
3,,Liam Coen,Offensive Coordinator/Quarterbacks,,,,,,Kentucky,,
4,,Jay Boulware,Running Backs/Special Teams Coordinator,,,,,,Kentucky,,
5,,Frank Buffano,Assistant Coach - Safeties,,,,,,Kentucky,,
6,,Chris Collins,Assistant Coach - Defensive Backs,,,,,,Kentucky,,
7,,Anwar Stewart,Assistant Coach - Defensive Line,,,,,,Kentucky,,
8,,Mike Stoops,Assistant Coach - Inside Linebackers,,,,,,Kentucky,,
9,,Scott Woodward,Assistant Coach - Wide Receivers,,,,,,Kentucky,,
10,,Zach Yenser,Assistant Coach - Offensive Line,,,,,,Kentucky,,
11,,Corey Edmond,Director of Performance – Football,,,,,,Kentucky,,
12,,Mark Hill,Director of Performance / Head Strength Coach – Football,,,,,,Kentucky,,
13,,Rafael Horton,Strength & Conditioning Coach,,,,,,Kentucky,,
14,,Tyler Malone,Assistant Strength Coach (FB),,,,,,Kentucky,,
15,,Bryan Berezowitz,Quality Control,,,,,,Kentucky,,
16,,Josh Estes-Waugh,Quality Control,,,,,,Kentucky,,
17,,Mark Perry,Quality Control,,,,,,Kentucky,,
18,,Joe Scola,Quality Control,,,,,,Kentucky,,
19,,C.J. Conrad,Quality Control - Offense,,,,,,Kentucky,,
20,,Mike Priefer Jr.,Quality Control - Special Teams,,,,,,Kentucky,,
21,,Eddie Gran,Special Assistant to the Head Coach,,,,,,Kentucky,,
22,,Cam Garner,Graduate Assistant – Offense - Off the Field,,,,,,Kentucky,,
23,,Dan Hebert,Graduate Assistant - Offense - Off the Field,,,,,,Kentucky,,
24,,Kalon Humphries,Graduate Assistant – Defense,,,,,,Kentucky,,
25,,Drake Jackson,Graduate Assistant - Offense,,,,,,Kentucky,,
26,,Courtney Love,Graduate Assistant (Defense),,,,,,Kentucky,,
27,,Andrew Verboys,Graduate Assistant – Offense,,,,,,Kentucky,,
28,,Chris Morris,Director of Performance Science,,,,,,Kentucky,,
29,,Josh Pruitt,Director of Football Operations,,,,,,Kentucky,,
30,,Tim Owens,Director of Player Development,,,,,,Kentucky,,
31,,Chase Heuke,Director of Recruiting/General Manager,,,,,,Kentucky,,
32,,Jacob Noger,Creative Coordinator,,,,,,Kentucky,,
33,,Brian Moriarty,Assistant Creative Director,,,,,,Kentucky,,
34,,Robert Franco,Visual Media Coordinator/Recruit Producer,,,,,,Kentucky,,
35,,Becky Sauceda,Football Dietitian,,,,,,Kentucky,,
36,,Alyssa Kuman,Graduate Assistant Dietitian,,,,,,Kentucky,,
37,,Christian Fiero,Coaching Video Coordinator (FB),,,,,,Kentucky,,
38,,Danielle Braswell,Executive Director of Recruiting,,,,,,Kentucky,,
39,,Stephen Gillette,Assistant Director of Scouting & Analytics,,,,,,Kentucky,,
40,,Andrew Hunter,Assistant Director of Player Personnel (Defense),,,,,,Kentucky,,
41,,Ty Williams,Football Recruiting Assistant,,,,,,Kentucky,,
42,,Brinkley Berch,Recruiting – Graduate Assistant,,,,,,Kentucky,,
43,,Abby Stover,Administrative Assistant,,,,,,Kentucky,,
44,,Melissa Tomlinson,Administrative Assistant,,,,,,Kentucky,,
