,Statistic,#,Full Name,Pos.,Ht.,Wt.,Class,Hometown,Current School Name,Image,Name,Title
75,,83.0,Craig Kinsey,WR,6-1,190.0,R-Jr.,"Abbeville, Ala.",Jacksonville State,,,
76,,85.0,Peyton Otte,WR,5-11,190.0,Rf.,"Maria Stein, Ohio",Jacksonville State,,,
77,,87.0,Jack Dawson,P,6-3,190.0,Jr.,"Sylvania Waters, Australia",Jacksonville State,,,
78,,88.0,Jordan McCants,WR,6-0,170.0,Rf.,"Birmingham, Ala.",Jacksonville State,,,
79,,89.0,Myles McGuire,BAN,5-10,250.0,Jr.,"Fayetteville, Ga.",Jacksonville State,,,
80,,89.0,Brock Rechsteiner,TE,6-3,207.0,R-So.,"Woodstock, Ga.",Jacksonville State,,,
81,,90.0,Quinzavious Warren,DL,6-2,330.0,Jr.,"Canton, Miss.",Jacksonville State,,,
82,,91.0,Chris Hardie,DL,6-2,260.0,R-Jr.,"Vincent, Ala.",Jacksonville State,,,
83,,92.0,Jackson Luttrell,DL,6-3,280.0,Sr.,"Rainbow City, Ala.",Jacksonville State,,,
84,,93.0,Chuck Taylor,DT,6-2,295.0,So.,"Auburndale, Fla.",Jacksonville State,,,
85,,94.0,Jumarion Larry,DE,6-4,240.0,Rf.,"Hazlehurst, Miss.",Jacksonville State,,,
86,,95.0,Keyon Clark,DE,6-3,260.0,So.,"Tampa, Fla.",Jacksonville State,,,
87,,96.0,Darrell Prater,DL,6-3,265.0,Rf.,"Fort Payne, Ala.",Jacksonville State,,,
88,,97.0,Carson McCauley,K/P,5-11,185.0,R-So.,"Leo, Ind.",Jacksonville State,,,
89,,97.0,Brayden Wood,DL,6-2,285.0,R-So.,"Boulder, Colo.",Jacksonville State,,,
90,,98.0,Demareon Davis-Andrews,DL,6-3,234.0,Rf.,"Powder Springs, Ga.",Jacksonville State,,,
91,,99.0,Anthony Nesby,DL,6-1,315.0,R-Sr.,"Atlanta, Ga.",Jacksonville State,,,
0,,,,,,,,,Jacksonville State,,Rich Rodriguez,Head Football Coach
1,,,,,,,,,Jacksonville State,,Zac Alley,Defensive Coordinator/Linebackers
2,,,,,,,,,Jacksonville State,,Mike DiAngelo,Assistant Coach/Tight Ends & Inside Receivers
3,,,,,,,,,Jacksonville State,,Ryan Garrett,Assistant Coach/Wide Receivers
4,,,,,,,,,Jacksonville State,,William Green,Assistant Coach/Defensive Line
5,,,,,,,,,Jacksonville State,,Terry Jefferson,Assistant Coach/Cornerbacks
6,,,,,,,,,Jacksonville State,,Pat Kirkland,Special Teams Coordinator/Bandits
7,,,,,,,,,Jacksonville State,,Rod McDowell,Assistant Coach/Running Backs
8,,,,,,,,,Jacksonville State,,Kelvin Sigler,Assistant Coach/Safeties
9,,,,,,,,,Jacksonville State,,Rod Smith,Offensive Coordinator/Quarterbacks
10,,,,,,,,,Jacksonville State,,Rick Trickett,Assistant Coach/Offensive Line
11,,,,,,,,,Jacksonville State,,Blake McCall,Head Strength and Conditioning Coach
0,,,,,,,,,Jacksonville State,,Cole Dial,Dir. of Football Operations
1,,,,,,,,,Jacksonville State,,Dusty Rutledge,Football Chief of Staff
