,Statistic,#,Name,Pos.,Ht.,Wt.,Yr.,Exp.,Current School Name,Hometown,High School,Previous School,Major,Image,Title
113,,89.0,Brayden Liebrock,TE,6-4,228.0,Jr.,1L,Texas,"Chandler, Ariz.",Chandler,,Applied Movement Science,,
114,,90.0,Byron Murphy II,DL,6-1,302.0,So.,1L,Texas,"DeSoto, Texas",DeSoto,,Sport Management,,
115,,91.0,Ethan Burke,EDGE,6-6,245.0,Fr.,FR,Texas,"Austin, Texas",Westlake,,Undeclared,,
116,,93.0,T'Vondre Sweat,DL,6-4,346.0,Sr.,3L,Texas,"Huntsville, Texas",Huntsville,,Youth and Community Studies,,
117,,94.0,Jaray Bledsoe,DL,6-4,260.0,Fr.,FR,Texas,"Marlin, Texas",Marlin,,Undeclared,,
118,,95.0,Alfred Collins,DL,6-5,291.0,Jr.,2L,Texas,"Bastrop, Texas",Cedar Creek,,Human Dimensions of Organizations,,
119,,96.0,Gabriel Lozano,K,6-1,179.0,Sr.,SQ,Texas,"Austin, Texas",Westlake,Texas Tech,Human Dimensions of Organizations,,
120,,97.0,Kristopher Ross,DL,6-2,263.0,Fr.,FR,Texas,"Houston, Texas",North Shore,,Undeclared,,
121,,98.0,Moro Ojomo,DL,6-3,284.0,Sr.,3L,Texas,"Katy, Texas",Katy,,Business: Finance,,
122,,99.0,Keondre Coburn,DL,6-2,344.0,Sr.,3L,Texas,"Houston, Texas",Westfield,,Sport Management,,
0,,,Steve Sarkisian,,,,,,Texas,,,,,,Head Coach
1,,,Jeff Banks,,,,,,Texas,,,,,,Assistant Head Coach/Special Teams Coordinator/Tight Ends
2,,,Jeff Choate,,,,,,Texas,,,,,,Co-Defensive Coordinator/Inside Linebackers
3,,,Tashard Choice,,,,,,Texas,,,,,,Running Backs
4,,,Bo Davis,,,,,,Texas,,,,,,Defensive Line
5,,,Kyle Flood,,,,,,Texas,,,,,,Offensive Coordinator and Offensive Line
6,,,Blake Gideon,,,,,,Texas,,,,,,Safeties
7,,,Chris Jackson,,,,,,Texas,,,,,,Passing Game Coordinator and Wide Receivers
8,,,Terry Joseph,,,,,,Texas,,,,,,Defensive Passing Game Coordinator and Secondary
9,,,Pete Kwiatkowski,,,,,,Texas,,,,,,Defensive Coordinator and Outside Linebackers
10,,,AJ Milwee,,,,,,Texas,,,,,,Quarterbacks
11,,,Torre Becton,,,,,,Texas,,,,,,Director of Football Performance
