,Number,Name,Position,HT.,WT.,YEAR,HOMETOWN,LAST SCHOOL
6,,Tim Walton,Secondary Coach / Cornerbacks Coach,,,,,
7,,Perry Eliano,Safeties Coach,,,,,
8,,Mickey Marotti,"Assistant AD, Director of Football",,,,,
9,,Corey Dennis,Quarterbacks Coach,,,,,
10,,Parker Fleming,Special Teams Coordinator,,,,,
11,,Keenan Bailey,Tight Ends Coach,,,,,
12,,Todd Fitch,Senior Advisor/Analyst,,,,,
13,,Brent Zdebski,Quality Control - Defense,,,,,
14,,Rob Keys,Quality Control - Kicking,,,,,
15,,Sam McGrath,Quality Control - Defense,,,,,
16,,Joe Lyberger,Quality Control - Defense,,,,,
17,,James Laurinatis,Graduate Assistant - Defense,,,,,
18,,LaAllan Clark,Graduate Assistant - Defense,,,,,
19,,Mike Sollenne,"Graduate Assistant, Offense",,,,,
20,,Sean Binckes,Graduate Assistant - Offense,,,,,
21,,Riley Larkin,Program Assistant - Offense,,,,,
22,,Gunner Daniel,Program Assistant - Special Teams,,,,,
23,,Devin Jordan,Program Assistant - Offense,,,,,
24,,Gerren DuHart,Program Assistant - Defense,,,,,
25,,Joshua Chorba,Program Assistant - Defense,,,,,
