,Statistic,#,Full Name,Pos.,Ht.,Wt.,Academic Year,Major,Hometown / High School,Previous School,Twitter,Instagram,Opendorse,Image,Name,Title
3,,,,,,,,,,,,,,,Lance Thompson,Inside Linebackers Coach
4,,,,,,,,,,,,,,,Elijah Brooks,Running Backs Coach
5,,,,,,,,,,,,,,,Henry Baker,Cornerbacks Coach
6,,,,,,,,,,,,,,,Brian Braswell,Offensive Line Coach
7,,,,,,,,,,,,,,,James Thomas Jr.,Special Teams Coordinator/Outside Linebackers
0,,,,,,,,,,,,,,,Abir Chaudhry,Director of Football Operations
1,,,,,,,,,,,,,,,Annie Peppard,Associate Director of Football Operations
2,,,,,,,,,,,,,,,Matt Konapelsky,Coordinator of Football Operations
3,,,,,,,,,,,,,,,Abby Gorun,Administrative Assistant to the Head Coach
4,,,,,,,,,,,,,,,Alana Tauber,Football Operations Assistant
5,,,,,,,,,,,,,,,Ryan Davis,Director of Football Strength and Conditioning
6,,,,,,,,,,,,,,,Wesley Bordelon,Associate Director of Football Strength & Conditioning
7,,,,,,,,,,,,,,,Jason Wooding,Assistant Strength and Conditioning Coach for Football
8,,,,,,,,,,,,,,,Brison Manor III,Assistant Strength and Conditioning Coach for Football
9,,,,,,,,,,,,,,,Jake Vieux,Assistant Strength & Conditioning Coach for Football
10,,,,,,,,,,,,,,,Sam Contorno,Coordinator of Sports Science
11,,,,,,,,,,,,,,,Jimmie Johnson,Offensive Analyst
12,,,,,,,,,,,,,,,AJ Reisig,Defensive Analyst
13,,,,,,,,,,,,,,,Louis Swaba,Quality Control - Offense
14,,,,,,,,,,,,,,,Grant Dickerson,Quality Control - Special Teams
15,,,,,,,,,,,,,,,Matt Simon,Quality Control - Defense
16,,,,,,,,,,,,,,,Kyle Edwards,Graduate Assistant - Offense
17,,,,,,,,,,,,,,,Brett Kulka,Graduate Assistant - Defense
18,,,,,,,,,,,,,,,Tim Morris,Graduate Assistant - Offense
19,,,,,,,,,,,,,,,Quincy Kahlert,Graduate Assistant - Defense
20,,,,,,,,,,,,,,,Jerry Prutos,Offensive Assistant
21,,,,,,,,,,,,,,,Erik Highsmith,Offensive Assistant
22,,,,,,,,,,,,,,,Kevin Glover,Director of Player Development
23,,,,,,,,,,,,,,,Charlie Harley,Director of Character & Leadership Development
24,,,,,,,,,,,,,,,Gerald Dixon,"General Manager, Recruiting"
25,,,,,,,,,,,,,,,Tommy Paolucci,Director of Recruiting Operations
26,,,,,,,,,,,,,,,Patty Maye Ohanian,Director of On-Campus Recruiting
27,,,,,,,,,,,,,,,Jeremy Shapiro,Coordinator of Player Personnel
28,,,,,,,,,,,,,,,Brantley Mathis,Recruiting Analyst Assistant
29,,,,,,,,,,,,,,,Grace Hildebrandt,Recruiting Analyst
30,,,,,,,,,,,,,,,Joel Oluyole,Recruiting Analyst
31,,,,,,,,,,,,,,,Brandon Tamres,Recruiting Analyst
32,,,,,,,,,,,,,,,Marcus Thomas,Recruiting Analyst
33,,,,,,,,,,,,,,,Gary Wortham,Recruiting Analyst
34,,,,,,,,,,,,,,,"Brian Simerville, MA, ATC",Director of Athletic Training/Head Football Athletic Trainer
35,,,,,,,,,,,,,,,Drew Hampton,Senior Director of Football Equipment Operations
36,,,,,,,,,,,,,,,Jason Smith,Director of Equipment Operations
37,,,,,,,,,,,,,,,Nathaniel Park,Assistant Manager
38,,,,,,,,,,,,,,,Lauren Antle,Director of Football Nutrition
39,,,,,,,,,,,,,,,Dustin Semonavick,Media Relations
40,,,,,,,,,,,,,,,Ben Kessler,Media Relations
41,,,,,,,,,,,,,,,Trevin Kalick,Creative Content Designer
42,,,,,,,,,,,,,,,Chad Wells,Director of Football Technology
43,,,,,,,,,,,,,,,Zack Schabbel,Assistant Video Coordinator
44,,,,,,,,,,,,,,,Corey Raymond,Marketing Strategy & Fan Experience
45,,,,,,,,,,,,,,,Devon Frieson,Academic Support & Career Development
46,,,,,,,,,,,,,,,Kendall George,Academic Support & Career Development
47,,,,,,,,,,,,,,,Mckenzie Quick,Academic Support & Career Development
48,,,,,,,,,,,,,,,Marie Brown,Ticket Operations
49,,,,,,,,,,,,,,,Scott Carter,"Director of Facilities, Operations & Events"
