,Statistic,#,Full Name,Academic Year,Pos.,Ht.,Wt.,Hometown / High School,Previous School,Image,Name,Title
93,,47.0,Cody Stufflebean,Jr.,Defensive End,6-4,253.0,"McPherson, Kan. / McPherson",,,,
94,,83.0,Will Swanson,Jr.,Tight End,6-5,245.0,"Papillion, Neb. / La Vista South",,,,
95,,17.0,Chris Tennant,Jr.,Kicker,6-5,222.0,"Shawnee, Kan. / Mill Valley",,,,
96,,94.0,Titus Tuiasosopo,So.,Nose Guard,6-0,322.0,"Manhattan, Kan. / Wamego",,,,
97,,28.0,Rex Van Wyhe,So.,Linebacker,6-5,225.0,"Rock Rapids, Iowa / Central Lyon",Iowa Central CC,,,
98,,9.0,Treshaun Ward,Sr.,Running Back,5-10,194.0,"Plant City, Fla. / Tampa Bay Tech",Florida State Univ.,,,
99,,85.0,Wesley Watson,Fr.,Wide Receiver,6-1,193.0,"College Station, Texas / A&M Consolidated",,,,
100,,47.0,La'James White,So.,Running Back,5-7,189.0,"Lenexa, Kan. / St. James Academy",Air Force,,,
101,,77.0,Carver Willis,Jr.,Offensive Line,6-5,282.0,"Durango, Colo. / Durango",,,,
102,,48.0,Zach Wittenberg,R-So.,Linebacker,6-1,223.0,"El Dorado, Kan. / El Dorado",Butler CC,,,
103,,0.0,Jordan Wright,R-Jr.,Cornerback,6-0,178.0,"Memphis, Tenn. / Collierville",Fullerton College,,,
0,,,,,,,,,,,Chris Klieman,Head Coach
1,,,,,,,,,,,Van Malone,Assistant Head Coach/Passing Game Coordinator/Cornerbacks
2,,,,,,,,,,,Joe Klanderman,Defensive Coordinator/Safeties
3,,,,,,,,,,,Collin Klein,Offensive Coordinator/Quarterbacks
4,,,,,,,,,,,Brian Anderson,Running Backs
5,,,,,,,,,,,Brian Lepak,Fullbacks/Tight Ends
6,,,,,,,,,,,Matthew Middleton,Wide Receivers
7,,,,,,,,,,,Conor Riley,Offensive Line
8,,,,,,,,,,,Steve Stanard,Linebackers
9,,,,,,,,,,,Mike Tuiasosopo,Defensive Tackles
10,,,,,,,,,,,Buddy Wyatt,Defensive Ends
11,,,,,,,,,,,Trumain Carroll,Director of Strength and Conditioning
