,#,Name,Cl.,Pos.,Height,Weight,Exp.,Hometown,Current School Name,High School,Previous School
80,57,Ben Bolton,Fr.,LB,"6' 3""",220,HS,"Memphis, Tenn.",Tennessee,Lausanne Collegiate School,
81,58,Isaac Green,R-Jr.,DL,"6' 0""",300,SQ,"Memphis, Tenn.",Tennessee,Memphis Central,
82,58,Darnell Wright,Sr.,OL,"6' 6""",335,3L,"Huntington, W. Va.",Tennessee,Huntington,
83,60,Alton Stephens,R-Jr.,LS,"5' 11""",190,SQ,"Cordele, Ga.",Tennessee,Crisp Country,Georgia Military College/Texas State
84,63,Cooper Mays,Jr.,OL,"6' 3""",296,2L,"Knoxville, Tenn.",Tennessee,Knoxville Catholic,
85,64,William Parker,R-Fr.,OL,"6' 5""",310,RS,"Nashville, Tenn.",Tennessee,Pearl-Cohn,
86,65,Parker Ball,R-Jr.,OL,"6' 4""",290,1L,"Douglasville, Ga.",Tennessee,Douglas County,
87,65,Camron Douglas,Fr.,DL,"6' 3""",305,HS,"Brownsville, Tenn.",Tennessee,Haywood,
88,66,Dayne Davis,R-Jr.,OL,"6' 7""",325,1L,"Bluff City, Tenn.",Tennessee,Sullivan East,
89,67,Connor Meadows,Fr.,OL,"6' 4""",300,HS,"Trenton, Tenn.",Tennessee,Peabody,
90,68,Masai Reddick,Fr.,OL,"6' 5""",335,HS,"Detroit, Mich.",Tennessee,Cass Technical,
91,69,Gus Hill,Fr.,OL,"6' 4""",300,HS,"Fayetteville, Tenn.",Tennessee,Fayetteville,
92,70,RJ Perry,R-So.,OL,"6' 6""",325,1L,"Fairfield, Ala.",Tennessee,Fairfield Prep,
93,72,Addison Nichols,Fr.,OL,"6' 5""",318,HS,"Atlanta, Ga.",Tennessee,Greater Atlanta Christian School,
94,73,Brian Grant,Fr.,OL,"6' 7""",290,HS,"Fort Walton Beach, Fla.",Tennessee,Chochtawhatchee,
95,75,Jerome Carvin,Sr.,OL,"6' 5""",321,4L,"Memphis, Tenn.",Tennessee,Cordova,
96,76,Javontez Spraggins,Jr.,OL,"6' 3""",325,2L,"East St. Louis, Ill.",Tennessee,East St. Louis,
97,78,Ollie Lane,R-Sr.,OL,"6' 4""",325,1L,"Corryton, Tenn.",Tennessee,Gibbs,
98,80,Montrell Bandy,R-Fr.,DB,"6' 3""",185,RS,"Mount Juliet, Tenn.",Tennessee,Mount Juliet,
99,80,Ramel Keyton,Sr.,WR,"6' 3""",195,2L,"Marietta, Ga.",Tennessee,Marietta,
100,81,Chas Nimrod,Fr.,WR,"6' 3""",192,HS,"Bentonville, Ark.",Tennessee,Bentonville,
101,83,Trey Weary,Fr.,WR,"6' 2""",175,HS,"Houston, Texas",Tennessee,Manvel,
102,84,Kaleb Webb,Fr.,WR,"6' 3""",196,HS,"Powder Springs, Ga.",Tennessee,McEachern,
103,85,Carson Whitehead,Fr.,DB,"5' 10""",175,HS,"Powell, Tenn.",Tennessee,Powell,
104,87,Joshua Helsdon,Fr.,DL,"6' 4""",260,HS,"Cleveland, Tenn.",Tennessee,Bradley Central,
105,87,Jacob Warren,R-Sr.,TE,"6' 6""",250,3L,"Knoxville, Tenn.",Tennessee,Farragut,
106,88,Princeton Fant,R-Sr.,TE,"6' 2""",245,3L,"Nashville, Tenn.",Tennessee,LaVergne,
107,88,Amari McNeill,R-Fr.,DL,"6' 4""",285,RS,"Suwanee, Ga.",Tennessee,Peachtree Ridge,
108,89,Hunter Salmon,R-Jr.,TE,"6' 5""",245,1L,"Birmingham, Ala.",Tennessee,Vestavia,
109,90,Dominic Bailey,R-So.,DL,"6' 3""",270,SQ,"Salisbury, Md.",Tennessee,St. Frances Academy,
110,93,Kolby Morgan,R-Fr.,P,"5' 11""",200,RS,"Oneida, Tenn.",Tennessee,Oneida,
111,94,Josh Turbyville,Fr.,P/PK,"6' 1""",185,HS,"Knoxville, Tenn.",Tennessee,Knoxville Catholic,
112,95,Da'Jon Terry,R-Jr.,DL,"6' 4""",321,1L,"Meridian, Miss.",Tennessee,Meridian,Kansas
113,96,Austin Lewis,R-Sr.,DL,"6' 6""",270,TR,"Jonesborough, Tenn.",Tennessee,Crockett,Liberty/ETSU
114,97,Jayson Jenkins,Fr.,DL,"6' 6""",280,HS,"Bordentown, N.J.",Tennessee,Notre Dame (N.J.),
115,98,Jackson Ross,Fr.,P,"6' 3""",195,HS,"Melbourne, Australia",Tennessee,Haileybury College,
116,99,Kurott Garland,R-Sr.,DL,"6' 3""",310,4L,"Conyers, Ga.",Tennessee,Heritage,
