,Statistic,#,Full Name,Pos.,Cl.,Ht.,Wt.,Hometown / High School,Previous College,Major,Image,Name,Title
72,,77.0,Caelan Shepard,OL,Sr.,6-6,315.0,"Annapolis, MD / Broadneck",,Sociology,,,
73,,78.0,Tyler Doty,OL,Jr.,6-5,320.0,"Gasport, NY / St. Joseph's Collegiate Institute",,Communication,,,
74,,79.0,Trevor Brock,OL,So.,6-6,305.0,"St. Louis, MO / Affton",Iowa Western,,,,
75,,80.0,Cameron Ball,TE,R-Fr.,6-6,235.0,"Washington, DC / Gonzaga College",,Business Administration,,,
76,,81.0,Nicholas Fronczak,TE,So.,6-6,270.0,"Victor, NY / Victor",,Business Administration,,,
77,,82.0,Mitch Viviano,TE,Fr.,6-6,255.0,"Oxford, MI / Oxford",Fork Valley Military Academy,,,,
78,,83.0,Tadd Barr,WR,Sr.,6-0,190.0,"Pen Argyl, PA / Pen Argyl",Moravian University,Mathematics,,,
79,,85.0,Andrew Schnackenberg,TE,Jr.,6-5,230.0,"Arkansas City, KS / Arkansas City",Coffeyville College,,,,
80,,86.0,Aidan Walline,WR,So.,6-2,195.0,"Clarence, NY / Clarence",,Business Administration,,,
81,,87.0,Jeremy Yancey,WR,R-Fr.,6-5,195.0,"Buffalo, NY / South Park",,Biochemistry,,,
82,,88.0,Ryan Daly,TE,So.,6-6,235.0,"Mountain View, CA / St. Francis",City College of San Francisco,,,,
83,,90.0,George Wolo,DT,Sr.,6-0,275.0,"Columbia, MD / Our Lady of Good Counsel",,Communication,,,
84,,91.0,Devin Morgan,DT,R-Fr.,6-2,288.0,"Baltimore, MD / St. Frances Academy",,Psychology,,,
85,,92.0,Joey Hawryschuk,DE,R-Fr.,6-3,240.0,"Victor, NY / Victor",,Business Administration,,,
86,,94.0,Anthony Venneri,P/K,So.,6-0,225.0,"Hamilton, Ontario / St. Thomas More",,Business Administration,,,
87,,95.0,Daymond Williams,DT,Gr.,6-3,285.0,"Round Rock, TX / Cedar Ridge",Cisco College,Sociology,,,
88,,97.0,Nick Roy,DE,Fr.,6-3,213.0,"Montreal, Quebec / Rabun Gap-Nacoochee School",,,,,
89,,98.0,Daishon Folsom,DT,Sr.,6-2,285.0,"Pensacola, FL / Escambia",Hutchinson CC,African American Studies,,,
90,,99.0,Cornell Evans,DT,R-Fr.,6-1,280.0,"Baltimore, MD / St. Frances Academy",,Business Administration,,,
0,,,,,,,,,,,,Maurice Linguist,Head Coach
1,,,,,,,,,,,,DJ Mangas,Offensive Coordinator/Tight Ends
