,Statistic,#,Full Name,Pos.,Years/Eligibility,Hometown / High School,Ht.,Wt.,Previous School,Instagram,Twitter,Eligiblity,Image,Name,Title
30,,20.0,Nathan Kibambe,SAF,Redshirt,"Charlotte, N.C. / Providence",5-11,210.0,Georgia Military College,nathan1kibambe,nathan1kibambe,R-Sr.,,,
31,,21.0,DJ Burks,SAF,Redshirt Freshman,"Maryville, Tenn. / Maryville",6-0,190.0,,dj.burks,dj1burks,R-Fr.,,,
32,,22.0,Dalton Stroman,WR,Redshirt Sophomore,"Rockingham, N.C. / Richmond Senior",6-4,200.0,,dalt.2,daltonS1232,R-So.,,,
33,,24.0,Scoobie Ford,WR,Sixth-Year Redshirt Senior,"Atlanta, Ga. / Marietta",5-11,174.0,Mississippi State,@scoobieford24,@scoobieford24,R-Sr.,,,
34,,24.0,Cahari Haynes,ILB,Freshman,"Shelby, N.C. / Burns",6-1,215.0,,cahari._,CahariH_,Fr.,,,
35,,25.0,Jackson Greene,SAF,Fifth-Year Redshirt Junior,"Boone, N.C. / Watauga",5-11,190.0,,jacksongreene1,jackson_greene1,R-Jr.,,,
36,,26.0,Caden Sullivan,OLB,Redshirt Sophomore,"Spartanburg, S.C. / Boiling Springs",6-2,215.0,,caden_sullivan,cadensullivan1,R-So.,,,
37,,27.0,Ronald Clarke,SAF,Fourth-Year Junior,"Buford, Ga. / Mill Creek",6-0,195.0,,rtcj_,rclarke_13,Jr.,,,
38,,29.0,Maquel Haywood,RB,Junior,"Wake Forest, N.C. / Wake Forest",5-8,190.0,Navy,@maquelhaywood3,@Maquel01,Jr.,,,
39,,29.0,Santana Hopper,DE,Redshirt Freshman,"Shelby, N.C. / Shelby",6-2,255.0,,,SantanaHopper44,R-Fr.,,,
40,,30.0,Carter Greene,SAF,Redshirt Freshman,"Shelby, N.C. / Crest",6-0,185.0,,,_CarterGG21_,R-Fr.,,,
41,,31.0,Dyvon McKinney,SAF,Fourth-Year Redshirt Sophomore,"Asheboro, N.C. / Asheboro",6-0,205.0,Mercer,dyvonmckinney,dyvonmckinney14,R-So.,,,
42,,31.0,Antonio Yates,RB,Redshirt Freshman,"Winston-Salem, N.C. / Reynolds",5-7,185.0,,,,R-Fr.,,,
43,,33.0,Derrell Farrar,ILB,Redshirt Freshman,"Loganville, Ga. / Grayson",6-1,215.0,,rellfarrar1,DerrellFarrar,R-Fr.,,,
44,,34.0,Bradley Davis,RB,Redshirt Sophomore,"Spartanburg, S.C. / Dorman",5-9,200.0,,bradley_davis__,Bradley_davis21,R-So.,,,
45,,35.0,Jalen McLeod,OLB,Fourth-Year Junior,"Washington, D.C. / Friendship Collegiate Academy",6-1,230.0,,Jayyrashaan,_jayrashaan,Jr.,,,
46,,36.0,Kevon Haigler,DE,Fourth-Year Junior,"Hartsville, S.C. / Hartsville",6-1,245.0,,k.haigler,K_Haigler28,Jr.,,,
47,,36.0,Reece Larson,WR,Redshirt Freshman,"Wellington, Fla. / Wellington",6-0,175.0,,reece.larson10,ReeceLarson_10,R-Fr.,,,
48,,37.0,Andre Hamilton,SAF,Fourth-Year Redshirt Sophomore,"Concord, N.C. / Jay M. Robinson",6-0,190.0,,andrehamiltonn_,A_Ham3,R-So.,,,
49,,37.0,Trae Nickelson III,WR,Redshirt Freshman,"Huntersville, N.C. / Mountain Island Charter",5-5,150.0,,,,R-Fr.,,,
50,,39.0,Tony Harris,CB,Redshirt Freshman,"Charlotte, N.C. / Providence Day",5-10,160.0,,tlh2__,tonylharris,R-Fr.,,,
51,,40.0,Cole Becker,ILB,Redshirt Freshman,"Nashville, Tenn. / Father Ryan",6-2,230.0,,cole_beckerr,ColeBecker45,R-Fr.,,,
52,,41.0,Conner Maynard,P,Fifth-Year Redshirt Junior,"Mooresville, N.C. / Hough",6-3,190.0,Miami (Ohio),conneramaynard,ConnerAMaynard,R-Jr.,,,
53,,42.0,Christian Johnstone,LS,Fifth-Year Redshirt Junior,"Loganville, Ga. / Archer",6-3,240.0,,christian_johnstone,christianj720,R-Jr.,,,
54,,44.0,Brodrick Gooch,OLB,Redshirt Freshman,"Cornelius, N.C. / Hough",6-0,215.0,,brodrickgooch,Brodrick_Gooch,R-Fr.,,,
55,,45.0,Jake Mann,LS,Redshirt Sophomore,"Chapel Hill, N.C / Northwood",5-9,225.0,Oklahoma,jakemann50,Jakemann_1,R-So.,,,
56,,45.0,Trevor Moffitt,ILB,Redshirt Sophomore Freshman,"Bushnell, Fla. / South Sumter",6-1,215.0,,trevormoffitt,trevor_moffitt,R-So.,,,
57,,47.0,Carter Everett,K,Redshirt Freshman,"Boone, N.C. / Watauga",5-10,175.0,,carter.everett13,CarterEverett13,R-Fr.,,,
58,,48.0,Deshawn McKnight,DL,Junior,"Sumter, S.C. / Sumter",6-3,290.0,,deshawnmcknight.48,deshawnmcknigh3,Jr.,,,
59,,49.0,Mitchell Lake,P,Freshman,"Brisbane, Australia / Saint Peters Lutheran",5-11,195.0,,,,Fr.,,,
60,,50.0,DeAndre Dingle-Prince,DE,Fourth-Year Junior,"Sanford, N.C. / Lee County",6-0,265.0,,dretoven_1,dretoven_1,Jr.,,,
61,,52.0,Troy Everett,OL,Redshirt Sophomore,"Roanoke, Va. / Lord Botetourt",6-3,285.0,,troy.everett52,troyeverett11,R-So.,,,
62,,53.0,Jake Ganoe,OL,Redshirt Freshman,"Cary, N.C. / Panther Creek",6-2,260.0,,jake.ganoe,GanoeJake,R-Fr.,,,
63,,54.0,Isaiah Helms,OL,Fifth-Year Senior,"Hudson, N.C. / West Caldwell",6-3,285.0,Western Carolina,isaiah_helms,HelmsIsaiah,Sr.,,,
64,,54.0,Orlando Leon,ILB,Redshirt Freshman,"Boone, N.C. / Watauga",6-2,205.0,,orlando.leonn,orlandoleon47,R-Fr.,,,
65,,55.0,Seth Williams,OL,Fourth-Year Redshirt Sophomore,"Statesville, N.C. / Statesville",6-4,295.0,,seth_williams___,sethawilliams20,R-So.,,,
66,,56.0,Kyle Arnholt,ILB,Redshirt Sophomore,"Roanoke, Va. / Lord Botetourt",6-2,220.0,,lankysmoove,kylewarnholt,R-So.,,,
67,,57.0,Austin Shook,K,Fourth-Year Redshirt Sophomore,"Waxhaw, N.C. / Parkwood",6-0,200.0,,austin.shook1229,,R-So.,,,
68,,59.0,Jack Murphy,OL,Fourth-Year Redshirt Sophomore,"Fairfax, Va. / Bishop O'Connell",6-4,290.0,Marshall,@bigjack_77,@jackmurphy75,R-So.,,,
69,,62.0,Bucky Williams,OL,Sixth-Year Redshirt Senior,"Ringgold, Ga. / Ringgold",6-3,295.0,Austin Peay,williams_bucky,buckywilliams5,R-Sr.,,,
70,,63.0,Jayden Ramsey,OL,Redshirt Sophomore,"Anderson, S.C. / Westside",6-6,280.0,,jayden.ramsey,thejaydenramsey,R-So.,,,
71,,67.0,Jack Carter,OL,Sixth-Year Redshirt Senior,"Davidson, N.C. / Hough",6-5,275.0,Princeton,,,R-Sr.,,,
72,,72.0,Markell Samuel,OL,Fourth-Year Redshirt Sophomore,"Fort Bragg, N.C. / E.E. Smith",6-4,265.0,,markellsamuellll,markell_samuel,R-So.,,,
73,,73.0,Jaden Lindsay,OL,Redshirt Sophomore,"Winston-Salem, N.C. / East Forsyth",6-3,305.0,,the.beast74,jaden30075709,R-So.,,,
74,,75.0,Damion Daley,OL,Sixth-Year Redshirt Senior,"Columbia, S.C. / Ridge View",6-4,300.0,Georgia Military College,damionadaley,damionadaley,R-Sr.,,,
75,,77.0,Colston Powers,OL,Redshirt Sophomore,"Blue Ridge, Va. / Lord Botetourt",6-4,290.0,,colstonpowers,colston_powers,R-So.,,,
76,,79.0,Sammy Henderson,OL,Fifth-Year Redshirt Junior,"Charlotte, N.C. / Charlotte Christian",6-5,275.0,,sammyhenderson79,samhenderson79,R-Jr.,,,
77,,81.0,Miller Gibbs,TE,Sixth-Year Redshirt Senior,"Davidson, N.C. / Hough",6-4,235.0,,,,R-Sr.,,,
78,,82.0,Chris Lawson Jr.,WR,Freshman,"Columbia, S.C. / Ridge View",6-0,175.0,,xris._,Chris_Lawson_Jr,Fr.,,,
79,,83.0,Coen Sutton,WR,Redshirt Sophomore,"Charlotte, N.C. / Hough",6-2,200.0,,coen.sutton,coensutton,R-So.,,,
80,,85.0,David Larkins,TE,Redshirt Sophomore,"Cincinnati, Ohio / Elder",6-5,250.0,,davidlarkins_,dlarks08,R-So.,,,
81,,86.0,Kanen Hamlett,TE,Redshirt Freshman,"Madison, Ala. / Madison Academy",6-4,230.0,,kanen.4,_KanenLamar,R-Fr.,,,
82,,87.0,Eli Wilson,TE,Fourth-Year Junior,"Piedmont, S.C. / Wren",6-3,235.0,,eli_wilson04,eli_wilson29,Jr.,,,
83,,88.0,Jacoby Pinckney,WR,Fifth-Year Redshirt Junior,"Spartanburg, S.C. / Dorman",6-1,210.0,Virginia Tech,__j.p,jpinckney18,R-Jr.,,,
84,,88.0,Donovan Spellman,OLB,Sophomore,"Greenville, N.C. / Clayton",6-4,215.0,,thedonovann,SpellmanDonovan,So.,,,
85,,89.0,August Drews,TE,Fourth-Year Redshirt Sophomore,"Sarasota, Fla. / Sarasota",6-5,245.0,,augustdrews,auggiedrews22,R-So.,,,
86,,90.0,Nate Johnson,DE,Freshman,"Gaffney, S.C. / Gaffney",6-5,220.0,,,big_nate90,Fr.,,,
87,,91.0,Markus Clark,DT,Sophomore,"Hoover, Ala. / Hoover",6-1,285.0,,mac9___,markusclark05,So.,,,
88,,92.0,AJ Mebane,DE,Freshman,"Durham, N.C. / Southern Durham",6-3,245.0,,ajmebane,Anthony_mebane,Fr.,,,
89,,93.0,KaRon White,DT,Redshirt Sophomore,"Harvest, Ala. / Sparkman",6-2,290.0,,256simba,256simba,R-So.,,,
90,,94.0,Stephen Passeggiata,DE,Fourth-Year Redshirt Sophomore,"Wellington, Fla. / Wellington",6-2,245.0,,stephenpasseggiata,passeggiata1,R-So.,,,
91,,95.0,Kason Boston,DE,Third-Year Junior,"Birmingham, Ala. / Jackson-Olin",6-3,225.0,East Mississippi C.C.,,KasonBoston,Jr.,,,
92,,96.0,Josiah Wyatt,DE,Redshirt Freshman,"Buford, Ga. / Buford",6-4,240.0,,josiahdwyatt,JosiahDWyatt,R-Fr.,,,
93,,97.0,Kevin Abrams-Verwayne,DE,Fourth-Year Redshirt Sophomore,"Marietta, Ga. / Marietta",6-3,225.0,Garden City C.C.,,kevinnabrams,R-So.,,,
