,Statistic,#,Full Name,Pos.,Ht.,Wt.,Yr.,Hometown/Previous School,Image,Name,Title
20,,13.0,Christian Wortham,WR,6-1,189.0,R-So.,"Grenada, Miss. / Grenada HS",,,
21,,14.0,Kentrel Bullock,RB,5-11,200.0,Jr.,"Columbia, Miss. / Ole Miss",,,
22,,15.0,Chrystyile Caldwell,LB,6-0,214.0,R-Fr.,"Elba, Ala. / Elba HS",,,
23,,15.0,Shamar Sandgren,WR,6-2,175.0,Jr.,"Savannah, Ga. / Itawamba CC",,,
24,,16.0,Christopher Davis Jr.,WR,6-0,150.0,So.,"Watson, La. / Live Oak HS",,,
25,,18.0,Keyshawn Woodyard,WR,6-1,186.0,R-So.,"Mobile, Ala. / UMS-Wright Preparatory School",,,
26,,19.0,Dallas Gamble,CB,6-0,184.0,R-Jr.,"Booneville, Miss. / Booneville HS",,,
27,,19.0,JT McArdle,QB,6-3,225.0,R-Fr.,"Opelika, Ala. / Opelika HS",,,
28,,19.0,Reggie Neely,CB,6-0,175.0,Jr.,"Memphis, Tenn. / EMCC / Tulane",,,
29,,20.0,Lamondre Brooks,DL,6-2,238.0,So.,"Birmingham, Ala. / Huffman HS",,,
30,,20.0,Brandon Crum,TE,6-4,255.0,Sr.,"Auburn, Ala. / Auburn HS",,,
31,,22.0,Trey Kiser,ILB,6-0,224.0,Sr.,"Sulphur, Okla. / Northeastern Oklahoma A&M JC",,,
32,,23.0,Bryan Hill,RB,5-8,188.0,Sr.,"Mobile, Ala. / Tuskegee",,,
