,Statistic,#,Name,Pos.,Ht.,Wt.,Cl.,Exp.,Current School Name,Hometown / High School,Previous School,Image,Title
119,,91.0,Marcus Burris Jr.,DL,6-4,290.0,Fr.,RS,Texas A&M,"Texarkana, Texas / Pleasant Grove",,,
120,,92.0,Malick Sylla,DL,6-5,230.0,Fr.,HS,Texas A&M,"Katy, Texas / Katy",,,
121,,93.0,Drew Beltran,DL,5-11,260.0,So.,SQ,Texas A&M,"Longview, Texas / Longview",,,
122,,94.0,Drake Bhatia,PK,5-7,150.0,So.,SQ,Texas A&M,"Houston, Texas / Episcopal",,,
123,,94.0,Cody Polk,DL,6-7,230.0,Fr.,HS,Texas A&M,"Dallas, Texas / Trinity Christian Academy",,,
124,,95.0,Nik Constantinou,P,6-3,225.0,Jr.,3L,Texas A&M,"Melbourne, Australia / Penleigh & Essendon",,,
125,,95.0,Micaiah Overton,DL,6-3,300.0,Jr.,TR,Texas A&M,"Bessemer, Ala. / Bessemer Academy",Liberty,,
126,,96.0,Nathan Jackson,DL,5-10,264.0,Fr.,RS,Texas A&M,"Red Oak, Texas / Red Oak",,,
127,,97.0,Travis Pepin,DL,6-1,255.0,Sr.,SQ,Texas A&M,"Rusk, Texas / Rusk",East Texas Baptist,,
128,,98.0,Jordan Johnson,DL,6-1,300.0,Jr.,SQ,Texas A&M,"Dallas, Texas / Seagoville",,,
129,,99.0,Gabriel Brownlow-Dindy,DL,6-3,300.0,Fr.,HS,Texas A&M,"Lakeland, Fla. / Lakeland",,,
0,,,Jimbo Fisher,,,,,,Texas A&M,,,,Head Coach
1,,,Elijah Robinson,,,,,,Texas A&M,,,,Assistant Head Coach/Running Game Coordinator/Defensive Line
2,,,Darrell Dickey,,,,,,Texas A&M,,,,Offensive Coordinator/Tight Ends
3,,,DJ Durkin,,,,,,Texas A&M,,,,Defensive Coordinator
4,,,James Coley,,,,,,Texas A&M,,,,Offensive Coordinator/Wide Receivers
5,,,Tyler Santucci,,,,,,Texas A&M,,,,Co-Defensive Coordinator/Linebackers
6,,,Steve Addazio,,,,,,Texas A&M,,,,Offensive Line
7,,,Dameyune Craig,,,,,,Texas A&M,,,,Quarterbacks
8,,,Terry Price,,,,,,Texas A&M,,,,Defensive Ends
9,,,Tommie Robinson,,,,,,Texas A&M,,,,Running Backs
10,,,TJ Rushing,,,,,,Texas A&M,,,,Defensive Backs
11,,,Louie Addazio,,,,,,Texas A&M,,,,Offensive Analyst
12,,,Alex Garwig,,,,,,Texas A&M,,,,Defensive Analyst
13,,,Rashad Greene,,,,,,Texas A&M,,,,Offensive Analyst
14,,,Tony Jerod-Eddie,,,,,,Texas A&M,,,,Defensive Analyst
15,,,Jeremy Kerr,,,,,,Texas A&M,,,,Offensive & Special Teams Analyst
16,,,Kevin Leonard,,,,,,Texas A&M,,,,Defensive Analyst
17,,,Robert Luce,,,,,,Texas A&M,,,,Offensive Analyst
18,,,Eric Russell,,,,,,Texas A&M,,,,Special Teams Analyst
19,,,Rashawn Scott,,,,,,Texas A&M,,,,Offensive Analyst
20,,,David Spurlock,,,,,,Texas A&M,,,,Offensive Analyst
21,,,Stan Watson,,,,,,Texas A&M,,,,Offensive Analyst
22,,,Nick Williams,,,,,,Texas A&M,,,,Defensive Analyst
23,,,Brandon Sanders,,,,,,Texas A&M,,,,Head of Strength & Conditioning
24,,,Bryant Harper Jr.,,,,,,Texas A&M,,,,Strength & Conditioning Coach
25,,,Jerry Johnson,,,,,,Texas A&M,,,,Strength & Conditioning Coach
26,,,Wes Piersall,,,,,,Texas A&M,,,,Strength & Conditioning Coach
27,,,Pete Remmes,,,,,,Texas A&M,,,,Strength & Conditioning Coach
28,,,Rohan Gaines,,,,,,Texas A&M,,,,Graduate Assistant (Defense)
29,,,Mark Robinson,,,,,,Texas A&M,,,,"Associate Athletic Director, Football"
