,Number,Name,Position,Height,Weight,Class,Hometown,High School,Twitter,Instagram,Previous School,TikTok
74,76,Ryan Rodriguez,Offensive Line,6-2,275 lbs.,Redshirt Freshman,"Miami, Fla.",Christopher Columbus,@dsbg_ryan,@Ryanrodriguezz_,,@76flavorzz
75,77,Logan Sagapolu,Offensive Line,6-2,340 lbs.,Third-Year Redshirt Freshman,"Lehi, Utah",Skyridge,@lsagapolu77,@_lsagapolu_61,Oregon,
76,78,Matthew McCoy,Offensive Line,6-6,290 lbs.,Redshirt Freshman,"Saint Augustine, Fla.",Creekside,@MatthewMcCoyFB,@matt.mccoy._,,
77,79,Michael McLaughlin,Offensive Line,6-7,300 lbs.,Redshirt Freshman,"Parkland, Fla.",Stoneman Douglas,@mikemcl79,@mikemcl79,,
78,80,Elijah Arroyo,Tight End,6-4,235 lbs.,Sophomore,"Frisco, Texas",Independence,@arroyo_elijah36,@elijaharroyo__,,@elijaharroyo__
79,81,Jared Harrison-Hunte,Defensive Line,6-4,285 lbs.,Fourth-Year Redshirt Sophomore,"Middle Village, N.Y.",Christ The King,@jaredhunte19,@jh2.1k,,
80,84,Josh Neely,Defensive Line,6-3,260 lbs.,Fourth-Year Redshirt Sophomore,"Miami, Fla.",Miami Senior,@joshneely5_,@jjoshneely,,
81,85,Jackson Carver,Tight End,6-6,220 lbs.,Freshman,"Woodbury, Minn.",Culver Academy,,,,
82,86,Dominic Mammarelli,Tight End,6-4,248 lbs.,Third-Year Redshirt Freshman,"Naples, Fla.",Naples,@dommammo,@dominic__mammarelli,,@dom.mammo
83,86,Fred Potter,Punter,5-11,200 lbs.,Third-Year Redshirt Freshman,"London, United Kingdom",Gulliver Prep,@fred_potter15,@fred.potter1,,
84,88,Riley Williams,Tight End,6-6,240 lbs.,Freshman,"Portland, Ore.",IMG Academy (Fla.),,,,
85,93,Jabari Ishmael,Defensive End,6-5,245 lbs.,Redshirt Freshman,"Miami, Fla.",Christopher Columbus,@ishmaeljabari,@Jabariishmael_10,,@jabariishmael_10
86,94,Dylan Joyce,Punter,6-2,215 lbs.,Freshman,"Kyabram, Australia",,,,Assumption College (Australia),
87,95,Thomas Davis,Defensive End,6-2,220 lbs.,Redshirt Freshman,"Valdosta, Ga.",Lowndes,@itstdamove,@__thattd__,,
88,96,Collins Acheampong,Defensive Line,6-7,250 lbs.,Freshman,"Cape Coast, Ghana",Santa Margarita Catholic (Calif.),,,,
89,99,Ahmad Moten,Defensive Line,6-3,325 lbs.,Redshirt Freshman,"Fort Lauderdale, Fla.",Cardinal Gibbons,@ahmad_moten,@ahmadmoten,,@ahmadmoten_
