,Statistic,Image,#,Full Name,Pos.,Ht.,Wt.,Academic Year,Current School Name,Hometown,Previous School,Name,Title
0,,,0.0,Isaac Jernagin,CB/WR,5-10,185.0,So.,San Jose State,"Bakersfield, Calif.",Bakersfield College,,
1,,,1.0,"Kejuan Bullard, Jr.",WR,6-2,180.0,Fr.,San Jose State,"Watts, Calif.",San Pedro HS,,
2,,,1.0,Chase Williams,DB,6-1,200.0,R-Jr.,San Jose State,"Eastvale, Calif.",USC,,
3,,,2.0,Chevan Cordeiro,QB,6-1,190.0,Jr.,San Jose State,"Honolulu, Hawai’i",Hawai’i,,
4,,,2.0,Dion Leonard,LB,6-3,215.0,Gr.,San Jose State,"Milpitas, Calif.",Foothill College,,
5,,,3.0,Nick Nash,WR,6-1,184.0,Sr.,San Jose State,"Irvine, Calif.",Woodbridge HS,,
6,,,3.0,Tre Smith,DL,6-4,245.0,So.,San Jose State,"Mesa, Ariz.",Red Mountain HS,,
7,,,4.0,Elijah Cooks,WR,6-4,215.0,Gr.,San Jose State,"Atascadero, Calif.",Nevada,,
8,,,4.0,Noah Wright,DL,6-5,315.0,Gr.,San Jose State,"Lemoore, Calif.",College of the Sequoias,,
9,,,5.0,Walker Eget,QB,6-3,200.0,So.,San Jose State,"Santa Clarita, Calif.",West Ranch HS,,
10,,,5.0,Jaylan Lawson,S,6-2,200.0,Jr.,San Jose State,"Monmouth Junction, N.J.",Bakersfield College,,
11,,,6.0,Camdan McWright,RB,6-1,190.0,Fr.,San Jose State,"Sylmar, Calif.",St. Genevieve HS,,
12,,,6.0,Bryun Parham,LB,6-1,210.0,So.,San Jose State,"Long Beach, Calif.",Long Beach Poly HS,,
13,,,7.0,Kenyon Reed,CB,6-0,181.0,Jr.,San Jose State,"Sacramento, Calif.",Kansas State,,
14,,,7.0,Charles Ross,WR,6-2,180.0,So.,San Jose State,"Culver City, Calif.",Nevada,,
15,,,8.0,Jakob Galloway,RB,5-11,225.0,Fr.,San Jose State,"Carson, Calif.",Banning HS,,
16,,,8.0,Alii Matau,LB,6-1,226.0,Gr.,San Jose State,"Milpitas, Calif.",Milpitas HS,,
17,,,9.0,Isaiah Hamilton,WR,5-11,180.0,Sr.,San Jose State,"Baldwin Park, Calif.",Charter Oak HS,,
18,,,10.0,Jordan Pollard,LB,6-2,210.0,Fr.,San Jose State,"Los Angeles, Calif.",Faith Lutheran HS,,
19,,,10.0,Tyler Voss,QB,6-3,185.0,Fr.,San Jose State,"Simi Valley, Calif.",Valencia HS,,
20,,,11.0,Justin Lockhart,WR,6-2,200.0,So.,San Jose State,"Los Angeles, Calif.",Nevada,,
21,,,11.0,Ryan Nixon,CB,6-3,194.0,Sr.,San Jose State,"Long Beach, Calif.",Tulsa,,
22,,,12.0,Rahyme Johnson,LB,6-4,220.0,Gr.,San Jose State,"Los Angeles, Calif.",UCLA,,
23,,,12.0,Malikhi Miller,WR,6-4,195.0,So.,San Jose State,"Oakland, Calif.",El Cerrito HS,,
24,,,13.0,Jermaine Braddock,WR,6-1,191.0,Sr.,San Jose State,"Covina, Calif.",Charter Oak HS,,
25,,,13.0,Justin Stearns,LB,6-4,200.0,Fr.,San Jose State,"San Diego, Calif.",St. Augustine HS,,
26,,,14.0,Matthew Coleman,WR,6-1,165.0,Fr.,San Jose State,"Carson, Calif.",Junipero Serra HS,,
27,,,14.0,Elijah Wood,LB,6-3,205.0,R-Fr.,San Jose State,"Elk Grove, Calif.",St. Mary's HS,,
28,,,15.0,Jalen Bainer,CB,5-11,180.0,So.,San Jose State,"San Marcos, Calif.",San Marcos HS,,
29,,,15.0,Nicholas Williams,WR,5-11,180.0,Fr.,San Jose State,"Lancaster, Calif.",Quartz Hill HS,,
30,,,16.0,Rico Tolefree,LB,6-1,233.0,Sr.,San Jose State,"Richmond, Calif.",DeAnza HS,,
31,,,17.0,Cieonta Davis,WR,6-2,200.0,Fr.,San Jose State,"Compton, Calif.",Dominguez HS,,
32,,,17.0,Zavion Reese,CB,6-0,175.0,So.,San Jose State,"San Marcos, Calif.",San Marcos HS,,
33,,,18.0,Damonie Perkins,LB,6-1,215.0,Fr.,San Jose State,"Oakland, Calif.",De La Salle HS,,
34,,,18.0,Trevor Voss,WR,6-2,170.0,Fr.,San Jose State,"Simi Valley, Calif.",Valencia HS,,
35,,,19.0,B.J. Johnson,S,6-2,200.0,Jr.,San Jose State,"Santa Rosa, Calif.",Montgomery HS,,
36,,,20.0,Jabari Bates,RB,5-8,160.0,Fr.,San Jose State,"Compton, Calif.",St. John Bosco HS,,
37,,,20.0,Tre White,DB,6-0,189.0,Gr.,San Jose State,"Benicia, Calif.",De La Salle HS,,
38,,,21.0,Mikale Greer,CB,6-2,185.0,So.,San Jose State,"Compton, Calif.",Lawndale HS,,
39,,,22.0,Tre Jenkins,S,6-1,213.0,Sr.,San Jose State,"Stockton, Calif.",St. Mary's HS,,
40,,,22.0,Kenyon Sims,RB,5-11,191.0,Jr.,San Jose State,"San Diego, Calif.",Illinois,,
41,,,23.0,Nehemiah Shelton,CB,6-2,185.0,Gr.,San Jose State,"Gardena, Calif.",Long Beach City College,,
42,,,24.0,Shamar Garrett,RB,5-9,180.0,Jr.,San Jose State,"Livermore, Calif.",De La Salle HS,,
43,,,25.0,Michael Dansby,DB,6-0,175.0,Fr.,San Jose State,"Oakland, Calif.",McClymonds HS,,
44,,,26.0,Ethan Powell,LB,6-3,210.0,Fr.,San Jose State,"San Bernadino, Calif.",Cajon HS,,
45,,,27.0,Andrew Jenkins,S,5-10,185.0,Sr.,San Jose State,"Stockton, Calif.",St. Mary's HS,,
