,0,1,No.,Name,Pos.,Ht.,Wt.,Yr.,Current School Name,Hometown,High School,Other College,Socials,Position
71,,,58.0,Bless Harris,Offensive Line,"6'5""",325.0,Redshirt Senior,Florida State,"New Orleans, La.",St. Augustine,Lamar,Instagram 5ivee8  Twitter _BHarris1,
72,,,58.0,Emile Aime,Linebacker,"5'9""",227.0,Redshirt Sophomore,Florida State,"Miami Gardens, Fla.",University School,,Instagram the_kiid8  Twitter emile_aime8,
73,,,59.0,Colin King,Offensive Line,"6'4""",301.0,Redshirt Freshman,Florida State,"Ormond Beach, Fla.",Spruce Creek,,Instagram colink_55  Twitter Colink56,
74,,,60.0,Peyton Naylor,Long Snapper,"5'10""",184.0,Freshman,Florida State,"Tallahassee, Fla.",Maclay,,Instagram peyton_naylor42  Twitter PeytonNaylor,
75,,,63.0,Jeremiah Byers,Offensive Line,"6'4""",329.0,Redshirt Junior,Florida State,"Austin, Texas",L.C. Anderson,UTEP,Instagram jb63._  Twitter JeremiahByers38,
76,,,64.0,David Stickle,Offensive Line,"6'3""",279.0,Redshirt Junior,Florida State,"Pace, Fla.",Pace,,Instagram davidstickle_,
77,,,66.0,Ben Ostaszewski,Offensive Line,"6'3""",310.0,Redshirt Junior,Florida State,"Cumming, Ga.",North Forsyth,,Instagram benostaszewski  Twitter benostaszewski,
78,,,67.0,Thomas Shrader,Offensive Line,"6'5""",302.0,Redshirt Junior,Florida State,"Venice, Fla.",Venice,,Instagram shrader_thomas  Twitter thomasshrader02,
79,,,68.0,LaNard Toney,Offensive Line,"6'0""",305.0,Redshirt Freshman,Florida State,"Rockledge, Fla.",Cocoa,,Instagram lanardtoney  Twitter toney_lanard,
80,,,69.0,Kanaya Charlton,Offensive Line,"6'5""",335.0,Redshirt Freshman,Florida State,"Brunswick, Ga.",Brunswick,,Instagram kanaya_char  Twitter CharltonKanaya,
81,,,70.0,Casey Roddick,Offensive Line,"6'4""",313.0,Redshirt Senior,Florida State,"Ojai, Calif.",St. Bonaventure,Colorado,Instagram casedogg1  Twitter _casedogg,
82,,,71.0,D’Mitri Emmanuel,Offensive Line,"6'2""",300.0,Redshirt Senior,Florida State,"Charlotte, N.C.",Marvin Ridge,Charlotte,Instagram dmitri_emmanuel  Twitter DmitriEmmanuel,
83,,,72.0,Julian Armella,Offensive Line,"6'6""",328.0,Redshirt Freshman,Florida State,"Miami, Fla.",St. Thomas Aquinas,,Instagram armella  Twitter ArmellaJulian,
84,,,73.0,Jaylen Early,Offensive Line,"6'4""",324.0,Redshirt Freshman,Florida State,"Duncanville, Texas",Duncanville,,Instagram _3arly_  Twitter EarlyJaylen,
85,,,75.0,Keiondre Jones,Offensive Line,"6'3""",332.0,Redshirt Junior,Florida State,"LaGrange, Ga.",Callaway,Auburn,Instagram keiondrej58  Twitter keiondrejones,
86,,,76.0,Darius Washington,Offensive Line,"6'4""",300.0,Redshirt Junior,Florida State,"Pensacola, Fla.",West Florida,,Instagram DariusW76  Twitter DariusW76,
87,,,77.0,Bryson Estes,Offensive Line,"6'3""",300.0,Redshirt Sophomore,Florida State,"McDonough, Ga.",Eagle's Landing Christian Academy,,Instagram Brysonestes77  Twitter Brysonestes77,
88,,,78.0,Daughtry Richardson,Offensive Line,"6'5""",310.0,Redshirt Freshman,Florida State,"Miami, Fla.",Miami Central,,Instagram drich_78  Twitter DaughtryRichar1,
89,,,79.0,Lucas Simmons,Offensive Line,"6'8""",309.0,Freshman,Florida State,"Stockholm, Sweden",Clearwater Academy International (Fla.),,Instagram 1.luke79  Twitter lucassimmons55,
90,,,82.0,Carson Pielock,Wide Receiver,"6'1""",190.0,Redshirt Freshman,Florida State,"Lake Nona, Fla.",Lake Nona,,Instagram carson.pielock  Twitter CPielock,
91,,,84.0,Kyle Morlock,Tight End,"6'6""",242.0,Redshirt Junior,Florida State,"Blairsville, Ga.",Union County,Shorter,Instagram kyle.morlock  Twitter morlockkyle,
92,,,85.0,Markeston Douglas,Tight End,"6'4""",274.0,Redshirt Junior,Florida State,"Brownsville, Tenn.",Haywood,,Instagram markeston.d  Twitter markeston3,
93,,,86.0,Brian Courtney,Tight End,"6'3""",228.0,Sophomore,Florida State,"Ashburn, Va.",Independence,,Instagram brian.courtney  Twitter Brian_Courtney4,
94,,,88.0,Kentron Poitier,Wide Receiver,"6'3""",205.0,Redshirt Junior,Florida State,"Coconut Grove, Fla.",Miami Palmetto,,Instagram day1tron  Twitter kentron_p,
95,,,88.0,Ryan Fitzgerald,Kicker,"6'1""",202.0,Redshirt Junior,Florida State,"Coolidge, Ga.",Colquitt County,,Instagram ryan_fitz88  Twitter ryan_fitz88,
96,,,89.0,Jerrale Powers,Tight End,"6'4""",247.0,Redshirt Freshman,Florida State,"Fort Worth, Texas",Duncanville,,Instagram jerrale  Twitter PowersJerrale,
97,,,90.0,Bishop Thomas,Defensive Line,"6'2""",305.0,Redshirt Freshman,Florida State,"New Orleans, La.",Bishop Moore Catholic (Fla.),,Instagram 6uice_luv  Twitter juicemanpower,
98,,,91.0,Ayobami Tifase,Defensive Line,"6'4""",298.0,Redshirt Freshman,Florida State,"Baltimore, Md.",Concordia Prep,,Instagram ayotifase  Twitter Ayotifase50,
99,,,92.0,Liam McCormick,Defensive Line,"6'3""",285.0,Redshirt Sophomore,Florida State,"Islip, N.Y.",IMG Academy (Fla.),,Instagram liam.mccormick_  Twitter LiamMcCormick21,
100,,,93.0,Malakai Menzer,Defensive Line,"6'1""",250.0,Redshirt Junior,Florida State,"Punta Gorda, Fla.",Charlotte,,Instagram mal.menzer  Twitter Malakai_Menzer,
101,,,94.0,George Sklavenitis,Defensive Line,"6'2""",249.0,Redshirt Freshman,Florida State,"Cooper City, Fla.",Chaminade-Madonna,,Instagram george.sklavenitis  Twitter GeorgeSklav,
102,,,95.0,Daniel Lyons,Defensive Line,"6'4""",298.0,Redshirt Freshman,Florida State,"Miami, Fla.",Homestead Senior,,Instagram 5incosavage  Twitter danielgoated_,
103,,,96.0,Dante Anderson,Defensive Line,"6'3""",251.0,Redshirt Freshman,Florida State,"Miami, Fla.",Homestead Senior,,Instagram unocrzy  Twitter Dante11Anderson,
104,,,97.0,Dylan Brown,Defensive Line,"6'2""",347.0,Redshirt Senior,Florida State,"Tampa, Fla.",The Hotchkiss School,Rhode Island,Instagram dbrown63__  Twitter dbrown3_,
105,,,98.0,Tyler Keltner,Kicker,"5'11""",182.0,Redshirt Senior,Florida State,"Tallahassee, Fla.",Chiles,ETSU,Instagram tkeltner_  Twitter Tk19_,
106,,,99.0,Malcolm Ray,Defensive Line,"6'2""",290.0,Redshirt Junior,Florida State,"Miami Gardens, Fla.",Miami Carol City,,Instagram _free_9,
107,,,99.0,Max Larson,Kicker,"6'0""",192.0,Redshirt Sophomore,Florida State,"Davie, Fla.",St. Thomas Aquinas,,Instagram max.larson23  Twitter Max_larson23,
0,,,,Mike Norvell,,,,,Florida State,,,,,Head Coach
1,,,,Alex Atkins,,,,,Florida State,,,,,Offensive Coordinator/Offensive Line Coach
2,,,,Adam Fuller,,,,,Florida State,,,,,Defensive Coordinator
3,,,,John Papuchis,,,,,Florida State,,,,,Special Teams Coordinator/Defensive Ends Coach
4,,,,Randy Shannon,,,,,Florida State,,,,,co-Defensive Coordinator/Linebackers Coach
5,,,,Chris Thomsen,,,,,Florida State,,,,,Deputy Head Coach/Tight Ends Coach
6,,,,Odell Haggins,,,,,Florida State,,,,,Associate Head Coach/Defensive Tackles Coach
7,,,,Ron Dugans,,,,,Florida State,,,,,Wide Receivers Coach
8,,,,David Johnson,,,,,Florida State,,,,,Running Backs Coach/Recruiting Coordinator
9,,,,Patrick Surtain Sr.,,,,,Florida State,,,,,Defensive Backs Coach
10,,,,Tony Tokarz,,,,,Florida State,,,,,Quarterbacks Coach
