,Statistic,#,Full Name,Pos.,Ht.,Wt.,Year,Hometown / High School,Previous School,Image,Name,Title
99,,,Rowdy Beers,TE,6-4,219.0,Fr.,"Littleton, Colo. / Valor Christian",,,,
100,,,Toddrick Brewton,Edge,6-3,234.0,Fr.,"Miami, Fla. / Miami Northwestern HS",,,,
101,,,Jaheim Buchanon,OL,6-3,278.0,Fr.,"Lehigh Acres, Fla. / Lehigh Senior HS",,,,
102,,,Mister Clark,DB,5-11,166.0,Fr.,"Opa Locka, Fla. / Carol City HS",,,,
103,,,Antoine Cobb,DL,6-3,260.0,Fr.,"Frostproof, Fla. / Frostproof HS",,,,
104,,,Victor Evans III,DB,6-1,165.0,Fr.,"Opa Locka, Fla. / Monsignor Pace HS",,,,
105,,,Landon Hale,DB,6-1,178.0,Fr.,"Yulee, Fla. / Yulee HS",,,,
106,,,Luby Maurice Jr.,WR,6-3,188.0,Fr.,"West Palm Beach, Fla. / Palm Beach Central HS",,,,
107,,,Kyle McNeal,WR,6-0,166.0,Fr.,"Palm Beach Gardens, Fla. / Dwyer HS",,,,
108,,,Daniel Michel,OL,6-5,294.0,Fr.,"Fort Lauderdale, Fla. / Dillard HS",,,,
109,,,Braiden Staten,TE,6-5,236.0,Fr.,"Mount Juliet, Tenn. / Green Hill HS",,,,
110,,,Preston Thompson,DB,5-11,179.0,Fr.,"Clewiston, Fla. / Moore Haven HS",,,,
111,,,Atavious Weaver,LB,6-3,225.0,Fr.,"Cape Coral, Fla. / North Fort Myers HS",,,,
0,,,,,,,,,,,Mike MacIntyre,Head Coach - Football
1,,,,,,,,,,,David Yost,Offensive Coordinator
2,,,,,,,,,,,Jovan Dewitt,Defensive Coordinator
3,,,,,,,,,,,Joshua Eargle,Deputy Head Coach - Offensive Line
4,,,,,,,,,,,Eric Hickson,Associate Head Coach/Running Backs
5,,,,,,,,,,,Corey Bell,Assistant Coach - Cornerbacks/Recruiting Coordinator
6,,,,,,,,,,,Zac Roper,Assistant Coach - Special Teams Coordinator/Tight Ends
7,,,,,,,,,,,George Frazier,Assistant Coach - Defensive Line
8,,,,,,,,,,,Jay MacIntyre,Assistant Coach - Wide Receivers
9,,,,,,,,,,,Nate Taye,Assistant Coach - Safeties
10,,,,,,,,,,,Anthony Gaitor,Assistant Coach - Outside Linebackers
11,,,,,,,,,,,Brandon Buchner,Analyst
12,,,,,,,,,,,Luke Ebbesmeyer,Analyst
13,,,,,,,,,,,Aaron Haigler,Graduate Assistant
14,,,,,,,,,,,Jonston MacIntyre,Graduate Assistant
15,,,,,,,,,,,Trevor Vill,Graduate Assistant
0,,,,,,,,,,,Katie Bason,Assistant AD/Chief of Football Operations
1,,,,,,,,,,,Ricky Walterman,Head Equipment Manager
2,,,,,,,,,,,Ryan Webb,Assistant Director of Operations
3,,,,,,,,,,,Chris Speeney,Football Video Coordinator
