,Statistic,#,Full Name,Pos.,Ht.,Wt.,Elig.,Hometown,Current School Name,High School,Previous School,Image,Name,Title
64,,27.0,Trey Porter,S,6-0,190.0,R-Fr.,"Des Moines, Iowa",Northern Illinois,Ankeny Centennial,,,,
65,,69.0,Nolan Potter,OL,6-6,301.0,R-Sr.,"Cedar Rapids, Iowa",Northern Illinois,Washington,,,,
66,,24.0,Jashon Prophete,CB,5-11,184.0,Jr.,"Pompano Beach, Fla.",Northern Illinois,Blanche Ely,,,,
67,,37.0,Joey Rattin,H,6-0,219.0,Jr.,"Palatine, Ill.",Northern Illinois,Fremd,Upper Iowa,,,
68,,9.0,Daveren Rayner,LB,6-3,205.0,Jr.,"Indianapolis, Ind.",Northern Illinois,Lawrence Central,,,,
69,,17.0,Eli Reed,WR,5-11,182.0,R-Fr.,"Downers Grove, Ill.",Northern Illinois,Downers Grove South,,,,
70,,42.0,Dawson Ripperda,DE,6-3,236.0,R-Fr.,"Larchwood, Iowa",Northern Illinois,West Lyon,,,,
71,,46.0,Nathan Ruble,LB,6-1,222.0,R-Fr.,"Festus, Mo.",Northern Illinois,St. Pius X,,,,
72,,85.0,Trayvon Rudolph,WR,5-10,185.0,R-Jr.,"Crete, Ill.",Northern Illinois,Crete-Monee,,,,
73,,8.0,Kacper Rutkiewicz,WR,5-8,175.0,Sr.,"Mount Prospect, Ill.",Northern Illinois,John Hersey,Illinois State,,,
74,,28.0,Nevaeh Sanders,DE,6-4,223.0,Jr.,"Flint, Mich.",Northern Illinois,Flint Powers Catholic,Iowa Western CC,,,
75,,64.0,Matt Schooley,OL,6-2,298.0,R-Jr.,"Wisconsin Rapids, Wis.",Northern Illinois,Lincoln,,,,
76,,26.0,Chris Stinson,TE,6-4,222.0,R-Fr.,"Aurora, Ill.",Northern Illinois,West Aurora,,,,
77,,10.0,Demond Taylor Jr.,DT,6-2,299.0,Sr.,"East St. Louis, Ill.",Northern Illinois,East St. Louis,,,,
78,,82.0,Tristen Tewes,TE,6-3,249.0,R-Jr.,"Pleasant Plains, Ill.",Northern Illinois,Pleasant Plains,,,,
79,,4.0,Raishein Thomas,DE,6-4,268.0,Jr.,"Racine, Wis.",Northern Illinois,Washington Park,,,,
80,,62.0,Seth Thompson,OL,6-4,296.0,R-Jr.,"Eden Prairie, Minn.",Northern Illinois,Holy Family Catholic,,,,
81,,11.0,Messiah Travis,WR,5-10,183.0,Sr.,"Chicago, Ill.",Northern Illinois,Solorio Academy,,,,
82,,32.0,Quinn Urwiler,LB,6-0,231.0,R-Jr.,"Mooseheart, Ill.",Northern Illinois,Batavia,North Dakota,,,
83,,86.0,Trey Urwiler,WR,5-9,183.0,R-So.,"Mooseheart, Ill.",Northern Illinois,Batavia,,,,
84,,19.0,Nate Valcarcel,S,6-1,188.0,Jr.,"Greenfield, Wis.",Northern Illinois,Whitnall,South Dakota,,,
85,,96.0,Jacob Waskow,DT,6-2,282.0,R-Jr.,"Canton, Ill.",Northern Illinois,Canton,,,,
86,,21.0,Gavin Williams,RB,5-11,216.0,R-Jr.,"Altoona, Iowa",Northern Illinois,Dowling Catholic,Iowa,,,
87,,11.0,Jalonnie Williams,DT,6-4,297.0,R-So.,"Milwaukee, Wis.",Northern Illinois,Greenfield,,,,
88,,97.0,Roy Williams,DE,6-6,249.0,So.,"Crestwood, Ill.",Northern Illinois,Alan B. Shepard,,,,
89,,30.0,Zeke Williams,CB,5-10,186.0,R-Fr.,"Naperville, Ill.",Northern Illinois,Naperville North,,,,
90,,92.0,Kanon Woodill,K,5-11,168.0,R-So.,"Plainfield, Ill.",Northern Illinois,Plainfield North,,,,
91,,65.0,Logan Zschernitz,OL,6-3,319.0,R-Jr.,"Spencer, Wis.",Northern Illinois,Spencer,,,,
0,,,,,,,,,Northern Illinois,,,,Thomas Hammock,Head Coach
1,,,,,,,,,Northern Illinois,,,,Eric Eidsness,Offensive Coordinator/Quarterbacks
2,,,,,,,,,Northern Illinois,,,,Nick Benedetto,Defensive Coordinator/Safeties
