,Statistic,Full Name,Pos.,Ht.,Wt.,Hometown / High School,Academic Year,#,Twitter,Instagram,Last School,Image,Name,Title
0,,Giles Jackson,WR,5-9,176.0,"Antioch, Calif. / Freedom",Sr.,0.0,gilesjackson05,gilesjackson__,Michigan,,,
1,,Sav'ell Smalls,EDGE,6-3,257.0,"Seattle, Wash. / Kennedy Catholic",Jr.,0.0,SavvySmalls_9,savvyy9,,,,
2,,Jabbar Muhammad,CB,5-9,185.0,"DeSoto, Texas / DeSoto",Jr.,1.0,,,Oklahoma State,,,
3,,Rome Odunze,WR,6-3,211.0,"Las Vegas, Nev. / Bishop Gorman",Jr.,1.0,RomeOdunze,romeodunze,,,,
4,,Ja'Lynn Polk,WR,6-2,205.0,"Lufkin, Texas / Lufkin",So.,2.0,,jpolk_22,Texas Tech,,,
5,,Caleb Presley,CB,6-0,180.0,"Federal Way, Wash. / Rainier Beach",Fr.,2.0,,,,,,
6,,Taj Davis,WR,6-2,200.0,"Upland, Calif. / Upland",Jr.,3.0,tajdavis_,tajdavis__,,,,
7,,Mishael Powell,CB,6-1,206.0,"Seattle, Wash. / O'Dea",Jr.,3.0,meesh_powell,mltp.23,,,,
8,,Germie Bernard,WR,6-1,207.0,"Las Vegas, Nev. / Liberty",So.,4.0,germie_bernard,,Michigan State,,,
9,,Zion Tupuola-Fetui,EDGE,6-4,251.0,"Pearl City, Hawai'i / Pearl City",Sr.,4.0,ZTF58,ztupufet,,,,
10,,Dylan Morris,QB,6-0,202.0,"Puyallup, Wash. / Graham-Kapowsin",Jr.,5.0,D_Morris5,dylan_morris5,,,,
11,,Edefuan Ulofoshio,LB,6-1,234.0,"Anchorage, Alaska / Bishop Gorman (Nev.)",Sr.,5.0,Ulofoshio30,edefuan.u,,,,
12,,Davon Banks,CB,5-11,182.0,"San Jacinto, Calif. / San Jacinto",So.,6.0,davon_banks5,davon6banks,,,,
13,,Richard Newton,RB,6-0,214.0,"Lancaster, Calif. / Palmdale",Sr.,6.0,iRiichh,iriichh,,,,
14,,Dominique Hampton,HUSKY,6-3,218.0,"Glendale, Ariz. / Centenniel",Sr.,7.0,hampton_dom,d.hamp21,,,,
15,,Dillon Johnson,RB,6-0,215.0,"Greenville, Miss. / St. Joseph",Jr.,7.0,,,Mississippi State,,,
16,,Will Nixon,RB/WR,5-11,200.0,"Waco, Texas / Midway",So.,8.0,,,Nebraska,,,
17,,Bralen Trice,EDGE,6-4,267.0,"Phoenix, Ariz. / Sandra Day O'Connor",Jr.,8.0,braytrice11,braytrice,,,,
18,,Thaddeus Dixon,CB,6-1,190.0,"Los Angeles, Calif. / La Mirada",Jr.,9.0,,,Long Beach City College,,,
19,,Michael Penix Jr.,QB,6-3,216.0,"Tampa, Fla. / Tampa Bay Tech",Sr.,9.0,themikepenix,themp9,Indiana,,,
20,,Ralen Goforth,LB,6-2,236.0,"Long Beach, Calif. / St. John Bosco",Gr.,10.0,,,USC,,,
21,,Jalen McMillan,WR,6-1,189.0,"Fresno, Calif. / San Joaquin Memorial",Jr.,11.0,jalenmcmillan20,jalenmmcmillan,,,,
22,,Alphonzo Tuputala,LB,6-2,238.0,"Federal Way, Wash. / Federal Way",Jr.,11.0,ATuputala,alphonzo_t,,,,
