,Statistic,#,Name,Pos.,Ht.,Wt.,Yr.,Hometown,High School,Previous School,Instagram,Twitter,Image,Title
0,,0.0,Henry Ikahihifo,DL,6-3,260.0,5th,"Lancaster, Calif.",Paraclete HS,,,,,
1,,0.0,Cross Patton,RB,5-6,155.0,R-Sr.,"Atlanta, Ga.",Woodward Academy,Oregon,,,,
2,,1.0,Darion Green-Warren,DB,6-0,175.0,R-Jr.,"Lake Elsinore, Calif.",Mater Dei,Michigan,gogettadarion,gogettadarion,,
3,,2.0,Isaiah Essissima,CB,5-10,177.0,5th,"Houston, Texas",Fort Bend Hightower,Wake Forest,,,,
4,,2.0,Brendon Lewis,QB,6-2,215.0,R-So.,"Melissa, Texas",Melissa HS,Colorado,,,,
5,,3.0,Jamaal Bell,WR,5-10,171.0,Sr.,"Lancaster, Calif.",Antelope Valley HS,,,,,
6,,3.0,Junior Walling,LB,6-1,228.0,R-Jr.,"Keizer, Ore.",McNary,Oregon State,,,,
7,,4.0,Sean Dollars,RB,5-10,195.0,R-Jr.,"Rancho Cucamonga, Calif.",Mater Dei HS,Oregon,,,,
8,,4.0,Eli'jah Winston,LB,6-3,,6th,"Portland, Ore.",Central Catholic,USC,,,,
9,,5.0,Dalevon Campbell,WR,6-4,,5th,"Missouri City, Texas",Ford Bend Marchall,Illinois,,,,
10,,5.0,Emany Johnson,DB,6-2,216.0,6th,"Richmond, Calif.",Hercules HS,,royal_rare,ball5islife,,
11,,6.0,Jaden Dedman,DB,5-10,175.0,6th,"Rancho Cucamonga, Calif.",Upland HS,,,,,
12,,7.0,Marquis Ashley,WR,5-8,166.0,R-So.,"Norco, Calif.",Norco,Riverside CC,,,,
13,,7.0,Jonathan Thomas,LB,6-3,253.0,R-Jr.,"West Hills, Calif.",Sierra Canyon,College of the Canyons,,,,
14,,8.0,Jax Leatherwood,QB,6-8,245.0,Fr.,"San Diego, Calif.",Scripps Ranch HS,,,,,
15,,8.0,Tre Weed,DB,6-0,190.0,6th,"Sumner, Wash.",Sumner HS,Eastern Washington,,,,
16,,9.0,Davion Blackwell,LB,6-1,215.0,R-Jr.,"Columbia, S.C.",Folsom HS,,__blackwell,Dblackwell_,,
17,,9.0,Keenan Speer-Johnson,WR,6-2,191.0,R-Fr.,"Beaverton, Ore.",Mountainside,,,,,
18,,10.0,AJ Bianco,QB,6-4,215.0,R-Fr.,"Honolulu, Hawaii",Saint Louis,,,,,
19,,10.0,KK Meier,DB,6-1,186.0,R-Fr.,"Lubbock, Texas",Frenship,,,,,
20,,11.0,Carlos Sandy,WR,5-9,185.0,6th,"Dania Beach, Fla.",Cardinal Gibbons,Illinois,,,,
21,,11.0,Marcel Walker-Burgess,LB,6-3,230.0,Jr.,"Piscataway, N.J.",Piscataway,Southern Connecticut State,,,,
22,,12.0,Kacee Williams,DB,6-2,191.0,R-Sr.,"Keller, Texas",Central HS,,kaceeolay,kaceeolay,,
23,,13.0,Jake Barlage,QB,6-1,194.0,R-Sr.,"Moreno Valley, Calif.",Valley View HS,Riverside City College,,,,
24,,13.0,Zeke Robbins,DB,5-11,187.0,R-Sr.,"Chandler, Ariz.",Chandler HS,Butler Community College,,,,
25,,14.0,Baylor Horning,QB,6-2,208.0,R-Sr.,"Sparks, Nev.",Reed,San Diego State,,,,
26,,14.0,Zach Lewis,CB,5-10,183.0,R-So.,"Chandler, Ariz.",Hamilton HS,,z3_otf,zsmooth11,,
27,,15.0,Kola Babalola,WR,6-2,205.0,R-Fr.,"Modesto, Calif.",James C. Enochs,,,,,
28,,16.0,Shane Illingworth,QB,6-6,233.0,R-Jr.,"Norco, Calif.",Norco,Oklahoma State,,,,
29,,16.0,Maurice Wilmer,LB,6-0,238.0,R-Sr.,"Mountain View, Calif.",St. Francis HS,,momowilmer,momowilmer,,
30,,17.0,Micah Camat,DB,6-1,192.0,R-Jr.,"Honolulu, Hawaii",'Iolani School,,,,,
31,,17.0,Dazure Paggett,WR,6-0,169.0,R-So.,"San Diego, Calif.",Lincoln,,,,,
32,,18.0,Spencer Curtis,WR,5-11,182.0,R-Sr.,"Las Vegas, Nev.",Jordan,Oregon,,,,
33,,18.0,Matthew Killam,PK,5-10,174.0,R-Jr.,"San Diego, Calif.",Scripps Ranch HS,,,,,
34,,19.0,Elijah Barclay,WR,6-3,169.0,R-Fr.,"Santa Ana, Calif.",San Juan Hills,,,,,
35,,19.0,KeeKee McQueen,DB,5-9,170.0,R-Fr.,"Spanaway, Wash.",Spanaway Lakes,,,,,
36,,20.0,Gerick Robinson,WR,5-8,180.0,R-So.,"Las Vegas, Nev.",Centennial HS,Colorado State,,,,
37,,22.0,Hezekiah Anahu-Ambrosio,LB,6-0,215.0,Fr.,"Kailua-Kona, Hawaii",Konawaena HS,,,,,
38,,22.0,Jeshua Fixel,RB,5-8,165.0,R-Sr.,"Sparks, Nev.",Excel Christian HS,,,,,
39,,23.0,Jacques Badolato-Birdsell,RB,5-10,201.0,R-So.,"Camas, Wash.",Camas HS,,,,,
40,,23.0,Richard Toney,DB,6-0,189.0,R-So.,"Arlington, Texas",Arlington,,,,,
41,,24.0,Chad Brown,DB,6-3,178.0,R-Sr.,"Columbia, Md.",St. Frances,UCF,,,,
42,,25.0,Dorian Blackwell,CB,6-2,162.0,R-So.,"Columbia, S.C.",Spanish Springs HS,,1k.voss,dblackwell03,,
43,,25.0,D'on Williams,RB,5-10,190.0,R-Fr.,"Las Vegas, Nev.",Clark HS,,,,,
44,,26.0,Donoven DeRicco,DB,6-2,190.0,R-Fr.,"Reno, Nev.",Bishop Manogue HS,,,,,
45,,26.0,Ashton Hayes,RB,6-0,200.0,So.,"Reno, Nev.",McQueen HS,California,,,,
46,,28.0,Elijah Acklin,DB,5-9,180.0,R-Fr.,"Sparks, Nev.",Reed HS,,,,,
47,,28.0,Terrell Johnson,TE,6-1,215.0,6th,"Ewa Beach, Hawai'i",James Campbell HS,Southwestern College,,,,
48,,31.0,Avery Carrington,DB,6-2,202.0,R-Sr.,"Chandler, Ariz.",Chandler HS,,,,,
49,,31.0,Oliver Stuart,TE,6-4,250.0,R-Fr.,"Redwood City, Calif.",St. Ignatius Prep,,,,,
50,,32.0,Wesley Kommer,RB,5-9,190.0,R-Jr.,"Springfield, Ore.",Thurston HS,,,,,
51,,32.0,Drue Watts,LB,6-0,221.0,R-So.,"Palmdale, Calif.",Sierra Canyon,,dr_ue7,wattsdrue,,
52,,33.0,Stone Combs,LB,6-0,219.0,R-Fr.,"Park City, Utah",Park City,,,,,
53,,34.0,Malcolm McClure,LB,6-1,220.0,R-Fr.,"Reno, Nev.",Bishop Manogue HS,California,,,,
54,,36.0,Naki Mateialona,LB,6-1,222.0,Sr.,"Compton, Calif.",Dominguez HS,,,,,
55,,37.0,Marquese Allen-Patmon,DB,6-1,200.0,R-Jr.,"San Diego, Calif.",Lincoln HS,,,,,
56,,38.0,Boden Page,K/P,6-2,190.0,Fr.,"Greenwood Village, Colo.",Cherry Creek HS,,,,,
57,,39.0,Micah Lilo,LB,6-0,215.0,R-Jr.,"Honolulu, Hawaii",Kamehameha Schools Kapalama,,,,,
58,,40.0,Caleb Manson,DE,6-6,209.0,R-So.,"Orange, Calif.",El Modena,,,,,
59,,42.0,Jackson LaDuke,LB,6-3,240.0,R-So.,"Sparks, Nev.",Spanish Springs HS,Oregon,,,,
60,,43.0,Brandon Talton,PK,5-9,185.0,5th,"Vacaville, Calif.",Vacaville HS,,,,,
61,,44.0,Zach Beagle,LB,6-2,225.0,6th,"Rockledge, Fla.",Cocoa,Princeton,,,,
62,,45.0,Chris Smalley,LB,6-5,220.0,So.,"Minden, Nev.",Douglas,,,,,
63,,46.0,Aedan Seiuli,DB,6-3,206.0,R-So.,"Spanish Fork, Utah",Maple Mountain,,,,,
64,,47.0,Hunter Kaupiko,DL,6-0,,R-Jr.,"Las Vegas, Nev.",Faith Lutheran,San Diego State,,,,
65,,47.0,Rory Morgan,TE,-,,R-Jr.,"Petaluma, Calif.",St. Vincent De Paul HS,American River College / San Diego State,,,,
66,,48.0,Matt Freem,P,6-0,190.0,6th,"Lake Forest, Calif.",El Toro HS,Saddleback College,,,,
67,,50.0,Louie Cresto,DL,6-5,265.0,R-Jr.,"Twin Falls, Idaho",Canyon Ridge,Oregon,,,,
