,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Hometown / Previous School,Image,Title
19,,10.0,James Hopson II,S,6-0,188.0,Sr.,"Leesburg, Ga. / Lee County",,
20,,10.0,Peyton Jones,RB,5-10,199.0,Fr.,"Norfolk, Va. / Maury High School",,
21,,11.0,Isaiah Fisher-Smith,S,5-11,195.0,Sr.,"Greensboro, N.C. / Page",,
22,,11.0,Mehki Wall,WR,5-9,177.0,R-Fr.,"Greensboro, N.C. / Dudley",,
23,,12.0,Tre Freeman,LB,6-0,233.0,R-So.,"Durham, N.C. / Northern",,
24,,12.0,Grayson Loftis,QB,6-3,203.0,Fr.,"Gaffney, S.C. / Gaffney High School",,
25,,13.0,Riley Leonard,QB,6-4,209.0,Jr.,"Fairhope, Ala. / Fairhope",,
26,,13.0,Jaden Watkins,S,6-0,192.0,R-Fr.,"Asheville, N.C. / Asheville School",,
27,,14.0,Quentin Ajiero,CB,5-10,173.0,Fr.,"Acworth, Ga. / North Cobb",,
28,,15.0,Placide Djungu-Sungu,N,6-1,188.0,R-So.,"Arlington, Texas / James Martin",,
29,,15.0,Jake Taylor,TE,6-5,232.0,R-Fr.,"Apex, N.C. / Cardinal Gibbons",,
30,,16.0,Cade Anders,TE,6-2,239.0,R-Fr.,"Hahira, Ga. / Tift County/Army Prep (USMAPS)",,
31,,16.0,Aeneas Peebles,DT,6-1,292.0,Sr.,"Raleigh, N.C. / Knightdale",,
32,,16.0,William Robertson,WR,6-1,185.0,Sr.,"Montgomery, Ala. / Montgomery Academy",,
33,,17.0,Da'Quan Johnson,S,6-1,193.0,Sr.,"Flomaton, Ala. / Flomaton",,
34,,18.0,Malik Bowen-Sims,WR,6-2,189.0,Sr.,"Mount Juliet, Tenn. / Mount Juliet Senior",,
35,,18.0,Jeremiah Hasley,LB,6-3,238.0,R-Fr.,"Gibsonia, Pa. / Pine-Richland",,
36,,19.0,Vincent Anthony Jr.,DE,6-6,228.0,So.,"Durham, N.C. / Jordan",,
37,,19.0,Travis Bates,RB,5-11,198.0,R-Fr.,"Tampa, Fla. / Berkeley Prep",,
38,,21.0,Khilan Walker,CB,5-9,168.0,Sr.,"Nesbit, Miss. / Lewisburg",,
39,,21.0,Eric Weatherly,WR,5-7,175.0,R-Fr.,"St. John's, Fla. / Bartram Trail",,
40,,22.0,Jaylen Coleman,RB,6-1,198.0,Gr.,"Matthews, N.C. / Porter Ridge",,
41,,22.0,Moussa Kane,CB,6-1,185.0,Fr.,"Harlem, N.Y. / Blair Academy",,
42,,23.0,Edwin Barnes III,WR,6-1,190.0,Sr.,"Charlotte, N.C. / Covenant Day School",,
43,,23.0,Terry Moore,S,6-1,198.0,So.,"Washington, N.C. / Washington",,
44,,24.0,Nathan Vail,S,6-2,195.0,R-Fr.,"Kennesaw, Ga. / Harrison",,
45,,25.0,Desmond Aladuge,DE,6-4,258.0,Fr.,"Milford, Del. / Milford Senior High School",,
46,,26.0,Joshua Pickett,CB,6-0,188.0,Jr.,"Demorest, Ga. / Habersham Central",,
47,,27.0,Jack Yates,LS,6-0,211.0,So.,"Hudson, Mass. / Cheshire Academy",,
48,,28.0,Dylan Merrell,CB,6-1,188.0,R-So.,"Alpharetta, Ga. / Alpharetta",,
49,,29.0,Todd Pelino,K,6-2,184.0,So.,"Cornelius, N.C. / Cannon School",,
50,,30.0,Carter Wyatt,LB,6-1,232.0,R-Fr.,"Shallotte, N.C. / West Brunswick",,
51,,32.0,George Wright,S,5-11,199.0,So.,"Dallas, Texas / Highland Park",,
52,,33.0,Dawson Andrew,S,5-11,190.0,So.,"Flowery Branch, Ga. / Buford",,
53,,34.0,Luke Mergott,LB,6-3,219.0,Fr.,"Berlin, Md. / Stephen Decatur High School",,
54,,35.0,Cam Dillon,LB,6-2,224.0,Gr.,"Findlay, Ohio / Findlay (Columbia)",,
55,,36.0,Nick Morris Jr.,LB,6-3,228.0,R-So.,"Austin, Texas / Westlake",,
56,,38.0,Memorable Factor,LB,5-11,215.0,So.,"London, England / Eton College [Windsor, U.K.]",,
57,,39.0,Zach Jepson,DE,6-7,230.0,So.,"Bend, Ore. / Avon Old Farms [Conn.]",,
58,,40.0,Ryan Smith,DE,6-2,234.0,Sr.,"Acworth, Ga. / Harrison",,
59,,41.0,Grissim Anderson,RB,6-2,223.0,Sr.,"Knoxville, Tenn. / Webb School",,
60,,43.0,Semaj Turner,DE,6-3,245.0,Fr.,"Winston-Salem, N.C. / Ronald Wilson Reagan High School",,
61,,44.0,Charlie Ham,K,6-2,196.0,Gr.,"Atlanta, Ga. / The Westminster School",,
62,,53.0,Brian Parker II,OL,6-5,295.0,R-Fr.,"Cincinnati, Ohio / St. Xavier",,
63,,55.0,Michael Purcell,OL,6-4,313.0,Gr.,"Centerville, Ohio / Centerville (Elon)",,
64,,56.0,Steven Nahmias,OL,6-3,298.0,R-Fr.,"Dunwoody, Ga. / Marist School",,
65,,57.0,Curtis Cooper,LS,6-2,215.0,Jr.,"Huntsville, Ala. / Randolph School",,
66,,58.0,Casey Donahue,LS,6-4,210.0,Jr.,"Traverse City, Mich. / Traverse City Saint Francis",,
67,,59.0,Michael Reese,DE,6-3,246.0,R-Jr.,"Nashville, Tenn. / Cane Ridge",,
