,Statistic,#,Full Name,Pos.,Ht.,Academic Year,Hometown / High School,Wt.,Previous School,Twitter,Instagram,Image,Name,Title
30,,,,,,,,,,,,,Bryair Alston,Assistant Athletic Trainer - Football
31,,,,,,,,,,,,,Brian Siegrist,Associate AD/Communications & Broadcasting
32,,,,,,,,,,,,,Dave Albrecht,Communications
33,,,,,,,,,,,,,Jeremy Lees,Assistant AD/Football Equipment
34,,,,,,,,,,,,,Eric Wright,Equipment Manager
35,,,,,,,,,,,,,Brendan Armitage,Compliance
36,,,,,,,,,,,,,Tyler Rutledge,Compliance
37,,,,,,,,,,,,,Hannah Delph,Compliance
38,,,,,,,,,,,,,Carlton Rice,Student-Athlete Enhancement
39,,,,,,,,,,,,,Jim Fee,Event Management
40,,,,,,,,,,,,,Holden Reinman,Event Management
