,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Hometown (Prev School),Image,Title
24,,15.0,Terrell Gordon,OLB,6-1,190.0,Sr.,"Phenix City, Ala. / Central",,
25,,15.0,Noah Ross,QB,6-1,195.0,R-Fr.,"Stockbridge, Ga. / Woodland",,
26,,16.0,Tailique Williams,WR,5-9,167.0,R-Jr.,"Pine Mountain, Ga. / Harris County",,
27,,17.0,KZ Adams,RB,5-8,175.0,R-Fr.,"West Columbia, S.C. / Gray Collegiate Academy",,
28,,17.0,Shamar McCollum,OLB,6-4,225.0,Sr.,"Hamer, S.C. / Dillon/Wake Forest",,
29,,18.0,Jay Dixon,RB,5-11,180.0,R-So.,"Loris, S.C. / Green Sea Floyds",,
30,,18.0,PJ Simmons II,OLB,6-0,180.0,R-Fr.,"McDonough, Ga. / Eagle's Landing Christian Academy",,
31,,19.0,Tony McCray Jr.,CB,5-11,170.0,R-So.,"Clarksdale, Miss. / Lake Cormorant",,
32,,21.0,JayT Jackson,CB,6-1,170.0,R-Fr.,"Columbus, Ga. / Spencer",,
33,,22.0,Jalen Tate,S,6-0,195.0,R-Jr.,"Pelzer, S.C. / Greenville",,
34,,23.0,Marcus Carroll,RB,5-10,205.0,Sr.,"Union City, Ga. / Hapeville Charter Academy",,
35,,24.0,Tyreke Harrison,S,5-10,180.0,R-Sr.,"Plant City, Fla. / Plant City",,
36,,28.0,Ronald Cooper,CB,5-10,180.0,Jr.,"Savannah, Ga. / Jenkins",,
37,,30.0,Makkah Jordan,S,5-10,180.0,R-So.,"St. Petersburg, Fla. / Calvary Christian School",,
38,,32.0,Cody Jones,CB,6-2,195.0,R-Jr.,"Fayetteville, Ga. / Sandy Creek/UMass",,
