,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Hometown,Current School Name,High School,Previous School,Twitter,Instagram,Image,Title
108,,91.0,Nelson Mbanasor,DL,6-3,270.0,R-Sr.,"Pflugerville, Texas",Texas State,Hendrickson,Texas Tech,mbanasor_,,,
109,,92.0,Samuel Obiang,DL,6-0,285.0,Sr.,"Ottawa, Ontario, Canada",Texas State,Woodbridge Academy (Va.),Northeastern Oklahoma A&M College,SbObg92,s_obg3,,
110,,93.0,DeOnte Washington,DL,6-1,290.0,R-So.,"Colorado Springs, Colo.",Texas State,Vista Ridge,Independence CC,path2greatnss,_93rdbaby_,,
111,,94.0,Kamren Washington,DL,6-2,265.0,,"Mansfield, Texas",Texas State,Mansfield Summit,Sam Houston,,kbw0k,,
112,,95.0,Nico Ezidore,DL,6-1,280.0,Sr.,"Garland, Texas",Texas State,Naaman Forest HS,,nico_ezidore,nico_ezidore,,
113,,96.0,Davon Sears,DL,6-2,290.0,R-So.,"Detroit, Mich.",Texas State,Centerline HS,Ellsworth CC,sears_davon,von.96_,,
114,,97.0,Dominique Ratcliff,DL,6-3,280.0,R-Fr.,"Conroe, Texas",Texas State,Conroe,Louisiana,raatcliff,raatcliff,,
115,,98.0,Gjemar Daniels,DL,5-11,305.0,R-Sr.,"Kennedale, Texas",Texas State,Kennedale HS,,GjemarDaniels,gjemar_daniels,,
116,,99.0,Seamus O'Kelly,P,6-0,170.0,Jr.,"Brisbane, Australia",Texas State,Iona College Brisbane,,SeamusOKelly4,seamusokelly,,
117,,99.0,Myron Warren,DL,6-2,270.0,R-So.,"Many, La.",Texas State,Many,Texas,trxppietv,trxppietv,,
0,,,Jake Spavital,,,,,,Texas State,,,,,,Head Football Coach
1,,,Zac Spavital,,,,,,Texas State,,,,,,Defensive Coordinator
2,,,RJ Fleming,,,,,,Texas State,,,,,,Running Backs Coach
3,,,Bryson Abraham,,,,,,Texas State,,,,,,Wide Receivers Coach
4,,,Chris Buckner,,,,,,Texas State,,,,,,Wide Receivers Coach
5,,,Boone Feldt,,,,,,Texas State,,,,,,Tight Ends Coach
6,,,Brian Hamilton,,,,,,Texas State,,,,,,Offensive Line Coach
7,,,Jacori Greer,,,,,,Texas State,,,,,,Defensive Line Coach
8,,,Brian Gamble,,,,,,Texas State,,,,,,Inside Linebackers
9,,,Tevin Mims,,,,,,Texas State,,,,,,Outside Linebackers Coach
10,,,Clay Jennings,,,,,,Texas State,,,,,,Defensive Backs Coach/Passing Game Coordinator
0,,,Damon Harrington,,,,,,Texas State,,,,,,Head Football Strength and Conditioning Coach
1,,,Jason Russell,,,,,,Texas State,,,,,,Assistant Football Strength and Conditioning Coach
2,,,Romorious Westbrook,,,,,,Texas State,,,,,,"Strength Coach, Football"
3,,,Jeremy Cobb,,,,,,Texas State,,,,,,Head Football Athletic Trainer
4,,,Brendan Ahern,,,,,,Texas State,,,,,,Assistant Athletic Trainer
5,,,Patrick Doherty,,,,,,Texas State,,,,,,Offensive Analyst
6,,,Zach McCarthy,,,,,,Texas State,,,,,,Defensive Analyst
7,,,Tyler Zielenske,,,,,,Texas State,,,,,,Special Teams Analyst
8,,,Reece Barlow,,,,,,Texas State,,,,,,Graduate Assistant - Special Teams
9,,,Andrew Cobus,,,,,,Texas State,,,,,,Graduate Assistant - Offensive Line
10,,,Jada Gipson,,,,,,Texas State,,,,,,Graduate Assistant - Defense
11,,,Jarred Gray,,,,,,Texas State,,,,,,Graduate Assistant - Defensive Backs
12,,,Haleigh Blocker,,,,,,Texas State,,,,,,Director of Football Operations
13,,,Connor Anderson,,,,,,Texas State,,,,,,Director of Player Personnel
14,,,James Sherman,,,,,,Texas State,,,,,,Director of Player Development
15,,,Evan King,,,,,,Texas State,,,,,,Video Coordinator
16,,,Andrew Johnson,,,,,,Texas State,,,,,,Director of Equipment Operations
17,,,Luis Mendoza,,,,,,Texas State,,,,,,Athletic Equipment Manager
18,,,Alex Powell,,,,,,Texas State,,,,,,Director of Creative Media
19,,,Dru Sawyer,,,,,,Texas State,,,,,,On-Campus Recruiting Coordinator
