,Number,Name,Position,Height,Weight,Class,Experience,Hometown,High School,Previous School
0,0.0,Maason Smith,Defensive Tackle,6-6,310.0,Redshirt Sophomore,1L,"Houma, La.",Terrebonne HS,
1,1.0,Aaron Anderson,Wide Receiver,5-8,180.0,Redshirt Freshman,TR,"New Orleans, La.",Edna Karr HS,
2,1.0,Omar Speights,Linebacker,6-1,235.0,Senior,TR,"Philadelphia, Pa.",Crescent Valley HS,Oregon State
3,2.0,Kyren Lacy,Wide Receiver,6-2,212.0,Senior,1L,"Thibodaux, La.",Thibodaux HS,UL-Lafayette
4,3.0,Greg Brooks Jr.,Safety,5-10,187.0,5th-year Senior,1L,"Harvey, La.",West Jefferson HS,Arkansas
5,4.0,John Emery Jr.,Running Back,5-10,220.0,5th-year Senior,3L,"St. Rose, La.",Destrehan HS,
6,4.0,Harold Perkins Jr.,Linebacker,6-1,220.0,Sophomore,1L,"New Orleans, La.",Cy Park HS,
7,5.0,Jayden Daniels,Quarterback,6-4,205.0,Senior,1L,"San Bernardino, Calif.",Cajon HS,Arizona State
8,8.0,Malik Nabers,Wide Receiver,6-0,199.0,Junior,2L,"Youngsville, La.",Southside HS,
9,10.0,Rickie Collins,Quarterback,6-2,195.0,Freshman,HS,"Baton Rouge, La.",Woodlawn HS,
10,10.0,Denver Harris,Cornerback,6-0,183.0,Sophomore,TR,"Houston, Texas",North Shore HS,Texas A&M
11,11.0,Jaxon Howard,Defensive End,6-4,240.0,Freshman,HS,"Crystal, Minn.",Robbinsdale Cooper HS,
12,11.0,Brian Thomas Jr.,Wide Receiver,6-4,201.0,Junior,2L,"Walker, La.",Walker HS,
13,12.0,JK Johnson,Cornerback,6-1,180.0,Sophomore,TR,"St. Louis, Mo.",De Smet Jesuit HS,Ohio State
14,12.0,Kyle Parker,Wide Receiver,5-11,190.0,Freshman,HS,"Allen, Texas",Lovejoy HS,
15,13.0,Garrett Nussmeier,Quarterback,6-1,202.0,Redshirt Sophomore,2L,"Lake Charles, La.",Marcus HS,
16,13.0,Bradyn Swinson,Defensive End,6-4,249.0,Junior,TR,"Douglasville, Ga.",Chapel Hill HS,Oregon
17,14.0,Jalen Brown,Wide Receiver,6-1,173.0,Freshman,HS,"Miami, Fla.",Gulliver Prep School,
18,14.0,Matthew Langlois,Safety,6-0,205.0,Redshirt Sophomore,1L,"New Roads, La.",Catholic HS of Pointe Coupee,
19,15.0,Matt O'Dowd,Quarterback,6-1,201.0,Redshirt Sophomore,SQ,"Plantation, Fla.",Marjory Stoneman Douglas HS,
20,15.0,Sage Ryan,Safety,5-11,202.0,Redshirt Sophomore,2L,"Lafayette, La.",Lafayette Christian Academy,
21,16.0,George Hamsley,Quarterback,6-4,215.0,Sophomore,SQ,"Memphis, Tenn.",Memphis University School,
22,16.0,Quad Wilson,Safety,5-9,164.0,Junior,SQ,"New Orleans, La.",Brandeis HS,McNeese
23,17.0,Chris Hilton Jr.,Wide Receiver,6-0,183.0,Redshirt Sophomore,1L,"Zachary, La.",Zachary HS,
24,17.0,Ovie Oghoufo,Defensive End,6-3,245.0,Senior,TR,"Lathrup Village, Mich.",Harrison HS,Texas
25,19.0,Jordan Allen,Safety,5-11,195.0,Redshirt Freshman,RS,"Lafayette, La.",Lafayette Christian Academy,
26,19.0,Jay Bramblett,Punter,6-2,202.0,5th-year Senior,1L,"Tuscaloosa, Ala.",Hillcrest HS,Notre Dame
27,21.0,Noah Cain,Running Back,5-10,220.0,Senior,1L,"Baton Rouge, La.",IMG Academy,Penn State
28,21.0,Ryan Yaites,Safety,6-1,208.0,Freshman,HS,"Denton, Texas",John H. Guyer HS,
29,22.0,Duce Chestnut,Cornerback,5-11,200.0,Junior,TR,"Camden, N.J.",Camden HS,Syracuse
30,22.0,Armoni Goodwin,Running Back,5-8,200.0,Junior,2L,"Birmingham, Ala.",Hewitt-Trussville HS,
31,23.0,Corren Norman,Running Back,5-9,205.0,5th-year Senior,2L,"Lafayette, La.",Lafayette HS,
32,24.0,Zy Alexander,Cornerback,6-2,188.0,Junior,TR,"Loreauville, La.",Loreauville HS,Southeastern Louisiana
33,24.0,Landon Ibieta,Wide Receiver,5-11,192.0,Redshirt Freshman,RS,"Mandeville, La.",Mandeville HS,
34,25.0,Trey Holly,Running Back,5-7,191.0,Freshman,HS,"Farmerville, La.",Union Parish HS,
35,25.0,Javien Toviano,Cornerback,6-1,199.0,Freshman,HS,"Arlington, Texas",Martin HS,
36,27.0,Laterrance Welch,Cornerback,6-1,191.0,Sophomore,1L,"Lafayette, La.",Acadiana HS,
