,Statistic,#,Name,Pos.,Ht.,Wt.,Yr.,Hometown / High School,Previous School,Twitter,Instagram,Image,Title
26,,14.0,Maddox Kopp,QB,6-5,210.0,Fr.,"Houston, Texas / St. Thomas",Houston,,,,
27,,15.0,Simeon Harris,CB,6-0,180.0,Fr.,"Vallejo, Calif. / Benicia",,,,,
28,,15.0,Chase Sowell,WR,6-3,200.0,Fr.,"Humble, Texas / Atascocita",,,,,
29,,16.0,Colton Allen,QB,6-3,200.0,Fr.,"Highlands Ranch, Colo. / Valor Christian",,,,,
30,,16.0,Jordan Woolverton,S,6-2,195.0,Fr.,"Durango, Colo. / Durango",,jjwool10,jordan.woolverton,,
31,,17.0,Xavier Smith,S,6-2,185.0,Fr.,"Atlanta, Ga. / Langston Hughes",,,,,
32,,18.0,Caleb Fauria,TE,6-5,240.0,Fr.,"Attleboro, Mass. / Bishop Feehan",,@caleb_4ea,caleb4ea,,
33,,20.0,Robert Barnes,ILB,6-2,230.0,Gr.,"Southlake, Texas / Carroll",Oklahoma,,,,
34,,20.0,Deion Smith,TB,6-0,190.0,Jr.,"Houston, Texas / Second Baptist",,@deions20,2.dee_,,
35,,21.0,Jayle Stacks,TB,5-11,235.0,So.,"Aurora, Colo. / Cherry Creek",,@jaylestacks,j.stacks7,,
36,,21.0,Joshua Wiggins,CB,6-1,175.0,Fr.,"Spring, Texas / Klein Oak",,,,,
37,,22.0,Anthony Hankerson,TB,5-9,190.0,Fr.,"Boynton Beach, Fla. / St. Thomas Aquinas",,,,,
38,,22.0,Toren Pittman,CB,6-4,175.0,So.,"Frisco, Texas / Lone Star",,@torenpittman,torenpittman,,
39,,23.0,Isaiah Lewis,S,6-0,190.0,Sr.,"Granite Bay, Calif. / Granite Bay",,Zayrock23,Zayrock23,,
40,,23.0,Grant Page,WR,6-3,200.0,Fr.,"Boulder, Colo. / Fairview",,,,,
41,,25.0,Jack Hestera,WR,6-0,180.0,Fr.,"Cedar Park, Texas / Cedar Park",,,,,
