,Statistic,#,Full Name,Ht.,Wt.,Pos.,Academic Year,Hometown / High School,Previous School,Image,Name,Title
37,,23.0,Nate Milanowski,5-9,189.0,Running Back,R-So.,"Grand Rapids, Mich. / East Grand Rapids",,,,
38,,24.0,Danny Dunlop,5-11,176.0,Running Back,R-So.,"Loveland, Ohio / Moeller",,,,
39,,26.0,Jordan Brunson,6-0,226.0,Running Back,R-So.,"Alpharetta, Ga. / Denmark",Virginia Tech,,,
40,,26.0,Eli Coppess,6-1,216.0,Linebacker,R-Fr.,"Pickerington, Ohio / Pickerington North",,,,
41,,28.0,Caleb Tubbs,6-1,175.0,Defensive Back,R-So.,"Cincinnati, Ohio / Winton Woods",,,,
42,,29.0,Silas Walters,6-0,197.0,Defensive Back,R-So.,"West Chester, Ohio / Lakota West",,,,
43,,30.0,Mason Moore,6-2,203.0,Defensive Back,R-Fr.,"Lexington, Ky. / Lexington Christian Academy",,,,
44,,31.0,Dom Dzioban,6-1,200.0,Kicker/Punter,Jr.,"Frankfork, Ill. / Lincoln Way East",,,,
45,,31.0,Cam Kirk,5-10,192.0,Defensive Back,R-So.,"Dublin, Ohio / Coffman",,,,
46,,32.0,Jalen Peterson,5-11,190.0,Defensive Back,R-Jr.,"Avon, Ind. / Avon",Indianapolis,,,
47,,33.0,Ryan Kahn,5-9,180.0,Defensive Back,R-So.,"Strongsville, Ohio / Strongsville",,,,
48,,33.0,Kenny Tracy,5-10,217.0,Running Back,Jr.,"Indianapolis, Ind. / Decatur Central",,,,
49,,36.0,Jackson Izzard,6-3,211.0,Wide Receiver,R-So.,"Plain City, Ohio / Alder High School",,,,
50,,36.0,Dominic Nardone,5-11,220.0,Linebacker,Jr.,"Dublin, Ohio / Dublin Jerome",,,,
51,,37.0,Scotty Nieman,6-6,217.0,Tight End,R-So.,"Cincinnati, Ohio / Elder",,,,
52,,39.0,AJ Mirgon,5-11,198.0,Wide Receiver,R-So.,"Hilliard, Ohio / Bradley",,,,
53,,43.0,Grant Lyons,6-3,228.0,Linebacker,R-Fr.,"Cincinnati, Ohio / St. Xavier",,,,
54,,44.0,Cameron Williams,6-3,230.0,Linebacker,R-Jr.,"Merrillville, Ind. / Andrean",Garden City CC/Indiana,,,
55,,45.0,Nick Walker,6-3,246.0,Long Snapper,R-So.,"Wheaton, Ill. / Wheaton-Warrenville South",,,,
56,,46.0,Alec Bevelhimer,6-3,211.0,Kicker/Punter,Jr.,"Indianapolis, Ind. / Brebeuf Jesuit",,,,
57,,47.0,Luke Bolden,6-2,251.0,Tight End,Sr.,"Cincinnati, Ohio / Colerain",,,,
58,,48.0,Chase Becker,6-4,247.0,Tight End,R-Fr.,"Carmel, Ind. / Carmel",,,,
59,,49.0,Jacob Snell,6-4,270.0,Defensive Line,R-So.,"Naperville, Ill. / Benet Academy",,,,
60,,50.0,Sam Vaughan,6-7,292.0,Offensive Line,R-Jr.,"Versailles, Ky. / Lexington Catholic",,,,
61,,51.0,Eric Smith,6-6,299.0,Offensive Line,R-Fr.,"Fairmont, WV / Fairmont Senior",,,,
62,,52.0,Nasir Washington,6-4,271.0,Defensive Line,R-So.,"Des Moines, Iowa / Valley",,,,
