,Statistic,No.,Full Name,Ht.,Wt.,Pos.,Yr.,Hometown,Last School,Instagram,Twitter,Image,Name,Title
0,,41.0,"Abdul-Rahim, Keyaan",6-0,205.0,LB,Fr.,"Charlotte, N.C.",Providence Day,kxyaanz,KeyaanRahim,,,
1,,60.0,"Alexander, Blair",6-2,255.0,OL,R-Fr.,"Cary, N.C.",Green Level,blairalexander_,blairalexanderz,,,
2,,2.0,"Allen, Michael",5-9,203.0,RB,So.,"Greenville, N.C.",Rose,yaboylegend,MichaelAllen8_,,,
3,,58.0,"Alls, Carter",6-5,320.0,OL,Fr.,"Wake Forest, N.C.",Heritage,carterrr.alls,AllsCarter,,,
4,,5.0,"Armstrong, Brennan",6-2,210.0,QB,Gr.,"Shelby, Ohio",Shelby,bstrong05,bstrong34,,,
5,,16.0,"Ashford, Rakeim",6-1,195.0,SAF,Gr.,"Ackerman, Miss.",Choctaw County,kidd.keim,thekidd_14,,,
6,,84.0,"Baldwin, Jakolbe",6-0,200.0,WR,R-So.,"Hamlet, N.C.",Richmond Senior,iv.jb,JakolbeB,,,
7,,7.0,"Battle, Shyheim",6-2,195.0,CB,R-Jr.,"Rocky Mount, N.C.",Rocky Mount,shybattle2.5,ShyOutta252,,,
8,,74.0,"Belton, Anthony",6-6,336.0,OL,R-Jr.,"Tallahassee, Fla.",Florida State U. School,a.belton1,BeltonAnthony,,,
9,,26.0,"Betty, Devon",6-1,225.0,LB,Jr.,"Carver Ranches, Fla.",St. Thomas Aquinas,devonbettyy,devonbetty56,,,
10,,48.0,"Bocook, Shelton",6-1,245.0,LB,Fr.,"Southport, N.C.",S. Brunswick,shelton.bocook,SheltonBocook42,,,
11,,34.0,"Bonner, Kamal",6-2,200.0,LB,Fr.,"Moultrie, Ga.",Colquitt Co.,The1OnlyMel1,kamal_bonner,,,
12,,12.0,"Boykin, Devan",5-10,192.0,NIC,Jr.,"Greensboro, N.C.",Ragsdale,dboyk_12,thedevanboykin,,,
13,,20.0,"Brown, Sean",6-0,205.0,SAF,R-So.,"Charlotte, N.C.",Hough,2sean9,greatnvess,,,
14,,39.0,"Burt, Foster",6-1,185.0,CB,R-Fr.,"Wake Forest, N.C.",Heritage,fostertburt,FosterBurt1,,,
15,,46.0,"Campbell, Nick",6-4,290.0,DL,R-Fr.,"Minneola, Fla.",Lake Minneola,_nick_04,,,,
16,,75.0,"Carter, Jr., Anthony",6-3,310.0,OL,R-So.,"Charlotte, N.C.",Butler,antcarterjr,thatman_ant,,,
17,,19.0,"Charpia, Reed",6-0,180.0,QB,Jr.,"Cayce, S.C.",Brookland-Cayce,reedcharpia,ReedCharpia,,,
18,,25.0,"Cisse, Brandon",6-0,180.0,CB,Fr.,"Sumter, S.C.",Lakewood,brandoncisse,BrandonCisse,,,
19,,5.0,"Clark, C.J.",6-3,305.0,DT,R-Jr.,"New London, N.C.",North Stanly,704ceejayy,cfrmda4,,,
20,,44.0,"Cleveland, Brandon",6-4,290.0,DL,So.,"Tampa, Fla.",Carrollwood Day,bcleveland1,brandonvibes25,,,
