,NO,NAME,POS,YR,HT,WT,HOMETOWN,HIGH SCHOOL,Current School Name,PREVIOUS SCHOOL,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93
68,70,Melvin Siani,OL,Fr.,6' 6'',275,"Ontario, Canada",Wyoming Seminary,Temple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,71,Jermaine Donaldson,OL,R-Jr.,6' 4'',305,"Voorhees, N.J.",Eastern Regional,Temple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,72,Bryce Thoman,OL,Jr.,6' 4'',295,"Harrisburg, Pa.",Central Dauphin,Temple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,73,Sam Davis,OL,R-So.,6' 3'',290,"Geneva, Ohio",Geneva,Temple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,76,Richard Rodriguez,OL,R-Sr.,6' 5'',295,"Spencer, Iowa",Spencer,Temple,Iowa Central CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,77,Diego Barajas,OL,Jr.,6' 6'',300,"Alameda, Calif.",Alameda,Temple,Laney College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,78,Victor Stoffel,OL,R-Jr.,6' 8'',300,"Stockholm, Sweden",Kungstens Gymnasiet,Temple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,79,Wisdom Quarshie,OL,R-Jr.,6' 3'',305,"Sicklerville, N.J.",St. Joseph - Hammonton,Temple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,80,Zae Baines,WR,R-So.,6' 3'',175,"Roanoke, Va.",North Cross School,Temple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,81,Landon Morris,TE,R-So.,6' 5'',230,"Indianapolis, Ind.",Nazareth Academy,Temple,Utah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,82,David Martin-Robinson,TE,Gr.,6' 4'',255,"Landisville, Pa.",Hempfield,Temple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,83,Kwesi Evans,WR,R-Jr.,6' 3'',195,"Baltimore, Md.",St. Frances Academy,Temple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,84,Jordan Smith,TE,R-Sr.,6' 5'',230,"Ft. Lauderdale, Fla.",Western,Temple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,87,James Della Pesca,TE,Jr.,6' 3'',250,"River Vale, N.J.",Pascack Valley,Temple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,88,Peter Clarke,TE,Fr.,6' 6'',250,"London, England",NFL Academy,Temple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,91,Dante Atton,P,Fr.,6' 0'',195,"Melbourne, Australia",St. Francis Xavier College,Temple,ProKick Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,92,Zamar Grove,DL,R-Fr.,6' 5'',230,"Irvington, N.J.",Irvington,Temple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Temple,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad
86,95,Reese Clark,TE,R-Fr.,6' 4'',220,"Philadelphia, Pa.",St. Joseph's Prep,Temple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,97,Allan Haye,DL,R-So.,6' 2'',305,"Margate, Fla.",Chaminade-Madonna,Temple,Miami (Fla.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,99,Demerick Morris,DL,Jr.,6' 3'',295,"Chicago, Ill.",Phillips Academy,Temple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
