,#,Full Name,Academic Year,Pos.,Ht.,Wt.,Hometown / High School,Previous School,Current School Name,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93
70,48,Austin Mitchell,R-Fr.,CB,6' 0'',185,"Ozark, Ala. / Carroll",,UAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,49,Kyle Gould,R-Fr.,S,6' 2'',200,"Mobile, Ala. / Mary G. Montgomery",,UAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,50,Kendall Johnson,Jr.,OLB,6' 5'',240,"Jackson, Tenn. / Liberty Technology",Tennessee State,UAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,50,Will Parker,R-So.,OL,6' 4'',310,"Nashville, Tenn. / Pearl-Cohn",Tennessee,UAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,52,Montaj Cook,R-So.,DL,6' 1'',300,"Alabaster, Ala. / Thompson",,UAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,52,Cameron Young,R-Sr.,OL,6' 1'',300,"Birmingham, Ala. / Spain Park",Miles,UAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,53,Jamin Graham,R-Jr.,DL,6' 6'',265,"Attalla, Ala. / Etowah",Nebraska,UAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,54,Zaire Flournoy,R-Jr.,OL,6' 3'',300,"Douglasville, Ga. / Chapel Hill",,UAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,54,Will Sorrells,R-So.,LB,5' 10'',205,"Auburn, Ala. / Auburn HS",,UAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,55,Luke Jones,So.,OL,6' 5'',310,"Sugar Hill, Ga. / Lanier",,UAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,55,Gralyn Stokes,R-Sr.,DL,6' 0'',300,"Atlanta, Ga. / North Springs",Allen University,UAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,57,Arturo Escamilla,R-Fr.,OL,6' 2'',320,"Cleveland, Ala. / Cleveland",,UAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,58,Ryan Gunter,R-Fr.,OL,6' 5'',320,"Trussville, Ala. / Hewitt-Trussville",,UAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,60,Jalen Nettles,Jr.,OL,6' 4'',325,"Canton, Miss. / Canton",Northwest Mississippi,UAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,65,Tennyson Hadfield,R-Fr.,OL,6' 5'',305,"Logan, Utah / Logan",Dixie State,UAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,UAB,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad
86,66,Christian Jackson,R-Jr.,OL,6' 8'',330,"Cumberland, Va. / Cumberland County",Coffeyville,UAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,67,Tater Reid,R-Jr.,OL,6' 4'',280,"Phenix City, Ala. / Glenwood",Coffeyville CC,UAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,68,Adam Lepkowski,R-So.,OL,6' 2'',290,"Hoover, Ala. / Hoover",,UAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,71,Quez Yates,R-Jr.,OL,6' 6'',315,"Crystal Springs, Miss. / Crystal Springs",Jones College,UAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,72,Brady Wilson,R-Jr.,OL,6' 2'',300,"Spanish Fort, Ala. / Spanish Fort",,UAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,76,Eli Richey,R-So.,OL,6' 5'',300,"Greensboro, Ala. / Southern Academy",,UAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,79,Trey Bedosky,R-Jr.,OL,6' 6'',300,"Fairborn, Ga. / Landmark Christian",,UAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,80,Amare Thomas,Fr.,WR,5' 11'',200,"Birmingham, Ala. / Pinson",,UAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,81,Aron Marsch,R-Fr.,WR,5' 9'',170,"Homewood, Ala. / Homewood",,UAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,83,Jordan Palmer,R-So.,WR,6' 3'',200,"Alpharetta, Ga. / Chattahoochee",,UAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,84,Dallas Payne,Sr.,TE,6' 4'',240,"Bay St Louis, Miss. / St. Stanislaus",Northeast Mississippi CC,UAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,85,Clay Smelley,R-So.,TE,6' 3'',240,"Tuscaloosa, Ala. / Hillcrest",,UAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,86,Teddy Davenport,R-So.,WR,5' 10'',175,"Alpharetta, Ga. / Denmark",,UAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,87,Connor Harby,R-So.,WR,6' 2'',195,"Victor, N.Y. / Hoover",,UAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,88,Sam Suswam,R-So.,DL,6' 1'',290,"Hoover, Ala. / Hoover",,UAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,89,J.C. Sivley,R-Fr.,TE,6' 6'',250,"Helena, Ala. / Helena",,UAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,90,Matthew Craig,R-So.,DL,6' 1'',285,"Jacksonville, Fla. / Mandrin",,UAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,91,Michael Moore,R-Sr.,DL,6' 5'',240,"Houston, Texas / Pearland",Ellsworth CC,UAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,92,Kevin Penn,R-Sr.,DL,6' 3'',300,"Decatur, Ala. / Austin",,UAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,93,Michael Fairbanks II,R-Sr.,OLB,6' 3'',265,"Powder Springs, Ga. / McEachern",,UAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,94,Fred Owens,Fr.,DL,6' 3'',260,"Uniontown, Ala. / RC Hatch",Faulkner University,UAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,95,Joker Gill,R-Jr.,DL,6' 5'',275,"Philadelphia, Mississippi / Neshoba Central",Mississippi Gulf Coast CC,UAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,98,Patrick Foley,R-So.,P,6' 3'',205,"Omaha, Neb. / Creighton Prep",Arkansas,UAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,98,Tyrique Howard,Sr.,DL,6' 6'',340,"Independence, Miss. /",Itawamba CC,UAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,99,Fish McWilliams,R-Sr.,DL,6' 0'',305,"Pensacola, Fla. / West Florida High",,UAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
