,Statistic,#,Full Name,Pos.,Ht.,Wt.,Academic Year,Hometown / High School,Previous School,Image,Name,Title
79,,78.0,Richard Pearce,OL,6-3,313.0,So.,"Hueytown, Ala. / Hueytown",,,,
80,,79.0,Elisha Samples,OL,6-3,311.0,R-Fr.,"Cumming, Ga. / North Forsyth",,,,
81,,80.0,Shane Calhoun,TE,6-3,242.0,Jr.,"St. Augustine, Fla. / Creekside",,,,
82,,82.0,Jarett Garner,WR,6-3,207.0,Gr.,Harrisburg / Hickory Ridge,Duke University,,,
83,,83.0,Blue Coleman,WR,6-1,180.0,Fr.,Charlotte / Providence Day,,,,
84,,86.0,Brandon Still,WR,6-0,165.0,Fr.,"Chesapeake, Va. / Hickory",,,,
85,,88.0,Jsi Hatfield,WR,5-10,173.0,Sr.,Graham / Southern Alamance,,,,
86,,90.0,Elijah Morris,DL,6-1,275.0,Jr.,Fayetteville / Terry Sanford,,,,
87,,92.0,CJ Mims,DL,6-1,306.0,R-Fr.,Vanceboro / West Craven,,,,
88,,95.0,Andrew Conrad,PK,5-11,156.0,So.,Kernersville / East Forsyth,,,,
89,,95.0,Jason Shuford,DL,6-4,328.0,Jr.,Statesville / Statesville,,,,
90,,97.0,Justyn Haynesworth,DL,6-2,294.0,R-So.,"Mechanicsville, Va. / Hanover",,,,
91,,98.0,Max Lantzsch,TE,6-6,240.0,R-Fr.,"Dresden, Germany / Rabun Gap-Nacoochee",,,,
92,,99.0,J.D. Lampley,DL,6-4,293.0,So.,Rockingham / Richmond,,,,
93,,99.0,Laith Marjan,PK,6-3,193.0,R-So.,Raleigh / Enloe,,,,
0,,,,,,,,,,,Mike Houston,Head Coach
1,,,,,,,,,,,Donnie Kirkpatrick,Offensive Coordinator/Quarterbacks
2,,,,,,,,,,,Blake Harrell,Defensive Coordinator/Inside Linebackers
3,,,,,,,,,,,Tim Daoust,Special Teams Coordinator/Defensive Ends/Outside Linebackers
4,,,,,,,,,,,Chris Foster,Recruiting Coordinator/Running Backs
5,,,,,,,,,,,Re'quan Boyette,Assistant Coach - Outside Receivers
6,,,,,,,,,,,Allen Mogridge,Assistant Coach - Offensive Line
7,,,,,,,,,,,Jules Montinar,Defensive Pass Game Coordinator/Cornerbacks
8,,,,,,,,,,,Roy Tesh,Assistant Coach - Defensive Tackles
9,,,,,,,,,,,Tripp Weaver,Assistant Coach - Safeties
10,,,,,,,,,,,Aaron Auer,Senior Offensive Analyst
11,,,,,,,,,,,Mark Hatcher,Defensive Graduate Assistant Coach
12,,,,,,,,,,,Jake Kirkendall,Chief of Staff
13,,,,,,,,,,,Ryan McManus,Director of Football Operations
14,,,,,,,,,,,Steve Shankweiler,Staff Assistant
15,,,,,,,,,,,Bryan Butterworth,Director of Player Development
16,,,,,,,,,,,Scott Gasper,Director of Player Personnel/Recruiting
17,,,,,,,,,,,Jovon Hubbard,Recruiting Operations Coordinator
18,,,,,,,,,,,Chesney McClellan,Director of On-Campus Recruiting
19,,,,,,,,,,,Jarrett Ozimek,Director of Football Creative Media
20,,,,,,,,,,,Austen Prager,Director of Football Video Operations
21,,,,,,,,,,,Nathan Nunamker,Assistant Director of Football Video Operations
22,,,,,,,,,,,"John Williams, Jr.",Director of Strength & Conditioning
23,,,,,,,,,,,Ann Hoggard,Administrative Assistant/Mike Houston
