,Number,Name,POSITION,HT.,WT.,YEAR,HOMETOWN,Twitter,Current School Name,Instagram,Position
72,45.0,Vic Burley,DL,6-4,300.0,Fr.,"Warner Robins, Ga.",Twitter,Clemson,Instagram,
73,46.0,Jaden Kinard,S,5-10,180.0,*Fr.,"Pawleys Island, S.C.",,Clemson,Instagram,
74,47.0,Hogan Morton,PK,5-9,165.0,*So.,"Birmingham, Ala.",,Clemson,,
75,47.0,Boston Miller,S,6-2,200.0,*Fr.,"Central, S.C.",Twitter,Clemson,Instagram,
76,49.0,Matthew Maloney,LB,6-0,215.0,*Sr.,"Clemson, S.C.",,Clemson,Instagram,
77,50.0,Fletcher Cothran,LB,6-3,210.0,*Fr.,"Anderson, S.C.",Twitter,Clemson,Instagram,
78,50.0,Collin Sadler,OL,6-6,325.0,*Fr.,"Inman, S.C.",Twitter,Clemson,Instagram,
79,51.0,Peyton Pitts,OL,6-6,300.0,*Fr.,"Clinton, S.C.",Twitter,Clemson,Instagram,
80,51.0,Colby Doolittle,LB,6-2,235.0,*So.,"Newberry, S.C.",Twitter,Clemson,Instagram,
81,52.0,Joey Eddis,LB,5-11,205.0,*Jr.,"Lawrence, Kan.",Twitter,Clemson,Instagram,
82,53.0,Ryan Linthicum,C,6-3,305.0,*So.,"Damascus, Md.",Twitter,Clemson,Instagram,
83,54.0,Jeremiah Trotter Jr.,LB,6-0,230.0,Jr.,"Hainesport, N.J.",Twitter,Clemson,Instagram,
84,54.0,Ian Reed,OL,6-6,315.0,Fr.,"Austin, Texas",Twitter,Clemson,Instagram,
85,55.0,Harris Sewell,OL,6-3,315.0,Fr.,"Odessa, Texas",Twitter,Clemson,Instagram,
86,55.0,Payton Page,DT,6-4,315.0,Jr.,"Greensboro, N.C.",Twitter,Clemson,Instagram,
87,56.0,Will Putnam,OL,6-4,315.0,+Sr. (Graduate),"Tampa, Fla.",Twitter,Clemson,Instagram,
88,56.0,Reed Morrissey,LB,6-0,225.0,*So.,"Greenville, S.C.",Twitter,Clemson,,
89,57.0,Chandler McMaster,LB,6-3,225.0,*Fr.,"Greenville, S.C.",Twitter,Clemson,Instagram,
90,58.0,Evan McCutchen,DE,6-2,250.0,*Jr.,"Hampton, S.C.",,Clemson,,
91,58.0,Holden Caspersen,LS,5-11,215.0,*So.,"Roswell, Ga.",Twitter,Clemson,Instagram,
92,59.0,Dietrick Pennington,OL,6-5,355.0,*So.,"Memphis, Tenn.",Twitter,Clemson,Instagram,
93,64.0,Walker Parks,OL,6-5,315.0,Sr.,"Lexington, Ky.",Twitter,Clemson,Instagram,
94,65.0,Chapman Pendergrass,OL,6-3,295.0,*Fr.,"Anderson, S.C.",Twitter,Clemson,Instagram,
95,67.0,Nathan Brooks,OL,6-4,285.0,*So.,"Fort Mill, S.C.",Twitter,Clemson,,
96,68.0,Will Boggs,OL,6-3,290.0,*Jr.,"York, S.C.",Twitter,Clemson,Instagram,
97,69.0,Sam Judy,OL,6-5,315.0,*So.,"Taylors, S.C.",Twitter,Clemson,Instagram,
98,70.0,Mason Johnstone,OL,6-5,240.0,*Fr.,"Clemson, S.C.",Twitter,Clemson,Instagram,
99,71.0,Tristan Leigh,OL,6-6,315.0,*So.,"Fairfax, Va.",Twitter,Clemson,Instagram,
100,72.0,Zack Owens,OL,6-7,375.0,Fr.,"Covington, Ga.",Twitter,Clemson,Instagram,
101,73.0,Bryn Tucker,OL,6-3,330.0,*Jr.,"Knoxville, Tenn.",Twitter,Clemson,Instagram,
102,74.0,Marcus Tate,OL,6-5,325.0,Jr.,"Sunrise, Fla.",Twitter,Clemson,Instagram,
103,75.0,Trent Howard,OL,6-3,295.0,*Jr.,"Birmingham, Ala.",Twitter,Clemson,Instagram,
104,76.0,John Williams,OL,6-4,305.0,*Jr.,"Canton, Ga.",Twitter,Clemson,Instagram,
105,77.0,Mitchell Mayes,OL,6-3,315.0,Sr.,"Raleigh, N.C.",Twitter,Clemson,Instagram,
106,78.0,Blake Miller,OL,6-6,315.0,So.,"Strongsville, Ohio",Twitter,Clemson,Instagram,
107,79.0,Jake Norris,OL,6-3,265.0,Fr.,"Piedmont, S.C.",,Clemson,,
108,80.0,Beaux Collins,WR,6-3,210.0,Jr.,"Los Angeles, Calif.",Twitter,Clemson,Instagram,
109,82.0,Jackson Crosby,WR,5-10,195.0,*So.,"Six Mile, S.C.",Twitter,Clemson,Instagram,
110,83.0,Hampton Earle,WR,5-10,195.0,*Sr. (Graduate),"Clemson, S.C.",Twitter,Clemson,Instagram,
111,85.0,Jackson Smith,WR,6-1,185.0,Fr.,"Clemson, S.C.",Twitter,Clemson,Instagram,
112,87.0,Michael Mankaka,WR,6-0,185.0,*Fr.,"Laurens, S.C.",Twitter,Clemson,Instagram,
113,88.0,Clay Swinney,WR,5-9,165.0,*Fr.,"Clemson, S.C.",Twitter,Clemson,Instagram,
114,89.0,Zach Jackson,WR,6-3,205.0,*So.,"Acworth, Ga.",Twitter,Clemson,Instagram,
115,89.0,Jack Smith,P,6-5,230.0,*Fr.,"Saraland, Ala.",Twitter,Clemson,Instagram,
116,90.0,Stephiylan Green,DL,6-4,275.0,Fr.,"Rome, Ga.",Twitter,Clemson,Instagram,
117,91.0,Zaire Patterson,DE,6-5,260.0,*So.,"Winston-Salem, N.C.",Twitter,Clemson,Instagram,
118,92.0,Levi Matthews,DE,6-5,215.0,*Fr.,"Raleigh, N.C.",Twitter,Clemson,Instagram,
119,93.0,Caden Story,DT,6-3,290.0,*Fr.,"Lanett, Ala.",Twitter,Clemson,Instagram,
120,99.0,Greg Williams,DE,6-3,270.0,*Sr. (Graduate),"Swansea, S.C.",Twitter,Clemson,Instagram,
121,,Rob Billings,S,6-2,190.0,Fr.,"Atlanta, Ga.",Twitter,Clemson,Instagram,
122,,Tyler Brown,WR,5-11,170.0,Fr.,"Greenville, S.C.",Twitter,Clemson,Instagram,
123,,Markus Dixon,TE,6-5,225.0,Fr.,"Philadelphia, Pa.",Twitter,Clemson,Instagram,
124,,Jarvis Green,RB,5-11,185.0,Fr.,"Irmo, S.C.",Twitter,Clemson,Instagram,
125,,Ronan Hanafin,WR,6-3,205.0,Fr.,"Cambridge, Mass.",Twitter,Clemson,Instagram,
126,,Jay Haynes,RB,6-0,185.0,Fr.,"Roanoke, Ala.",Twitter,Clemson,Instagram,
127,,A.J. Hoffler,DL,6-5,235.0,Fr.,"Stuart, Fla.",Twitter,Clemson,Instagram,
128,,Misun Kelley,ATH,5-10,170.0,Fr.,"Central, S.C.",Twitter,Clemson,Instagram,
129,,Tristan Martinez,WR,5-9,175.0,Fr.,"Honolulu, Hawaii",Twitter,Clemson,Instagram,
130,,David Ojiegbe,DL,6-4,240.0,Fr.,"Largo, Md.",Twitter,Clemson,Instagram,
131,,Olsen Patt Henry,TE,6-4,210.0,Fr.,"Naples, Fla.",Twitter,Clemson,Instagram,
132,,Branden Strozier,CB,6-2,175.0,Fr.,"Lovejoy, Ga.",Twitter,Clemson,Instagram,
133,,Avieon Terrell,CB,5-11,170.0,Fr.,"Atlanta, Ga.",Twitter,Clemson,Instagram,
0,,Dabo Swinney,,,,,,,Clemson,,Head Coach
1,,Mike Reed,,,,,,,Clemson,,"Assistant Head Coach, Special Teams Coordinator, Cornerbacks"
2,,Mickey Conn,,,,,,,Clemson,,"Assistant Coach, Co-Defensive Coordinator, Safeties"
3,,Nick Eason,,,,,,,Clemson,,"Assistant Coach, Defensive Run Game Coordinator, Defensive Tackles"
4,,Wes Goodwin,,,,,,,Clemson,,"Assistant Coach, Defensive Coordinator, Linebackers"
5,,Tyler Grisham,,,,,,,Clemson,,"Assistant Coach, Recruiting Coordinator, Wide Receivers"
6,,Kyle Richardson,,,,,,,Clemson,,"Assistant Coach, Passing Game Coordinator, Tight Ends"
7,,Garrett Riley,,,,,,,Clemson,,"Assistant Coach, Offensive Coordinator, Quarterbacks"
8,,Thomas Austin,,,,,,,Clemson,,"Assistant Coach, Offensive Linemen"
9,,Lemanski Hall,,,,,,,Clemson,,"Assistant Coach, Defensive Ends"
10,,C.J. Spiller,,,,,,,Clemson,,"Assistant Coach, Running Backs"
