,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Hometown / High School,Current School Name,Custom Field 1
92,,54.0,Kraig Correll,OL,6-4,305.0,5th,"Easton, Pa. / Blair Academy",Michigan,
93,,54.0,George Rooks,DL,6-5,278.0,So.,"Jersey City, N.J. / St. Peter's Prep",Michigan,
94,,55.0,Mason Graham,DL,6-3,317.0,Fr.,"Anaheim, Calif. / Servite",Michigan,
95,,55.0,Olusegun Oluwatimi,OL,6-3,307.0,Gr.,"Upper Marlboro, Md. / DeMatha Catholic",Michigan,
96,,56.0,Dominick Giudice,DL/OL,6-4,290.0,So.,"Freehold, N.J. / Mater Dei",Michigan,
97,,57.0,Trevor Andrews,LB,6-1,224.0,So.,"Brentwood, Tenn. / Ravenwood",Michigan,
98,,58.0,Giovanni El-Hadi,OL,6-5,317.0,So.,"Sterling Heights, Mich. / Adlai Stevenson",Michigan,
99,,58.0,Mazi Smith,DL,6-3,337.0,Sr.,"Grand Rapids, Mich. / East Kentwood",Michigan,
100,,59.0,Nolan Knight,EDGE,6-4,216.0,Sr.,"Northville, Mich. / Northville",Michigan,
101,,60.0,Connor Jones,OL,6-6,298.0,Fr.,"Monument, Colo. / Palmer Ridge",Michigan,
102,,61.0,Noah Stewart,OL,6-7,283.0,Jr.,"Muskegon, Mich. / North Muskegon",Michigan,
103,,62.0,Raheem Anderson,OL,6-3,320.0,So.,"Detroit, Mich. / Cass Technical",Michigan,
104,,64.0,James Kavouklis,OL/LS,6-1,272.0,Fr.,"Tampa, Fla. / Berkeley Prep",Michigan,
105,,65.0,Zak Zinter,OL,6-6,315.0,Jr.,"North Andover, Mass. / Buckingham Browne and Nichols School",Michigan,
106,,66.0,Dan Taraboi,OL,6-7,313.0,Fr.,"Cedarburg, Wis. / Cedarburg",Michigan,
107,,70.0,Peter Simmons,DL,6-2,291.0,So.,"Bonita Springs, Fla. / Bishop Verot",Michigan,
108,,71.0,Alessandro Lorenzetti,OL,6-5,289.0,Fr.,"Montreal, Québec, Canada / The Loomis Chaffee School",Michigan,
109,,72.0,Tristan Bounds,OL,6-8,311.0,So.,"Wallingford, Conn. / Choate Rosemary Hall",Michigan,
110,,73.0,Charlie Lovell,EDGE,6-3,235.0,Fr.,"Pinckney, Mich. / Pinckney",Michigan,
111,,74.0,Reece Atteberry,OL,6-5,315.0,Jr.,"Aurora, Colo. / Eaglecrest",Michigan,
112,,75.0,Andrew Gentry,OL,6-7,312.0,Fr.,"Littleton, Colo. / Columbine",Michigan,
113,,76.0,Ryan Hayes,OL,6-7,305.0,Gr.,"Traverse City, Mich. / Traverse City West",Michigan,
114,,77.0,Trevor Keegan,OL,6-6,305.0,Sr.,"Crystal Lake, Ill. / Crystal Lake",Michigan,
115,,78.0,Kenneth Grant,DL,6-3,356.0,Fr.,"Merrillville, Ind. / Merrillville",Michigan,
116,,79.0,Jeffrey Persi,OL,6-8,309.0,Jr.,"Mission Viejo, Calif. / JSerra Catholic",Michigan,
