,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Hometown / High School,Current School Name,Previous School,Academic Major,Image,Title
96,,84.0,Thomas Zsiros,WR,6-3,210.0,So.,"Maumee, Ohio / St. John's Jesuit",Toledo,,Business,,
0,,,Jason Candle,,,,,,Toledo,,,,Head Coach
1,,,Vince Kehres,,,,,,Toledo,,,,Defensive Coordinator/Linebackers Coach
2,,,Mike Hallett,,,,,,Toledo,,,,Co-Offensive Coordinator/Offensive Line Coach
3,,,Ross Watson,,,,,,Toledo,,,,Co-Defensive Coordinator/Safeties Coach
4,,,Robert Weiner,,,,,,Toledo,,,,Co-Offensive Coordinator/Quarterbacks Coach
5,,,Nate Cole,,,,,,Toledo,,,,Running Backs Coach
6,,,Larry Knight,,,,,,Toledo,,,,Defensive Line Coach
7,,,Corey Parker,,,,,,Toledo,,,,Cornerbacks Coach
8,,,Mark Staten,,,,,,Toledo,,,,Tight Ends/Offensive Tackles Coach
9,,,Stanton Weber,,,,,,Toledo,,,,Special Teams Coordinator
0,,,Brad Bichey,,,,,,Toledo,,,,Director of Football Strength and Conditioning
1,,,Jeremy Boyd,,,,,,Toledo,,,,Football Equipment Manager
2,,,Andrew Terwilliger,,,,,,Toledo,,,,Assistant Athletic Director for Football Operations
3,,,Steve Mathie,,,,,,Toledo,,,,Video Coordinator
4,,,Adam Barta,,,,,,Toledo,,,,Associate Athletic Trainer (Football)
5,,,Kengo Sugimoto,,,,,,Toledo,,,,Assistant Athletic Trainer (Football/Men's Tennis)
6,,,Aaron Wass,,,,,,Toledo,,,,Assistant Athletic Trainer (Football)
7,,,Christian Klinec,,,,,,Toledo,,,,Asst. Football Strength and Conditioning Coach
8,,,Scott Phillips,,,,,,Toledo,,,,Offensive Quality Control Coach
9,,,AJ Harrison,,,,,,Toledo,,,,Recruiting Assistant
10,,,Anthony Calcutta,,,,,,Toledo,,,,Graduate Assistant/Recruiting
11,,,Michael Fiorito,,,,,,Toledo,,,,Graduate Assistant / Strength & Conditioning
12,,,Corbin Green,,,,,,Toledo,,,,Graduate Assistant / Strength & Conditioning
13,,,Justin Heacock,,,,,,Toledo,,,,Graduate Assistant/Offense
14,,,Brooks Jenkins,,,,,,Toledo,,,,Graduate Assistant/Defense
15,,,Alyssa Volz,,,,,,Toledo,,,,Graduate Assistant Athletic Trainer (Football)
16,,,Max Wray,,,,,,Toledo,,,,Graduate Assistant/Offense
17,,,Shannon McCune,,,,,,Toledo,,,,Administrative Assistant - Football
