,Statistic,No.,Name,Pos.,Ht.,Wt.,Year,Hometown/High School/Previous School,Current School Name,Image,Title
69,,51.0,Travon Sylvester,OL,6-1,295.0,R-Fr.,"St. Johns, Fla./Bartram Trail HS",UTSA,,
70,,52.0,Zach Causey,DL,6-2,280.0,R-Jr.,"Madison, Miss./Madison Central HS/Jones College",UTSA,,
71,,52.0,Cade Collenback,LS,6-2,240.0,R-Sr.,"San Antonio, Texas/O'Connor HS/Tyler JC",UTSA,,
72,,53.0,Cory Godinet,OL,6-5,355.0,R-So.,"Leone, American Samoa/Leone HS/Trinity Valley [Texas] CC",UTSA,,
73,,54.0,Caleb Hernandez,OL,6-3,295.0,R-Jr.,"Palmer, Texas/Palmer HS/Trinity Valley CC",UTSA,,
74,,54.0,Caleb Lewis,OLB,6-3,235.0,R-So.,"Cibolo, Texas/Steele HS",UTSA,,
75,,57.0,Chris Hill,DL,5-10,235.0,Fr.,"San Antonio, Texas/Stevens HS",UTSA,,
76,,57.0,Ben Rios,OL,6-6,295.0,R-Fr.,"San Antonio, Texas/Central Catholic HS",UTSA,,
77,,58.0,Terrell Haynes,OL,6-3,340.0,R-Sr.,"Arlington, Texas/Seguin HS",UTSA,,
78,,61.0,Timothy Huff Jr.,DL,6-0,220.0,Fr.,"San Antonio, Texas/East Central HS",UTSA,,
79,,62.0,Robert Rigsby,OL,6-4,315.0,R-So.,"Converse, Texas/Judson HS",UTSA,,
80,,64.0,Ernesto Almaraz,OL,6-2,295.0,Sr.,"Los Angeles, Calif./Salesian HS/East Los Angeles College",UTSA,,
81,,65.0,Kamron Scott,OL,6-3,340.0,R-So.,"Converse, Texas/Judson HS",UTSA,,
82,,67.0,Walker Baty,OL/DL,6-3,300.0,R-Jr.,"Liberty Hill, Texas/Liberty Hill HS",UTSA,,
83,,67.0,Juan Chapa,DL,6-5,260.0,Jr.,"Mesquite, Texas/Poteet HS",UTSA,,
84,,68.0,Frankie Martinez,OL,6-3,290.0,R-Jr.,"San Antonio, Texas/East Central HS",UTSA,,
85,,69.0,Ty Bentley,DL,6-1,315.0,So.,"Mansfield, Texas/Legacy HS",UTSA,,
86,,70.0,Deandre Marshall,OL,6-7,330.0,R-Fr.,"San Antonio, Texas/Central Catholic HS",UTSA,,
87,,71.0,Daniel Ogundipe,OL,6-5,285.0,R-So.,"Upper Darby, Pa./Imhotep Institute/Iowa Central CC",UTSA,,
88,,72.0,River Gordon,OL,6-4,310.0,R-So.,"Mansfield, Texas/Mansfield HS",UTSA,,
89,,73.0,Demetris Allen,OL,6-3,295.0,R-Jr.,"Hattiesburg, Miss./Hattiesburg HS",UTSA,,
90,,74.0,Payne He'Bert,OL,6-4,305.0,R-Sr.,"Pearland, Texas/Dawson HS/Northwestern",UTSA,,
91,,75.0,Venly Tatafu,OL,6-4,335.0,R-Jr.,"Portland, Ore./Cleveland HS/Independence [Kan.] CC",UTSA,,
92,,76.0,Luke Lapeze,OL,6-4,320.0,R-So.,"Humble, Texas/Summer Creek HS",UTSA,,
93,,77.0,Makai Hart,OL,6-4,295.0,R-Sr.,"Clinton, Iowa/Clinton HS/Trinity Valley (Texas) CC",UTSA,,
94,,79.0,Ronnie Garza,OL,6-6,310.0,R-So.,"Edinburg, Texas/Vela HS",UTSA,,
95,,80.0,Dan Dishman,TE,6-5,235.0,R-Jr.,"Seabrook, Texas/Clear Falls HS",UTSA,,
96,,82.0,Jaren Randle,WR,6-2,190.0,R-Jr.,"San Antonio, Texas/Johnson HS",UTSA,,
97,,83.0,Jace Wilson,WR,6-4,210.0,R-Fr.,"Denton, Texas/Guyer HS",UTSA,,
98,,84.0,Oscar Cardenas,TE,6-4,285.0,R-Sr.,"San Antonio, Texas/Brandeis HS",UTSA,,
99,,85.0,Chu-Chu Doe,WR,6-0,200.0,Jr.,"Mays Landing, N.J./Oakcrest HS/City College of San Francisco",UTSA,,
100,,87.0,Rashaun Jackson,WR,6-2,185.0,So.,"Houston, Texas/Aldine MacArthur HS",UTSA,,
101,,87.0,Luke Padilla,WR,6-3,190.0,So.,"Mission, Texas (Sharyland Pioneer HS)",UTSA,,
102,,88.0,De'Corian Clark,WR,6-3,210.0,Sr.,"Fort Worth, Texas/Wyatt HS",UTSA,,
103,,88.0,Jamal Ligon,ILB,6-2,220.0,Sr.,"Tyler, Texas/Lee HS",UTSA,,
104,,88.0,Houston Thomas,TE,6-6,225.0,R-Fr.,"College Station, Texas/College Station HS",UTSA,,
105,,89.0,JaCorey Hyder,TE,6-3,240.0,R-So.,"Woodville, Texas/Woodville HS",UTSA,,
