,Statistic,#,Full Name,Pos.,Ht.,Wt.,Yr.,Hometown / High School,Current School Name,Previous School,Exp.,Image,Name,Title
79,,68.0,"Henry, Zuri",OL,6-6,293.0,R-Sr.,"Dallas, Texas / Wylie HS",UTEP,,,,,
80,,71.0,"Scalise, Nick",OL,6-6,308.0,Jr.,"El Dorado Hills, Calif. / Oak Ridge HS",UTEP,Sierra College,,,,
81,,74.0,"Henry, Azizi",OL,6-4,297.0,R-So.,"Wylie, Texas / Wylie HS",UTEP,,,,,
82,,75.0,"Meyer, Andrew",OL,6-3,302.0,R-Sr.,"San Marcos, Calif. / San Marcos HS",UTEP,,,,,
83,,77.0,"Barton, AJ",OL,6-5,280.0,Fr.,"Garland, Texas / Lakeview Centennial HS",UTEP,,,,,
84,,78.0,"Nkele , Aluma",OL,6-6,355.0,R-So.,"Gardena, Calif. / Serra HS",UTEP,Long Beach City College,,,,
85,,79.0,"Klein, Elijah",OL,6-4,319.0,R-Sr.,"Mt. Baldy, Calif. / Upland HS",UTEP,,,,,
86,,80.0,"McNamara, Kyle",WR,5-8,184.0,Jr.,"Reno, Nev. / Lipscomb Academy",UTEP,WKU,,,,
87,,82.0,"Vinson, Marcus",TE,6-4,255.0,So.,"Duncanville, Texas / Duncanville HS",UTEP,Kilgore College,,,,
88,,84.0,"Boyd, Elijah",TE,6-4,250.0,So.,"Fairfield, Calif. / Armijo HS",UTEP,Contra Costa College,,,,
89,,85.0,"Beecham, Rashad",TE,6-1,241.0,R-Sr.,"Cibolo, Texas / Steele HS",UTEP,Allan Hancock College,,,,
90,,86.0,"Flores, Lucas",WR,6-2,184.0,R-So.,"El Paso, Texas / Ysleta HS",UTEP,,,,,
91,,87.0,"Fryar, Zach",TE,6-1,240.0,R-Sr.,"Venice, Fla. /",UTEP,NMMI,,,,
92,,88.0,"Seib, Luke",TE,6-4,222.0,R-Fr.,"Blue Springs, Mo. / Blue Springs South HS",UTEP,,,,,
93,,89.0,"Camacho Jr., Juan",TE,6-6,248.0,R-So.,"El Paso, Texas / Bowie HS",UTEP,,,,,
