,Statistic,#,Name,C,Year,Pos.,Ht.,Wt.,Hometown / Previous School,Previous School,Major,Instagram,Twitter,Image,Title
97,,93.0,Prince James Boyd Jr.,,R-Sr.,DT,6-1,290.0,"New Haven, Conn. / Milford Academy",Independence CC,Selling & Sales Management,princej.93,PRIME_9,,
98,,94.0,J.P. Deeter,,R-Fr.,DT,6-3,280.0,"Manvel, Texas / Manvel",,Social Studies Education,jp_deeter94,JpDeeter_30,,
99,,95.0,Joe Anderson,,R-Sr.,DE,6-4,280.0,"Murfreesboro, Tenn. / Oakland",South Carolina,Sociology,mr.anderson_,BirdAnderson_18,,
100,,96.0,Khordae Sydnor,,R-So.,DE,6-4,265.0,"New York, N.Y. / Iona Prep",,Undecided,khordae.s,KhordaeS,,
101,,97.0,Jamarrion Harkless,,Fr.,DT,6-3,310.0,"Lexington, Ky. / Frederick Douglas",,,,JamarrionHark12,,
102,,98.0,Will Heldt,,Fr.,DE,6-6,235.0,"Carmel, Ind. / Carmel",,,will_heldt,WillHeldt8,,
0,,,Ryan Walters,,,,,,,,,,,,Head Coach
1,,,Cory Patterson,,,,,,,,,,,,Associate Head Coach/Wide Receivers
2,,,Graham Harrell,,,,,,,,,,,,Offensive Coordinator
3,,,Kevin Kane,,,,,,,,,,,,Defensive Coordinator
4,,,Sam Carter,,,,,,,,,,,,Cornerbacks
5,,,Lamar Conard,,,,,,,,,,,,Running Backs
6,,,Joe Dineen,,,,,,,,,,,,Outside Linebackers
7,,,Seth Doege,,,,,,,,,,,,Tight Ends
8,,,Brick Haley,,,,,,,,,,,,Defensive Line
9,,,Marcus Johnson,,,,,,,,,,,,Offensive Line
10,,,Grant O'Brien,,,,,,,,,,,,Safeties
11,,,Chris Petrilli,,,,,,,,,,,,Senior Special Teams Analyst
12,,,Preston Gordon,,,,,,,,,,,,Senior Defensive Analyst
13,,,Stanton Keane,,,,,,,,,,,,Senior Offensive Analyst
14,,,T.J. McCollum,,,,,,,,,,,,Defensive Analyst
15,,,Josh Miller,,,,,,,,,,,,Offensive Analyst
16,,,Justin Sinz,,,,,,,,,,,,Offensive Analyst
17,,,Jeff Smart,,,,,,,,,,,,Defensive Analyst
18,,,Austin Karr,,,,,,,,,,,,Defensive Graduate Assistant
19,,,Kiero Small,,,,,,,,,,,,Director of Football Strength and Conditioning
20,,,Nate Rock,,,,,,,,,,,,Associate Director of Strength and Conditioning
21,,,Austin Winfree,,,,,,,,,,,,Associate Director of Strength and Conditioning
22,,,Myles Quimby,,,,,,,,,,,,Assistant Director of Strength and Conditioning
23,,,Greg Robinson,,,,,,,,,,,,Assistant Director of Strength and Conditioning
0,,,Tiffini Grimes,,,,,,,,,,,,Deputy Athletics Director / Senior Woman Administrator
1,,,Noah Joseph,,,,,,,,,,,,General Manager
2,,,Pete Roley,,,,,,,,,,,,Director of Operations
3,,,Tanner Norton,,,,,,,,,,,,Director of Player Personnel
4,,,Tyler Miller,,,,,,,,,,,,Assistant Director of Player Personnel
5,,,Jessica Stinger,,,,,,,,,,,,Director of Recruiting
6,,,Nate Dennison,,,,,,,,,,,,Director of Scouting
7,,,Semiah Bowden,,,,,,,,,,,,Director of On-Campus Recruiting
8,,,Matt Patterson,,,,,,,,,,,,Lead Video Coordinator
9,,,Foxy LaFon,,,,,,,,,,,,Administrative Assistant
