,Statistic,#,Full Name,Pos.,Ht.,Wt.,Class,Hometown / High School,Current School Name,Previous School,Instagram,Twitter,Image,Name,Title
56,,93.0,Mike Lockhart,DL,6-3,309.0,R-Jr.,"Birmingham, Ala. / Huffman",West Virginia,Georgia Tech,205.mike,the205mike,,,
57,,19.0,Graeson Malashevich,WR,5-9,184.0,R-Jr.,"Ceredo, W.Va. / Spring Valley",West Virginia,,_gmalashevich,gmalashevich,,,
58,,27.0,Davis Mallinger,WR,6-1,188.0,R-So.,"Melbourne, Fla. / Cocoa",West Virginia,,davismallinger,davismallinger1,,,
59,,58.0,Nick Malone,OL,6-5,294.0,R-Jr.,"Morgantown, W.Va. / Morgantown",West Virginia,,malonenicky,nickmalone58,,,
60,,8.0,Nicco Marchiol,QB,6-1,229.0,R-Fr.,"Chandler, Ariz. / Hamilton",West Virginia,,niccomarchiol,marchiolNicco,,,
61,,91.0,Sean Martin,DL,6-5,293.0,Jr.,"Bluefield, W. Va. / Bluefield",West Virginia,,seanmartin.91,SEANMARTIN91,,,
62,,24.0,Tony Mathis Jr.,RB,5-11,210.0,R-Jr.,"Orlando, Fla. / Cedartown",West Virginia,,_tmathiss24,_tmathiss24,,,
63,,43.0,Collin McBee,RB,6-0,232.0,R-Fr.,"Morgantown, W.Va. / University",West Virginia,,,,,,
64,,13.0,Hershey McLaurin,S,6-1,219.0,Jr.,"Friendship, Miss. / Collins",West Virginia,Jones County JC,her13shey,marques1mc,,,
65,,0.0,Montre Miller,CB,5-11,187.0,R-Sr.,"Blythewood, S.C. / Westwood",West Virginia,Kent State,,,,,
66,,74.0,Wyatt Milum,OL,6-6,310.0,Jr.,"Kenova, W.Va. / Spring Valley",West Virginia,,wyattmilum19,milumwyatt,,,
67,,38.0,Macguire Moss,LS,6-1,226.0,R-Fr.,"Batavia, Ill. / Batavia",West Virginia,,,,,,
68,,,Fatorma Mulbah,DL,6-3,296.0,R-Jr.,"Harrisburg, Pa. / Susquehanna Township",West Virginia,Penn State,,,,,
69,,72.0,Doug Nester,OL,6-7,318.0,Sr.,"Kenova, W.Va. / Spring Valley",West Virginia,,Freshie74,Freshie74,,,
70,,3.0,Ja'Shaun Poke,WR,5-10,187.0,Sr.,"Hampton, Ga. / Dutchtown",West Virginia,Kent State,,,,,
71,,68.0,Dylan Ray,OL,6-5,299.0,R-So.,"Noblesville, Ind. / Noblesville",West Virginia,,d.ray70,dylanray22,,,
