,Statistic,#,Name,Exp.,Pos.,Ht.,Wt.,Yr.,El.,Hometown / High School,Previous School,Image,Title
71,,64.0,Jaavon Brown,,DL,6-1,345.0,Sr.,2.0,"New Haven, Conn. / Hillhouse",Central Connecticut State-Independence CC,,
72,,64.0,John Golden Jr,,OL,6-4,265.0,Jr.,4.0,Glen Ellyn Ill. / Glenbard South,,,
73,,65.0,Nicholas Gallegos,,OL,6-4,266.0,So.,4.0,"Naperville, Ill. / Neuqua Valley",,,
74,,66.0,Daniel Warnsman,*,OL,6-4,306.0,Jr.,3.0,"Dublin, Ohio / Dublin Coffman",,,
75,,67.0,Broderick Roman,*,OL,6-3,291.0,Sr.,2.0,"Lansing, Mich. / Okemos",,,
76,,68.0,Alex Howie,***,OL,6-4,307.0,Gr.,1.0,"Canton, Mich / Salem",,,
77,,69.0,Trenton VanBoening,,OL,6-7,290.0,Fr.,4.0,"Libertyville, Ill. / Libertyville",,,
78,,70.0,Dimitri Douglas,**,OL,6-4,316.0,Gr.,1.0,"Saline, Mich. / Saline",Michigan State,,
79,,72.0,Mack Indestad,,OL,6-7,272.0,So.,4.0,"Lemont, Ill. / Lemont Twp.",,,
80,,73.0,Joshua Anderson,,OL,6-5,325.0,So.,4.0,"Florissant, Mo. / Westminster Christian Academy",,,
81,,74.0,Jez Janvier,*,OL,6-5,311.0,Jr.,3.0,"Montreal, Quebec, Canada / Cegep Vieux Montreal",,,
82,,75.0,Carson Lee,,OL,6-3,335.0,Jr.,3.0,"Greenwood Village, Colo. / Cherry Creek",Colorado,,
83,,76.0,Chris Mayo,,OL,6-5,310.0,Jr.,2.0,"Deptford, N.J. / The Peddie School",West Virginia,,
84,,77.0,Brian Dooley,*****,OL,6-7,302.0,Gr.,1.0,"Bowling Green, Ohio / Toledo St. John’s Jesuit",,,
85,,78.0,Dennis Strey Jr.,,OL,6-7,295.0,So.,4.0,"Paw Paw, Mich. / Paw Paw",,,
86,,80.0,Max Reese,,TE,6-2,229.0,So.,4.0,"Chicago, Ill. / Fenwick",,,
87,,81.0,Nick Devereaux,,WR,6-2,195.0,Jr.,4.0,"Troy, Mich. / Brother Rice",Davenport,,
88,,82.0,Cedric Anton,,TE,6-4,235.0,Fr.,4.0,"Poppenhausen, Germany / Rabun Gap",Nacoochee (Ga.),,
89,,83.0,Jere Getzinger,***,TE,6-3,242.0,Sr.,2.0,"West Branch, Mich. / Ogemaw Heights",,,
