,Statistic,#,Full Name,Pos.,Ht.,Wt.,Year,High School,Current School Name,Previous School,Hometown,Image,Name,Title
105,,80.0,Kaden Cupp,WR,6-0,175.0,Fr.,New Brockton HS,Troy,,"New Brockton, Ala.",,,
106,,81.0,Robert Bruce,WR,5-11,165.0,So.,Park Crossing HS,Troy,Hudson Valley CC,"Park Crossing, Ala.",,,
107,,82.0,Markus Ferrell,WR,6-4,192.0,Jr.,Beachwood HS,Troy,Ventura College,"Cleveland, Ohio",,,
108,,83.0,DJ Epps,WR,6-1,173.0,Fr.,Russell County HS,Troy,,"Seale, Ala.",,,
109,,84.0,AJ Lewis,TE,6-3,250.0,Jr.,Murphy HS,Troy,,"Mobile, Ala.",,,
110,,85.0,Jamarcus Knight,WR,6-2,180.0,Jr.,Auburn HS,Troy,West Alabama,"Auburn, Ala.",,,
111,,85.0,Eric Shaw,BAN,6-5,211.0,R-Fr.,Reeltown HS,Troy,South Carolina,"Reeltown, Ala.",,,
112,,86.0,Rondell Cole,WR,6-3,198.0,Jr.,Sparkman HS,Troy,Mississippi College,"Harvest, Ala.",,,
113,,87.0,Jaden Warren,WR,6-4,220.0,So.,Oneonta HS,Troy,,"Oneonta, Ala.",,,
114,,88.0,Michael Vice,TE,6-4,252.0,Jr.,Vestavia Hills HS,Troy,Samford,"Vestavia Hills, Ala.",,,
115,,89.0,Clayton Ollendieck,TE,6-4,241.0,Jr.,Crestwood HS,Troy,Iowa Central CC,"Cresco, Iowa",,,
116,,91.0,Cameron Reese,DE,6-1,285.0,R-Fr.,Auburn HS,Troy,,"Auburn, Ala.",,,
117,,92.0,Julian Peterson,DT,6-3,296.0,R-Fr.,Pinson Valley HS,Troy,,"Pinson, Ala.",,,
118,,95.0,Luis Medina,DT,6-1,288.0,So.,Chattooga HS,Troy,,"Summerville, Ga.",,,
119,,97.0,AJ Pierce,DT,6-1,313.0,Jr.,Northview HS,Troy,,"Dothan, Ala.",,,
120,,98.0,T.J. Jackson,DE,6-1,270.0,So.,Stanhope Elmore HS,Troy,,"Millbrook, Ala.",,,
121,,99.0,Fabian Rogosch,DE,6-5,238.0,Fr.,Hamburg,Troy,,"Hamburg, Germany",,,
0,,,,,,,,,Troy,,,,Jon Sumrall,Head Coach
