,Statistic,NO.,Name,Pos.,Ht.,Wt.,Class,Hometown / High School,Instagram,Twitter,Image,Title
75,,69.0,Colby Smith,OL,6-8,340.0,So.,"Reidsville, N.C. / Rockingham County",bigshow__69,BiGShoW1212,,
76,,72.0,Izavion Miller,OL,6-5,313.0,Jr.,"Memphis, Tenn. / Wooddale",showt1metall,IzavionMiller,,
77,,74.0,Garner Langlo,OL,6-6,297.0,So.,"Inverness, Fla. / Trinity Catholic",g_langlo74,LangloGarner,,
78,,75.0,Connor Lew,OL,6-3,278.0,Fr.,"Kennesaw, Ga. / Kennesaw Mountain",connorl75,ConnorLew1,,
79,,76.0,Clay Wedin,OL,6-5,306.0,Fr.,"Valrico, Fla. / Carrollwood Day",bigclay77,ClayWedin,,
80,,77.0,Jeremiah Wright,OL,6-5,345.0,Jr.,"Selma, Ala. / Selma",thatjeremiah77,thatjeremiah771,,
81,,78.0,Evan Richards,OL,6-4,309.0,R-Fr.,"Cullman, Ala. / Cullman",evanrichards256,evanrichards256,,
82,,82.0,Jake Kruse,WR,5-10,179.0,R-Fr.,"Helena, Ala. / Helena",,,,
83,,83.0,Colby Stafford,WR,5-11,176.0,R-Fr.,"Mobile, Ala. / UMS-Wright",,,,
84,,84.0,Micah Riley-Ducker,TE,6-5,238.0,R-Fr.,"Omaha, Neb. / Bellevue West",@micah.r.d,@Micah_r_d,,
85,,85.0,Tyler Fromm,TE,6-5,239.0,Sr.,"Warner Robins, Ga. / Warner Robins",t_fromm10,FrommTyler,,
86,,86.0,Luke Deal,TE,6-5,256.0,Sr.,"Greenwood, S.C. / Emerald",lukedeal5,lukedeal86,,
87,,87.0,Brandon Frazier,TE,6-7,271.0,Sr.,"McKinney, Texas / McKinney North",bfrazier_29,BKFraz,,
88,,89.0,Whit Johnson,WR,5-11,179.0,R-Fr.,"Centre, Ala. / Cherokee County",whitjohnson15,mwhitjohnson15,,
89,,90.0,Enyce Sledge,DL,6-2,304.0,R-Fr.,"Monroe, La. / Neville",the_realenyce,The_RealAPE,,
90,,91.0,Oscar Chapman,P,6-3,204.0,Sr.,"Adelaide, South Australia / Prince Alfred College",oscarr.chapmann,Oscar_Chapman1,,
91,,91.0,Zykeivous Walker,DL,6-4,292.0,Jr.,"Ellaville, Ga. / Schley County",walkerboi6,Zykeivous10,,
92,,92.0,Lawrence Johnson,DL,6-2,299.0,Sr.,"Fort Wayne, IN / Snider",lawrencej__,Law_Jay09,,
93,,93.0,Joe Frazier Jr.,DL,5-11,264.0,R-Fr.,"Auburn, Ala. / Auburn",joe.frazier55,Joe_Frazier55,,
94,,93.0,Evan McGuire,K,6-5,221.0,So.,"Alabaster, Ala. / Thompson",evanmcguire_,evanmc30,,
95,,94.0,Godwin Owolabi,DL,6-2,297.0,So.,"Tuskegee, Ala. / Booker T. Washington",,,,
96,,96.0,Garrison Walker,DL,6-1,295.0,Jr.,"Toccoa, Ga. / Stephens County",garrison.walker,garrisonwalker2,,
97,,97.0,Justin Rogers,DL,6-3,340.0,Jr.,"Detroit, Mich. / Oak Park",allamerican_jr,AllAmerican52JR,,
98,,99.0,Jayson Jones,DL,6-6,339.0,Jr.,"Calera, Ala. / Calera",@thejaysonjones,@thejaysonjones,,
0,,,Hugh Freeze,,,,,,,,,Head Coach
