,Statistic,#,Name,Pos.,Ht.,Wt.,Cl.,Hometown / High School,Current School Name,Previous School,Image,Title
0,,0.0,Richard Kinley,DE,6-3,238.0,R-Jr.,"Memphis, TN / Lausanne Collegiate School",Middle Tennessee,,,
1,,1.0,Teldrick Ross,CB,5-11,191.0,R-Sr.,"Macon, GA / Jones County",Middle Tennessee,,,
2,,3.0,DJ England-Chisolm,WR,5-8,155.0,Sr.,"Moncks Corner, SC / Berkeley",Middle Tennessee,,,
3,,4.0,Johnathan Butler,LB,6-1,223.0,R-Sr.,"Sumter, SC / Sumter HS",Middle Tennessee,Highland CC,,
4,,4.0,Kyle Lowe,QB,5-11,202.0,R-Fr.,"Collierville, TN / Fayette-Ware",Middle Tennessee,,,
5,,5.0,Jordan Branch,DL,6-0,288.0,R-Sr.,"Maury City, TN / Crockett County",Middle Tennessee,,,
6,,7.0,Zeke Rankin,PK,5-8,199.0,Jr.,"Alcoa, TN / Alcoa",Middle Tennessee,,,
7,,7.0,Zaylin Wood,DE,6-2,267.0,R-Jr.,"Bowdon, GA / Heard County",Middle Tennessee,,,
8,,8.0,Devyn Curtis,LB,6-2,237.0,R-So.,"Nashville, TN / Brentwood Academy",Middle Tennessee,,,
9,,10.0,Jaiden Credle,RB,6-1,193.0,So.,"Columbus, GA / Carver",Middle Tennessee,Northern Illinois,,
10,,10.0,Jakson Judge,QB,6-1,199.0,Fr.,"Jacksonville, FL / The Bolles School",Middle Tennessee,,,
11,,11.0,Nicholas Vattiato,QB,6-1,195.0,R-So.,"Plantation, FL / University School",Middle Tennessee,,,
12,,12.0,DJ Riles,QB,6-0,194.0,R-Fr.,"Columbus, GA / Carver",Middle Tennessee,,,
