,Statistic,#,Full Name,Pos.,Ht.,Wt.,Academic Year,Hometown,High School,Previous School,Instagram,Twitter,Image,Name,Title
66,,63.0,Jake Pascual,OL,6-2,289.0,R-So.,"Winston-Salem, NC",Reagan,,jake_pascual0,,,,
67,,65.0,Hank Lucas,OL,6-2,282.0,R-Fr.,"West Des Moines, IA",Valley,,,,,,
68,,66.0,Cale Doyle,OL,6-3,285.0,R-Fr.,"Chagrin Falls, OH",Kenston,,,,,,
69,,70.0,Nick Sharpe,OL,6-2,330.0,R-So.,"Gastonia, N.C.",Hunter Huss,,nicksharpe70,NickSharpe52,,,
70,,71.0,CJ Elmonus,OL,6-7,291.0,R-Jr.,"Fairview, NC",A.C. Reynolds,,cj.elmonus,CElmonus,,,
71,,72.0,Erik Russell,OL,6-8,290.0,R-So.,"Scituate, MA",Boston College High,,erik__russell,erikrussell21,,,
72,,73.0,Zach Vaughan,OL,6-6,295.0,R-So.,"Milton, MA",Milton Academy,,zachvaughan55,ZachVaughan20,,,
73,,74.0,Luke Petitbon,OL,6-2,295.0,R-So.,"Annapolis, MD",Gonzaga College,,lpetitbon74,Luke_Petitbon,,,
74,,75.0,Derrell Johnson II,OL,6-3,300.0,R-Fr.,"Jacksonville, FL",Riverside,,dj_72block,DJ_72block,,,
75,,76.0,Jaydon Collins,OL,6-6,285.0,R-So.,"Greer, S.C.",Greer,,jay.capalot24_,JaydonSCollins,,,
76,,77.0,George Sell,OL,6-4,294.0,R-So.,"Chagrin Falls, OH",Kenston,,george__sell,george_sell77,,,
77,,78.0,Christian Forbes,OL,6-4,281.0,R-So.,"Plainsboro, NJ",Lawrenceville School,,kforbes77,,,,
78,,80.0,Jahmal Banks,WR,6-4,208.0,Jr.,"Washington, DC",St. Frances Academy,,thema1_,jahmalb21,,,
79,,81.0,Anthony Borriello,DB,5-11,188.0,R-So.,"Red Bank, NJ",Red Bank Catholic,,anthony.borriello,AnthonyBorriel2,,,
80,,81.0,Wesley Grimes,WR,6-2,185.0,So.,"Raleigh, NC",Millbrook,,wesleygrimess,wesleygrimess,,,
81,,82.0,Trey Boll,TE,6-4,235.0,Jr.,"Richmond, VA",Collegiate,,bolltrey_,treyboll,,,
82,,82.0,Derek Matthews,DB,6-1,200.0,R-Fr.,"East Bend, NC",Forbush,,,,,,
83,,83.0,Ben Morgan,K,5-10,130.0,R-Fr.,"Bluefield, VA",Graham,,,,,,
84,,86.0,Michael Frogge,TE,6-5,235.0,R-So.,"Greensboro, NC",Northern Guilford,,michael_frogge,FroggeMichael,,,
