,Statistic,#,Full Name,Pos.,Ht.,Wt.,Academic Year,Hometown / High School,Current School Name,Previous School,Major,Image,Name,Title
3,,,,,,,,,Stanford,,,,Kate Dalman,Assistant Director • Football Operations
4,,,,,,,,,Stanford,,,,Alexa Malone,Associate Director • Recruiting Operations
5,,,,,,,,,Stanford,,,,Kelli Moran-Miller,Director • Sport Psychology
6,,,,,,,,,Stanford,,,,Sebastian Zorn,Director of Football Sports Nutrition
7,,,,,,,,,Stanford,,,,Jacob Callahan,Head Athletic Trainer
8,,,,,,,,,Stanford,,,,Karmont Mak,Associate Athletic Trainer
9,,,,,,,,,Stanford,,,,Wednesday Bienusa,Assistant Athletic Trainer
10,,,,,,,,,Stanford,,,,Andrew Cooman,Assistant Athletic Trainer
11,,,,,,,,,Stanford,,,,Gregory Valenzisi,Director • Football Equipment
12,,,,,,,,,Stanford,,,,Micah Flores,Assistant Director • Football Equipment
13,,,,,,,,,Stanford,,,,Mike Gleeson,Video Director
14,,,,,,,,,Stanford,,,,Monique Holt,Undergraduate Advising Director
15,,,,,,,,,Stanford,,,,Nick Combo,Undergraduate Advising Director
16,,,,,,,,,Stanford,,,,TJ Burnett,Student-Athlete Development Advisor
17,,,,,,,,,Stanford,,,,Theresa Miraglia,Assistant Director Finance and Administration
