,Statistic,#,Full Name,Pos.,Ht.,Wt.,Class,Hometown / High School,Previous School,Instagram,Twitter,Image,Name,Title
15,,,,,,,,,,,,,Nick Tronti,Graduate Assistant (Offense)
16,,,,,,,,,,,,,James O'Hagan,Graduate Assistant (Offensive Line)
17,,,,,,,,,,,,,Pierce Withers,Graduate Assistant (Defense)
18,,,,,,,,,,,,,Tyler Cardwell,Graduate Assistant (Defense)
19,,,,,,,,,,,,,Bill Sanders,Head Athletic Trainer (Football)
20,,,,,,,,,,,,,Brad Marsic,Assistant Athletic Trainer (Football)
21,,,,,,,,,,,,,Alexa Petriella,Assistant Athletic Trainer (Football and Women's Tennis)
22,,,,,,,,,,,,,Joey Guarascio,Head Strength and Conditioning Coach
23,,,,,,,,,,,,,Robert Marco,Assistant Strength and Conditioning Coach
24,,,,,,,,,,,,,"Adare Quinn, RDN",Football Nutritionist
25,,,,,,,,,,,,,Desmond Cook,Fellowship of Christian Athletes
