,Statistic,#,Full Name,Pos.,Ht.,Wt.,Academic Year,Hometown / High School,Current School Name,Previous School,Twitter,Instagram,Custom Field 1,Image,Name,Title
74,,51.0,Tyler Thomas,OL,6-4,310.0,Jr.,"Waldorf, Md. / Saint Frances Acad.",Charlotte,Kent State / Grambling State,,,,,,
75,,52.0,Jonny King,OL,6-3,290.0,R-So.,"Greensboro, N.C. / Southeast Guilford",Charlotte,,,,,,,
76,,53.0,Panda Askew,OL,6-3,276.0,R-So.,"Greenville, N.C. / D.H. Conley",Charlotte,,,,,,,
77,,53.0,Mike Kelly,DL,6-2,250.0,R-Jr.,"Graham, N.C. / Graham",Charlotte,,,,,,,
78,,54.0,Adam Booker,LS,6-4,195.0,Fr.,"Holly Springs, N.C. / Middle Creek",Charlotte,,,,,,,
79,,54.0,Micah Sumpter,OL,6-4,290.0,Fr.,"Knightdale, N.C. / Knightdale",Charlotte,,,,,,,
80,,55.0,Johnathan Bass,OL,6-3,292.0,Sr.,"Acworth, Ga. / Kell",Charlotte,Georgia State,,,,,,
81,,55.0,Isaiah Potts,DT,6-1,295.0,R-Fr.,"Fayetteville, N.C. / Pine Forest",Charlotte,,,,,,,
82,,56.0,Andrew Adair,OL,6-4,320.0,R-So.,"Warrenton, Va. / Saint Frances Acad.",Charlotte,JMU / Liberty,,,,,,
83,,56.0,Jordan Moore,DL,5-10,270.0,R-So.,"Mebane, N.C. / Eastern Alamance",Charlotte,,,,,,,
84,,58.0,T.J. Butler,LB,6-4,220.0,So.,"Baltimore, Md. / Saint Frances Acad.",Charlotte,Maryland,,,,,,
85,,58.0,Austin Fontaine,OL,6-4,290.0,5th,"Waldorf, Md. / DeMatha Catholic",Charlotte,Maryland,,,,,,
86,,61.0,Marshall Futrell,OL,6-4,315.0,R-Fr.,"Yonkers, N.Y. / Iona Prep",Charlotte,,,,,,,
87,,62.0,Cade Goldman,OL,6-4,295.0,Fr.,"Harrisburg, N.C. / Hickory Ridge",Charlotte,,,,,,,
88,,65.0,Boston Brinkley,OL,6-3,295.0,Fr.,"Fort Mill, S.C. / Fort Mill",Charlotte,,,,,,,
89,,66.0,Kendall Stanley,OL,6-6,300.0,Fr.,"Charlotte, N.C. / Rocky River",Charlotte,,,,,,,
90,,71.0,Arabee Muslim,OL,6-2,312.0,R-So.,"Charlotte, N.C. / Mallard Creek",Charlotte,,,,,,,
91,,72.0,Cameron Clark,OL,6-2,290.0,R-So.,"Mooresville, N.C. / Mooresville",Charlotte,,,,,,,
92,,73.0,Isaiah Bullerdick,OL,6-1,295.0,Fr.,"Harrisburg, N.C. / Hickory Ridge",Charlotte,,,,,,,
93,,74.0,Jordan Daniels,OL,6-5,310.0,R-Jr.,"Charlotte, N.C. / North Mecklenburg",Charlotte,Akron,,,,,,
94,,75.0,Michael Statham Jr.,OL,6-7,370.0,R-Fr.,"Philadelphia, Pa. / Saint Frances Academy",Charlotte,Pittsburgh,,,,,,
95,,76.0,Kevin Williams,OL,6-5,338.0,R-Sr.,"Omaha, Neb. / North H.S.",Charlotte,Northern Colorado / Nebraska,,,,,,
96,,77.0,Jaxon Hughes,OL,6-6,295.0,R-Jr.,"Greensboro, N.C. / Northern Guilford",Charlotte,,,,,,,
97,,78.0,Jai'Lun Hampton,OL,6-9,330.0,So.,"Detroit, Mich. / North Farmington",Charlotte,Iowa Western C.C.,,,,,,
98,,79.0,Antonio Gaines,OL,6-4,340.0,Fr.,"Columbia, S.C. / Ridge View",Charlotte,,,,,,,
99,,81.0,Jake Clemons,TE,6-6,260.0,R-So.,"Christiansburg, Va. / Christiansburg",Charlotte,,,,,,,
100,,82.0,Elisha Edwards,WR,6-2,206.0,Fr.,"Lauderhill, Fla. / Cardinal Gibbons",Charlotte,,,,,,,
101,,83.0,Sean Brown,WR,6-3,206.0,R-Sr.,"Waxhaw, N.C. / Marvin Ridge",Charlotte,UNC Pembroke,,,,,,
102,,84.0,Reggie Givhan III,WR,5-9,170.0,Fr.,"Marietta, Ga. / North Cobb",Charlotte,,,,,,,
103,,86.0,Bryce Kennon,TE,6-3,235.0,R-So.,"Waxhaw, N.C. / Marvin Ridge",Charlotte,,,,,,,
104,,87.0,Charlie C.C. Fish,WR,5-10,188.0,R-Fr.,"Mount Horeb, Wisc. / Mount Horeb",Charlotte,Northern Illinois,,,,,,
105,,88.0,Andrew Jacobs,WR,5-11,185.0,R-Fr.,"Severn, Md. / Saint Frances Acad.",Charlotte,South Dakota,,,,,,
106,,89.0,Quinton Patten,WR,5-11,205.0,R-Jr.,"Blythewood, S.C. / Blythewood",Charlotte,,,,,,,
107,,90.0,Dez Morgan,DL,6-2,295.0,R-So.,"Winston-Salem, N.C. / Glenn",Charlotte,,,,,,,
108,,91.0,Lorenzo Avila,DL,6-1,265.0,Fr.,"Oxnard, Calif. / St. Bonaventure",Charlotte,,,,,,,
109,,93.0,Malik Daniels,DL,5-11,380.0,Jr.,"Fayetteville, N.C. / Pine Forest",Charlotte,,,,,,,
110,,94.0,Jonathan Wallace,DL,6-3,394.0,So.,"Claymont, Dela. / Saint Frances Acad.",Charlotte,Holmes C.C.,,,,,,
111,,95.0,Miguel Jackson,DE,6-1,285.0,So.,"Gibsonia, Pa. / Pine-Richland",Charlotte,,,,,,,
112,,96.0,Julius Welschof,DL,6-6,265.0,Gr.,"Miesbach, Bavaria, Germany / FOS Altoetting",Charlotte,Michigan,,,,,,
113,,97.0,Jalar Holley,DL,6-2,282.0,R-So.,"Queens, N.Y. / Buford",Charlotte,Miami,,,,,,
114,,98.0,Tyson Clawson,DE,6-1,230.0,So.,"Charlotte, N.C. / Independence",Charlotte,,,,,,,
115,,99.0,Isaac Washington,DL,6-4,284.0,So.,"Pilot Mountain, N.C. / East Surry",Charlotte,Butler C.C.,,,,,,
0,,,,,,,,,Charlotte,,,,,,Biff Poggi,Head Coach
1,,,,,,,,,Charlotte,,,,,,Kyle DeVan,Associate Head Coach; Offensive Line; Run-Game Coordinator
2,,,,,,,,,Charlotte,,,,,,Mike Miller,Offensive Coordinator / Quarterbacks Coach
3,,,,,,,,,Charlotte,,,,,,Ryan Osborn,Defensive Coordinator / Outside Linebackers Coach
4,,,,,,,,,Charlotte,,,,,,Wayne Dorsey,Defensive Line Coach
5,,,,,,,,,Charlotte,,,,,,Greg Froelich,Special Teams Coordinator / Running Backs Coach
6,,,,,,,,,Charlotte,,,,,,Mike Hartline,Passing Game Coordinator / Receivers Coach
7,,,,,,,,,Charlotte,,,,,,Greer Martini,Linebackers Coach
8,,,,,,,,,Charlotte,,,,,,John Morookian,Offensive Tackles; Tight Ends Coach
9,,,,,,,,,Charlotte,,,,,,Rod Ojong,Defensive Backs Coach
10,,,,,,,,,Charlotte,,,,,,Justin Sanders,Safeties Coach
11,,,,,,,,,Charlotte,,,,,,Jonathon Jacobson,Ass't Head Coach and Senior Advisor
12,,,,,,,,,Charlotte,,,,,,Jason Barnes,Offensive Analyst
13,,,,,,,,,Charlotte,,,,,,Steve Comuntzis,Special Teams Quality Control & Defensive Analyst
14,,,,,,,,,Charlotte,,,,,,Kevin Gilbride,Offensive Analyst
15,,,,,,,,,Charlotte,,,,,,Mark Hogan,Defensive Analyst
16,,,,,,,,,Charlotte,,,,,,Brent Kasabian,Defensive Analyst
17,,,,,,,,,Charlotte,,,,,,Austin Gilbert,Defensive Assistant
18,,,,,,,,,Charlotte,,,,,,Jerry Prutos,Offensive Assistant
19,,,,,,,,,Charlotte,,,,,,Ayeobele Randolph,Defensive Assistant
20,,,,,,,,,Charlotte,,,,,,Dylan Ratliff,Offensive Assistant
21,,,,,,,,,Charlotte,,,,,,Lewis Caralla,Director of Strength & Conditioning
22,,,,,,,,,Charlotte,,,,,,Cory Sullivan,Assistant Director of Football Strength & Conditioning
23,,,,,,,,,Charlotte,,,,,,Corey Bell Jr.,Football Performance Assistant Coach
24,,,,,,,,,Charlotte,,,,,,Nick Raszeja,Football Performance Assistant Coach
25,,,,,,,,,Charlotte,,,,,,Tony Cordova,Director of Sports Medicine / Head Football Athletic Trainer
26,,,,,,,,,Charlotte,,,,,,Kenny Cabe,Assistant Athletic Trainer - Football
27,,,,,,,,,Charlotte,,,,,,Nick Decker,Director of Football Operations
28,,,,,,,,,Charlotte,,,,,,Aly Cramond,Director of Football Relations
29,,,,,,,,,Charlotte,,,,,,Jonathan Herd-Bond,Director of Player Personnel
30,,,,,,,,,Charlotte,,,,,,LaFayette Stewart,Director of Player Development
31,,,,,,,,,Charlotte,,,,,,Jackson Block,Recruiting Coordinator
32,,,,,,,,,Charlotte,,,,,,Keith Emery,Director of High School Relations
33,,,,,,,,,Charlotte,,,,,,Greg Gamble,Assistant to the Head Coach - Recruiting & Operations
34,,,,,,,,,Charlotte,,,,,,Will Matzke,Director of Football Equipment
35,,,,,,,,,Charlotte,,,,,,Spencer Matlock,Assistant Director of Football Equipment
36,,,,,,,,,Charlotte,,,,,,Joshua Hansen,Director of Video Services and Football Technology
37,,,,,,,,,Charlotte,,,,,,Joe Mitchell,Director of Creative Media
38,,,,,,,,,Charlotte,,,,,,Jaelyn Shipman,Performance Dietitian
