,#,Full Name,Pos.,Ht.,Wt.,Academic Year,Hometown / High School,Squadron,Current School Name,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93
68,51,Kaleb Holcomb,OT,6' 4'',265,Jr.,"Dublin, OH / Coffman",21 / Blackjacks,Air Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,52,Tyler Casados,OG,6' 2'',295,Jr.,"La Habra, CA / La Habra",1 / Mighty Mach One,Air Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,53,Steven Iles,OG,6' 2'',280,Jr.,"Riverside, CA / Corona Centennial",39 / Jedi Knights,Air Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,54,Julian Williams,ILB,6' 2'',220,So.,"Aurora, CO / Cherkoee Trail",21 / Blackjacks,Air Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,55,Kupono Blake,NG,6' 2'',270,Jr.,"Kalihi, HI / Kamehameha",11 / Rebeleven,Air Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,56,Mark Hiestand,OT,6' 5'',285,Sr.,"South Bend, IN / Saint Joseph",20 / Trolls,Air Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,56,Cole Palmer,OLB,6' 4'',235,So.,"Colorado Springs, CO / TCA",40 / Warhawks,Air Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,57,Luke Nolan,OL,6' 3'',305,So.,"Zionsville, IN / Zionsville Community",16 / Chicken Hawks,Air Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,59,Adam Karas,OT,6' 4'',270,Jr.,"Arvada, CO / Pomona",2 / Deuce,Air Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,61,Ryan Keating,OG,6' 3'',280,Jr.,"Strongsville, OH / Strongsville",37 / Animalistic Skyraiders,Air Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,63,Everett Smalley,OT,6' 3'',260,Jr.,"Tampa, FL / Plant",9 / Viking Nine,Air Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,64,Luke Hallstrom,OG,6' 2'',280,Jr.,"Naperville, IL / Naperville Central",39 / Jedi Knights,Air Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,66,Ayden McCollough,OT,6' 3'',305,Jr.,"Brandon, MS / Brandon",24 / Phantoms,Air Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,67,Jim Schwaab,OC,6' 4'',270,So.,"Waukesha, WI / Catholic Memorial",27 / Thunderbirds,Air Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,68,Thor Paglialong,OC,6' 4'',285,Jr.,"Woodstock, IL / Marian Central Catholic",26 / Barons,Air Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,69,Wesley Ndago,OG,6' 2'',285,Jr.,"Waco, TX / Midway",32 / Road Runners,Air Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,70,Ethan Schlundt,OL,6' 4'',290,So.,"Tomball, TX / Tomball",17 / Stalag 17,Air Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Air Force,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad,Skip Ad
86,71,Michael McAninch,OL,6' 3'',280,So.,"Toledo, OH / Western",34 / Loose Hawgs,Air Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,73,Isaac Cochran,OL,6' 5'',325,Sr.,"Concord, NC / Concord",7 / Shadow Seven,Air Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,74,Mason Carlan,OT,6' 3'',290,Jr.,"North Little Rock, AR / North Little Rock",7 / Shadow Seven,Air Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,74,James Tomasi,DL,6' 0'',305,So.,"Provo, UT / Provo",20 / Trolls,Air Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,75,Ethan Jackman,OL,6' 4'',300,Jr.,"Chaska, MN / Chaska",1 / Mighty Mach One,Air Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,79,Hunter Brown,OC,6' 1'',285,So.,"Lake Charles, LA / Barbe",,Air Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,81,James Bryant,TE,6' 4'',215,Jr.,"Roswell, GA / Blessed Trinity",35 / Wild Weasels,Air Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,82,Conner McIntee,TE,6' 3'',235,Jr.,"Sacramento, CA / Jesuit",14 / Cobras,Air Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,84,Caleb Rillos,TE,6' 5'',240,Jr.,"Golden, CO / Ralston Valley",35 / Wild Weasels,Air Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,87,Caden Blum,DL,6' 5'',265,Jr.,"Baraboo, WI / Baraboo",13 / Bulldawgs,Air Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,87,Brandon Engel,WR,6' 2'',210,So.,"Dallas, TX / Lake Dallas",10 / Tiger Ten,Air Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,88,Kyle Patterson,TE,6' 6'',250,Sr.,"Gilbert, AZ / Perry",34 / Loose Hawgs,Air Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,90,TJ Love,DT,6' 4'',280,Sr.,"Centennial, CO / Kent Denver",37 / Animalistic Skyraiders,Air Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,91,Anthony Rodriguez,PK,5' 9'',190,Jr.,"Marietta, GA / North Cobb",32 / Road Runners,Air Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,92,Elijah Brockman,NG,6' 3'',285,Sr.,"Aurora, CO / Eaglescrest",1 / Mighty Mach One,Air Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,93,Andrew BoisD'Enghien,DE,6' 3'',280,Jr.,"Pleasanton, CA / Bradenton River (FL)",31 / Grim Reapers,Air Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,94,Kaleb Tompkins,DL,6' 4'',245,So.,"Midlothian, TX / Midlothian",19 / Wolverines,Air Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,95,Carson Bay,P,5' 11'',160,So.,"Tampa, FL / Robinson",37 / Animalistic Skyraiders,Air Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,96,Luke Wieland,P,6' 0'',195,Jr.,"Colorado Springs, CO / Pine Creek",37 / Animalistic Skyraiders,Air Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,96,Payton Zdroik,DL,6' 0'',260,So.,"Brentwood, CA / Liberty",30 / Knights of Thirty,Air Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,97,Luke Freer,PK,6' 4'',220,Fr.,"Fairhope, AL / Fairhope",28 / Blackbirds,Air Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,98,Owen Konopacki,PK/P,6' 2'',205,So.,"Sun Prairie, WI / Sun Prairie",33 / King Ratz,Air Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,98,Kalawai'a Pescaia,NG,6' 0'',295,Sr.,"Kailua, HI / Kamehameha",16 / Chicken Hawks,Air Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
