,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Exp.,Current School Name,Hometown,High School / Previous Schools,Image,Title
38,,26.0,RJ Bendert,DB,6-1,180.0,R-So.,2Y,Sam Houston,"McKinney, Texas",McKinney North HS,,
39,,26.0,Jalen Washington,RB,5-9,205.0,So.,HS,Sam Houston,"Montgomery, Texas",Montgomery HS,,
40,,28.0,Jaidan Scott,DB,6-0,185.0,So.,HS,Sam Houston,"Houston, Texas",Myers Park HS (NC),,
41,,29.0,Jadarius Brown,DB,6-0,175.0,So.,HS,Sam Houston,"Willis, Texas",Willis HS,,
42,,30.0,Darien Flynn,LB,6-0,195.0,Jr.,1L,Sam Houston,"Houston, Texas",Pearland Dawson HS,,
43,,31.0,Christian Williams,DB,5-10,185.0,R-So.,RS,Sam Houston,"Baton Rouge, La.",Parkview Baptist School,,
44,,33.0,Markel Perry,DL,6-2,220.0,Gr.,4L,Sam Houston,"Beaumont, Texas",Ozen HS,,
45,,34.0,Alex Morrison,DB,5-11,185.0,R-So.,TR,Sam Houston,"Conroe, TX",Conroe HS / Snow College,,
46,,35.0,Gannon Tullos,LB,6-2,205.0,So.,HS,Sam Houston,"Houston, Texas",Klein Oak HS,,
47,,36.0,Truman Bexley,DB,5-11,185.0,R-So.,1L,Sam Houston,"Fulshear, Texas",Fulshear HS,,
48,,36.0,Garret Hagler,RB,5-10,200.0,So.,HS,Sam Houston,"Cove, Texas",Barbers Hill HS,,
49,,37.0,Jax Sherrard,TE,6-5,240.0,Gr.,TR,Sam Houston,"Olney, Md.",Sherwood HS / Davidson,,
50,,38.0,Quan Williams,DB,5-10,165.0,R-So.,RS,Sam Houston,"College Station, Texas",A&M Consolidated HS,,
51,,39.0,Caleb Weaver,DB,5-11,180.0,R-So.,RS,Sam Houston,"Houston, Texas",Myers Park HS (NC),,
52,,40.0,Nate White,LB/DE,6-3,225.0,R-Jr.,TR,Sam Houston,"Miami, FL",Edgewater HS / Copiah Lincoln CC/FIU,,
53,,41.0,Zach Stricker,LS,6-0,195.0,R-So.,RS,Sam Houston,"Coppell, Texas",Coppell HS,,
