,Statistic,#,Name,Pos,Ht,Wt,Cl-Exp,Hometown / Previous School,Image,Title
27,,14.0,Nolan Matthews-Harris,TE,6-6,250.0,JR-1L,"Frisco, Texas / Arizona State / Reedy",,
28,,15.0,Keke Burns,LB,6-4,224.0,SR-3L,"Pittsburg, Texas / Pittsburg",,
29,,16.0,Ahmaad Moses,S,5-10,202.0,SO-1L,"Arlington, Texas / Mansfield Summit",,
30,,16.0,Alex Padilla,QB,6-1,200.0,SR-GT,"Greenwood Village, Colo. / Iowa / Cherry Creek",,
31,,18.0,Teddy Knox,WR,5-11,167.0,SO-1L,"Baton Rouge, La. / Mississippi State / The Woodlands",,
32,,18.0,Chris Megginson,CB,6-0,190.0,SR-GT,"Lynchburg, Va. / Liberty / Heritage",,
33,,20.0,Chris Adimora,S,6-2,212.0,SR-1L,"Long Beach, Calif. / Texas / Mayfair",,
34,,20.0,Jaxson Lavender,WR,5-9,165.0,FR-HS,"Lucas, Texas / Lovejoy",,
35,,21.0,Will Kuehne,QB,6-1,204.0,SR-SQ,"Owasso, Okla. / North Texas / Owasso",,
36,,22.0,"Brandon Epton, Jr.",RB,6-0,193.0,SO-1L,"Dallas, Texas / Kimball",,
37,,22.0,"Cale Sanders, Jr.",DB,5-10,180.0,JR-TR,"Porter, Texas / Fresno State / New Caney",,
38,,24.0,Velton Gardner,RB,5-9,197.0,SR-1L,"Dallas, Texas / Kansas / Skyline",,
39,,25.0,Kevaris Hall,CB,6-3,196.0,JR-1L,"Red Oak, Texas / Tulane / Red Oak",,
40,,26.0,Owen Easley,QB,6-1,208.0,SR-SQ,"El Cajon, Calif. / Saddleback College / Christian United",,
41,,26.0,Sam Westfall,CB,5-10,188.0,SR-3L,"Saint George, Utah / Mesa C.C. / Dixie",,
42,,27.0,Zane Minors,RB,5-11,183.0,SO-SQ,"Austin, Texas / Westlake",,
43,,28.0,Charlie Fiser,QB,6-1,190.0,FR-RS,"Little Rock, Ark. / Pulaski Academy",,
44,,28.0,Luke Mabe,S,5-11,175.0,JR-SQ,"Colleyville, Texas / Harding / Colleyville Heritage",,
45,,29.0,Daylon Dickerson,WR,6-6,185.0,FR-RS,"Kaufman, Texas / Kaufman",,
46,,29.0,Pierre Goree,LB,6-0,217.0,SO-1L,"Duncanville, Texas / Duncanville",,
