,Statistic,#,Name,Pos.,Ht.,Wt.,Yr.,Hometown,Current School Name,High School,Previous School,Image,Title
18,,13.0,Chimere Dike,WR,6-1,198.0,Sr.,"Waukesha, Wis.",Wisconsin,North,,,
19,,13.0,Kamo'i Latu,S,6-0,196.0,Sr.,"Honolulu, Hawaii",Wisconsin,Saint Louis School,Utah,,
20,,14.0,Markus Allen,WR,6-1,208.0,R-So.,"Dayton, Ohio",Wisconsin,Northmont,,,
21,,14.0,Preston Zachman,S,6-1,209.0,R-So.,"Elysburg, Pa.",Wisconsin,Southern Columbia,,,
22,,15.0,Tommy McIntosh,WR,6-5,200.0,R-Fr.,"DeWitt, Mich.",Wisconsin,DeWitt,,,
23,,16.0,Myles Burkett,QB,6-0,202.0,R-Fr.,"Franklin, Wis.",Wisconsin,Franklin,,,
24,,17.0,Cole LaCrue,QB,6-1,200.0,Fr.,"Broomfield, Colo.",Wisconsin,Broomfield,,,
25,,17.0,Darryl Peterson,OLB,6-1,247.0,R-So.,"Akron, Ohio",Wisconsin,Archbishop Hoban,,,
26,,18.0,Owen Arnett,S,5-11,210.0,R-So.,"Delafield, Wis.",Wisconsin,Arrowhead,,,
27,,18.0,Braedyn Locke,QB,6-0,192.0,R-Fr.,"Rockwall, Texas",Wisconsin,Rockwall,Mississippi State,,
28,,19.0,Will Pauling,WR,5-10,186.0,R-So.,"Chicago, Ill.",Wisconsin,Homewood-Flossmoor,Cincinnati,,
29,,19.0,Darian Varner,DE,6-3,278.0,R-Jr.,"Norfolk, Va.",Wisconsin,Maury,Temple,,
30,,20.0,Braedyn Moore,S,6-2,197.0,Fr.,"Hamilton, Ohio",Wisconsin,Stephen T. Badin,,,
31,,21.0,Jonas Duclona,CB,5-10,184.0,Fr.,"Naples, Fla.",Wisconsin,Naples,,,
32,,21.0,Cam Fane,WR,6-1,180.0,R-Fr.,"Arlington, Texas",Wisconsin,Madison Edgewood (Wis.),,,
