,Statistic,#,Full Name,Pos.,Ht.,Wt.,Year,Hometown / High School,Current School Name,Major,Image,Name,Title
5,,,,,,,,,Tulane,,,Brandon Vyhnalek,"Associate Director, Football Video"
6,,,,,,,,,Tulane,,,Alby Lindon,"Assistant Athletic Director, Sports Medicine (FB)"
7,,,,,,,,,Tulane,,,Courtney Luquet,"Associate Director, Football Player Engagement/On-Campus Recruiting"
8,,,,,,,,,Tulane,,,Devin Charles-Hubbard,Associate Director of Equipment
9,,,,,,,,,Tulane,,,Parker Peltier,"Associate Director, Football New Media Operations"
10,,,,,,,,,Tulane,,,Jake Stone,Defensive Analyst/Recruiting
11,,,,,,,,,Tulane,,,Favian Upshaw,Offensive Analyst
12,,,,,,,,,Tulane,,,Daniel Jacobs,Assistant Director of Academic Services
13,,,,,,,,,Tulane,,,Benjamin Moortgat,"Assistant Coach, Strength & Conditioning"
14,,,,,,,,,Tulane,,,Joe Williams,"Assistant Director, Equipment"
15,,,,,,,,,Tulane,,,Destinee Medrano,Senior Academic Advisor
16,,,,,,,,,Tulane,,,Hannah Richards,Senior Academic Advisor
17,,,,,,,,,Tulane,,,Dr. Lauren Miller,Mental Health Specialist
18,,,,,,,,,Tulane,,,Bracely Williams,Licensed Professional Counselor
19,,,,,,,,,Tulane,,,Tyler Spotts-Orgeron,Offensive Assistant
20,,,,,,,,,Tulane,,,Marianna Salas,Recruiting/Defensive Assistant
21,,,,,,,,,Tulane,,,Robert Beacham,"Graduate Assistant, Offense"
22,,,,,,,,,Tulane,,,Mark Wright,"Graduate Assistant, Football Coach/ Defense"
23,,,,,,,,,Tulane,,,Dane Ziegler,"Graduate Assistant, Football Coach/Defense"
24,,,,,,,,,Tulane,,,Jamar Mitchell,"Graduate Assistant, Football"
25,,,,,,,,,Tulane,,,Timothy Kennedy,"Graduate Assistant, Football"
26,,,,,,,,,Tulane,,,Patricia Smith,Graduate Assistant Athletic Trainer
27,,,,,,,,,Tulane,,,Alyssa Williams,Graduate Assistant Athletic Trainer
