,Statistic,No.,Full Name,Elig.,Pos.,Ht.,Wt.,Hometown/Previous School,Current School Name,Image,Name,Title
97,,57.0,Keanu Tanuvasa,R-Fr.,DT,6-4,288.0,"Mission Viejo, Calif. / Mission Viejo HS",Utah,,,
98,,42.0,Malae Tanuvasa,R-Fr.,S,6-1,185.0,"Highland, Utah / Skyridge HS",Utah,,,
99,,63.0,Peter Terry,So.,OL,6-3,293.0,"La Cañada Flintridge, Calif. / St. Francis HS",Utah,,,
100,,73.0,Tanoa Togiai,So.,OL,6-6,315.0,"Rigby, Idaho / Rigby HS",Utah,,,
101,,93.0,Braxton Turner,So.,DT,6-1,304.0,"Heber City, Utah / Georgetown",Utah,,,
102,,35.0,Isaac Vaha,So.,TE,6-6,262.0,"Pleasant Grove, Utah / Pleasant Grove HS",Utah,,,
103,,28.0,Sione Vaki,So.,S,6-0,207.0,"Antioch, Calif. / Liberty HS",Utah,,,
104,,16.0,Zemaiah Vaughn,Jr.,CB,6-2,181.0,"Beaumont, Texas / Beaumont United HS",Utah,,,
105,,17.0,Devaughn Vele,Jr.,WR,6-5,210.0,"San Diego, Calif. / Rancho Bernardo HS",Utah,,,
106,,18.0,Preston Viehweg,Fr.,S,6-1,203.0,"Highland, Utah / American Fork HS",Utah,,,
107,,95.0,Aliki Vimahi,Jr.,DT,6-4,305.0,"Kahuku, Hawai'i / Kahuku HS",Utah,,,
108,,26.0,Charlie Vincent,Jr.,RB,5-10,200.0,"Salt Lake City, Utah / East HS",Utah,,,
109,,61.0,Michael Williams,Sr.,P,6-0,200.0,"Phoenix, Ariz. / Arizona State",Utah,,,
110,,76.0,Zereoue Williams,So.,OL,6-8,305.0,"Phoenix, Ariz. / Mountain Pointe HS",Utah,,,
111,,27.0,Daniel Wood,Fr.,RB,5-9,206.0,"Gilbert, Ariz. / Highland HS",Utah,,,
112,,87.0,Thomas Yassmin,Sr.,TE,6-5,248.0,"Sydney, Australia / The Scots College",Utah,,,
0,,,,,,,,,Utah,,Kyle Whittingham,Football Head Coach
1,,,,,,,,,Utah,,Morgan Scalley,Defensive Coordinator/Safeties
2,,,,,,,,,Utah,,Andy Ludwig,Offensive Coordinator/Quarterbacks
3,,,,,,,,,Utah,,Jim Harding,Assistant Head Coach/Offensive Line
4,,,,,,,,,Utah,,Sharrieff Shah,Cornerbacks/Special Teams Coordinator
5,,,,,,,,,Utah,,Freddie Whittingham,Tight Ends/Recruiting Coordinator
6,,,,,,,,,Utah,,Lewis Powell,Defensive Ends
7,,,,,,,,,Utah,,Luther Elliss,Defensive Tackles
8,,,,,,,,,Utah,,Colton Swan,Linebackers
9,,,,,,,,,Utah,,Quinton Ganther,Running Backs
10,,,,,,,,,Utah,,Alvis Whitted,Wide Receivers
11,,,,,,,,,Utah,,Josh Crawford,Offensive Graduate Assistant
12,,,,,,,,,Utah,,Chase Murdock,Defensive Graduate Assistant
13,,,,,,,,,Utah,,Quincy Watkins,Defensive Graduate Assistant
14,,,,,,,,,Utah,,Ryan Blakney,Offensive Analyst
15,,,,,,,,,Utah,,Vince Conti,Defensive Analyst
16,,,,,,,,,Utah,,Dom Conti,Special Teams Analyst
17,,,,,,,,,Utah,,Jeff Rudy,Associate A.D. for Football Administration
18,,,,,,,,,Utah,,Adam Fry,Director of Football Operations
19,,,,,,,,,Utah,,Doug Elisaia,Director of Strength and Conditioning for Football
20,,,,,,,,,Utah,,Robert Blechen,Director of Player Personnel
