,Statistic,#,Name,Pos.,Ht.,Wt.,Year,Exp.,Current School Name,Hometown / High School,Previous School,Image,Title
62,,44.0,Nyseer Fullwood-Theodore,DB,6-3,205.0,Fr.,HS,Ole Miss,"Atlanta, Ga. / IMG Academy",,,
63,,45.0,Jackson Jones,DB,6-0,150.0,Fr.,TR,Ole Miss,"Grand Island, N.Y. / Grand Island",Stony Brook,,
64,,45.0,Beau Thomason,TE,6-3,210.0,So.,TR,Ole Miss,"Castle Pines, Colo. / Valor Christian",Baylor,,
65,,46.0,Harrison Craig,S,6-1,180.0,Fr.,RS,Ole Miss,"Collierville, Tenn. / Collierville",,,
66,,46.0,Salathiel Hemphill,TE,6-3,245.0,Jr.,RS,Ole Miss,"Winona, Miss. / Grenada",Jones College,,
67,,47.0,Sir Amos,RB,5-11,222.0,Fr.,HS,Ole Miss,"Atlanta, Ga. / Booker T. Washington",,,
68,,48.0,Charlie Pollock,P,6-1,250.0,So.,SQ,Ole Miss,"Marietta, Ga. / Walton",Nevada,,
69,,48.0,Braxton Wilson,RB,5-10,176.0,Fr.,HS,Ole Miss,"Arlington, Tenn. / Arlington",,,
70,,49.0,Jared Lawrence,LS,5-10,200.0,Jr.,2L,Ole Miss,"Lebanon, Tenn. / Wilson Central",,,
71,,49.0,Daniel Newman,S,5-9,195.0,Jr.,SQ,Ole Miss,"Tallahassee, Fla. / Lincoln",,,
72,,51.0,Flip Carswell,OL,6-7,275.0,Fr.,RS,Ole Miss,"Tennille, Ga. / Washington County",,,
73,,51.0,Zxavian Harris,DT,6-7,335.0,So.,1L,Ole Miss,"Canton, Miss. / Germantown",,,
74,,54.0,Caleb Warren,OL,6-5,310.0,Sr.*,4L,Ole Miss,"Louisville, Miss. / Nanih Waiya",,,
75,,55.0,Preston Cushman,OL,6-5,280.0,Fr.,RS,Ole Miss,"St. Petersburg, Fla. / Calvary Christian",,,
76,,56.0,Danny Lockhart Jr.,LB,5-11,225.0,Jr.,1L,Ole Miss,"Redlands, Calif. / St. John Bosco",USC,,
77,,56.0,Reece McIntyre,OL,6-5,305.0,Sr.*,4L,Ole Miss,"Buford, Ga. / Buford",,,
78,,57.0,Micah Pettus,OL,6-7,360.0,So.,1L,Ole Miss,"Madison, Ala. / James Clemens",,,
79,,58.0,Demarcus Smith,DT,6-3,295.0,So.,SQ,Ole Miss,"Birmingham, Ala. / A.H. Parker",,,
80,,65.0,Alec Grijalva,OL,6-4,280.0,Fr.,RS,Ole Miss,"Leesburg, Va. / Heritage",,,
81,,66.0,Cedrick Nicely,OL,6-5,310.0,So.,1L,Ole Miss,"Gainesville, Ga. / Gainesville",,,
82,,67.0,Quincy McGee,OL,6-4,320.0,Sr.,TR,Ole Miss,"Hattiesburg, Miss. / Hattiesburg",UAB,,
83,,68.0,Jack Mills,OL,6-2,324.0,Jr.,TR,Ole Miss,"Medfield, Mass. / Dexter Southfield",Georgetown,,
84,,71.0,Jayden Williams,OL,6-5,300.0,So.,1L,Ole Miss,"Conway, Ark. / Conway",,,
85,,73.0,Eli Acker,OL,6-5,295.0,Jr.,3L,Ole Miss,"Columbus, Miss. / Heritage Academy",,,
86,,75.0,Brycen Sanders,OL,6-6,295.0,Fr.,HS,Ole Miss,"Chattanooga, Tenn. / Baylor School",,,
87,,76.0,Cedric Melton,OL,6-5,300.0,Jr.,2L,Ole Miss,"Houston, Texas / Klein Cain",,,
88,,77.0,Victor Curne,OL,6-4,220.0,Sr.,TR,Ole Miss,"Houston, Texas / Second Baptist",Washington,,
89,,78.0,Jeremy James,OL,6-5,305.0,Sr.*,4L,Ole Miss,"Cumming, Ga. / North Forsyth",,,
90,,79.0,Cam East,OL,6-7,280.0,Fr.,RS,Ole Miss,"Marrero, La. / St. Augustine",,,
91,,80.0,Jayvontay Conner,TE,6-4,220.0,Fr.,HS,Ole Miss,"Winston-Salem, N.C. / East Forsyth",,,
92,,81.0,Casey Kelly,TE,6-3,255.0,Sr.*,4L,Ole Miss,"Niagara Falls, N.Y. / Mallard Creek",,,
93,,82.0,Larry Simmons,WR,6-1,190.0,Fr.,RS,Ole Miss,"Moss Point, Miss. / Moss Point",,,
94,,83.0,Lex Boucvalt,WR,5-7,155.0,Jr.,1L,Ole Miss,"Austin, Texas / Grapevine Faith",Nicholls State,,
95,,83.0,Cayden Lee,WR,5-11,175.0,Fr.,HS,Ole Miss,"Kennesaw, Ga. / Kennesaw Mountain",,,
96,,84.0,Qua Davis,WR,5-11,210.0,Sr.,2L,Ole Miss,"Biggersville, Miss. / Biggersville",Itawamba CC,,
97,,85.0,Jeremiah Dillon,WR,6-2,175.0,Fr.,RS,Ole Miss,"Tylertown, Miss. / Tylertown",,,
98,,86.0,Caden Prieskorn,TE,6-5,255.0,Sr.*,TR,Ole Miss,"Lake Orion, Mich. / Orchard Lake HS",Memphis,,
99,,87.0,Hudson Wolfe,TE,6-7,230.0,So.,1L,Ole Miss,"Savannah, Tenn. / Hardin County",,,
100,,88.0,Bralon Brown,WR,6-2,195.0,So.,1L,Ole Miss,"Miramar, Fla. / St. Thomas Aquinas",,,
101,,89.0,Brandon Buckhaulter,WR,6-1,205.0,So.,1L,Ole Miss,"Flowood, Miss. / Hartfield Academy",,,
102,,89.0,JJ Pegues,DT,6-2,315.0,Sr.*,1L,Ole Miss,"Oxford, Miss. / Oxford",Auburn,,
103,,90.0,Tywone Malone,DT,6-4,300.0,So.,2L,Ole Miss,"Jamesburg, N.J. / Bergen Catholic",,,
104,,91.0,Quenton Kyles,DL,6-5,230.0,Jr.,HS,Ole Miss,"Horn Lake, Miss. / Horn Lake",,,
105,,92.0,JJ Hawkins,DE,6-2,265.0,So.,1L,Ole Miss,"Lawrenceville, Ga. / Discovery",,,
106,,93.0,Carter Short,LS,5-10,195.0,So.,1L,Ole Miss,"Hoover, Ala. / Hoover",Alabama,,
107,,94.0,Tavion Prather,DT,6-3,245.0,Jr.,RS,Ole Miss,"Oxford, Miss. / Lafayette",Northwest Mississippi CC,,
108,,94.0,Christian Schanefelt,K,6-0,200.0,Fr.,RS,Ole Miss,"Decatur, Ill. / Warrensburg-Latham",,,
109,,95.0,Ben Goubeaux,P,5-11,211.0,Fr.,HS,Ole Miss,"Oxford, Miss. / Oxford",,,
110,,97.0,Jamond Gordon,DT,6-2,290.0,Sr.*,2L,Ole Miss,"Meridian, Miss. / Meridian",East Mississippi CC,,
111,,98.0,Jaden Dicks,DE,6-4,270.0,Fr.,RS,Ole Miss,"Etobicoke, Ontario / Etobicoke",Guelph,,
112,,99.0,DeSanto Rollins,DT,6-3,305.0,Jr.,2L,Ole Miss,"Baton Rouge, La. / Parkview Baptist",,,
0,,,Lane Kiffin,,,,,,Ole Miss,,,,Head Coach
1,,,John David Baker,,,,,,Ole Miss,,,,Assistant Coach/Co-Offensive Coordinator/Tight Ends
2,,,John Garrison,,,,,,Ole Miss,,,,Assistant Coach/Offensive Line
3,,,Pete Golding,,,,,,Ole Miss,,,,Assistant Coach/Defensive Coordinator/Linebackers
4,,,Keynodo Hudson,,,,,,Ole Miss,,,,Assistant Coach/Cornerbacks
5,,,Randall Joyner,,,,,,Ole Miss,,,,Assistant Coach/Defensive Line
6,,,Wes Neighbors III,,,,,,Ole Miss,,,,Assistant Coach/Safeties
7,,,Derrick Nix,,,,,,Ole Miss,,,,Assistant Head Coach/Wide Receivers
8,,,Jake Schoonover,,,,,,Ole Miss,,,,Special Teams Coordinator
9,,,Kevin Smith,,,,,,Ole Miss,,,,Assistant Coach/Running Backs
10,,,Charlie Weis Jr.,,,,,,Ole Miss,,,,Assistant Coach/Co-Offensive Coordinator/Quarterbacks
11,,,Buddy Brosky,,,,,,Ole Miss,,,,Graduate Assistant - Defense
12,,,Heath Dedeaux,,,,,,Ole Miss,,,,Graduate Assistant - Offense
0,,,Austin Thomas,,,,,,Ole Miss,,,,Football Chief of Staff
1,,,Tom Luke,,,,,,Ole Miss,,,,Associate A.D. for Player Development
2,,,"Thaddeus Rivers, EdD",,,,,,Ole Miss,,,,Associate A.D. for Football Operations
3,,,Alex Collins,,,,,,Ole Miss,,,,Assistant A.D. for Recruiting Operations
4,,,Ken Crain,,,,,,Ole Miss,,,,Assistant A.D. for Equipment Operations
5,,,Zach Hamman,,,,,,Ole Miss,,,,Assistant A.D. for Creative Content
6,,,Mallikah Little,,,,,,Ole Miss,,,,Assistant A.D. for Player Personnel
7,,,Lou Spanos,,,,,,Ole Miss,,,,Lead Analyst
8,,,Patrick Carter,,,,,,Ole Miss,,,,Senior Analyst
9,,,Sterlin Gilbert,,,,,,Ole Miss,,,,Senior Analyst
10,,,Michael Nysewander,,,,,,Ole Miss,,,,Senior Analyst
11,,,Dane Stevens,,,,,,Ole Miss,,,,Senior Analyst
12,,,DP Eyman,,,,,,Ole Miss,,,,Analyst
13,,,Enrique Davis,,,,,,Ole Miss,,,,Analyst
14,,,Brandon Deaderick,,,,,,Ole Miss,,,,Analyst
15,,,Monte Kiffin,,,,,,Ole Miss,,,,Analyst
16,,,Hunter MacKay,,,,,,Ole Miss,,,,Analyst
17,,,Fisher Ray,,,,,,Ole Miss,,,,Analyst
18,,,Kody Schexnayder,,,,,,Ole Miss,,,,Analyst
19,,,Nick Savage,,,,,,Ole Miss,,,,Head Football Strength and Conditioning Coach
20,,,Zack Akenberger,,,,,,Ole Miss,,,,Associate Head Football Strength and Conditioning Coach
21,,,Anthony Henderson,,,,,,Ole Miss,,,,Assistant Football Strength and Conditioning Coach
22,,,Jordan Sims,,,,,,Ole Miss,,,,Assistant Football Strength and Conditioning Coach
23,,,DeVante Wilson,,,,,,Ole Miss,,,,Assistant Football Strength and Conditioning Coach
24,,,Beth Schwartz,,,,,,Ole Miss,,,,Director of Sports Nutrition
25,,,MacKenzie Morris,,,,,,Ole Miss,,,,Director of Recruiting
26,,,Addisyn Goodson,,,,,,Ole Miss,,,,Assistant Director of On-Campus Recruiting
27,,,Kelvin Bolden,,,,,,Ole Miss,,,,Coordinator of Recruiting Strategy
28,,,Preston TIffany,,,,,,Ole Miss,,,,Director of Player Personnel
29,,,Alex Faulk,,,,,,Ole Miss,,,,Director of High School & Junior College Relations
30,,,Chelsea Vaughn,,,,,,Ole Miss,,,,Assistant Director of Player Development
31,,,Rishi Desai,,,,,,Ole Miss,,,,Director of Scouting
32,,,Luci Strickland,,,,,,Ole Miss,,,,Coordinator of Football Operations
33,,,Tyler Viens,,,,,,Ole Miss,,,,Coordinator of Football Operations
34,,,Fisher Adkins,,,,,,Ole Miss,,,,Manager of Creative Media
35,,,Andrew McDowell,,,,,,Ole Miss,,,,Assistant Equipment Manager
36,,,Pat Jernigan,,,,,,Ole Miss,,,,Head Football Athletic Trainer
37,,,Kevin Keys,,,,,,Ole Miss,,,,Assistant Football Athletic Trainer
38,,,Mitchell Mazur,,,,,,Ole Miss,,,,Assistant Football Athletic Trainer
39,,,Nate Yost,,,,,,Ole Miss,,,,Assistant Athletic Trainer - Football
40,,,Matthew Engelbert,,,,,,Ole Miss,,,,Coordinator of Football Video Services
41,,,Kate de Steuben,,,,,,Ole Miss,,,,Assistant Coordinator of Video Services
42,,,Cam Aiken,,,,,,Ole Miss,,,,Offensive Assistant
43,,,Jay Shoop,,,,,,Ole Miss,,,,Defensive Assistant
44,,,Maddy Gallegos,,,,,,Ole Miss,,,,Recruiting Assistant
45,,,Jonathan Hess,,,,,,Ole Miss,,,,Recruiting Assistant
46,,,Connor Lawson,,,,,,Ole Miss,,,,Player Personnel Assistant
47,,,Megan McCurdy,,,,,,Ole Miss,,,,Assistant to the Head Coach
48,,,Alicia VanLandeghem,,,,,,Ole Miss,,,,Administrative Support Specialist
