,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Hometown / High School,Current School Name,Previous School,Image,Title
35,,26.0,Sterling Webb,DL,6-2,265.0,So.,"St. Louis, Mo. / Westminster Christian Academy",New Mexico State,,,
36,,28.0,Jaden Robinson,DE,6-5,215.0,So.,"Dallas, Texas / Episcopal School of Dallas",New Mexico State,,,
37,,30.0,Randy Robinson,,5-11,185.0,R-Sr.,"Philadelphia, Pa. / Chandler HS",New Mexico State,Garden City CC,,
38,,34.0,Pierce Humpich,LB,6-3,210.0,So.,"Louisville, Ky. / Eastern HS",New Mexico State,,,
39,,34.0,Ethan Singleton,WR,5-10,170.0,R-So.,/,New Mexico State,,,
40,,37.0,Johnny Tamayo IV,DB,5-11,190.0,R-Jr.,"Pearland, Texas / Pearland",New Mexico State,,,
41,,38.0,Alex Sanchez,LB,6-0,200.0,Jr.,"Mesa, Ariz. / Skyline HS",New Mexico State,,,
42,,39.0,Isaac Gallegos,DB,6-0,195.0,R-So.,"North Hollywood, Calif. / Chaminade College Preparatory HS",New Mexico State,,,
43,,40.0,Buddha Peleti,LB,6-1,235.0,So.,"Adelanto, Calif. / Oak Hills HS",New Mexico State,,,
44,,41.0,Garrett Wojcik,DB,6-1,180.0,R-So.,"Surprise, Ariz. / Willow Canyon HS",New Mexico State,,,
45,,42.0,Noah Arinze,DL,6-6,265.0,Sr.,"Kirkwood, Mo. / Webster Groves HS",New Mexico State,Oklahoma,,
46,,44.0,Logan MacGregor,LS,6-2,220.0,R-So.,"Gilbert, Ariz. / Highland",New Mexico State,,,
47,,45.0,Ben Tobin,DB,5-11,195.0,R-So.,"Phoenix, Ariz. / Scottsdale Christian Academy",New Mexico State,,,
48,,47.0,Logan Fuller,K,6-0,210.0,So.,"Albuquerque, N.M. / Hope Christian HS",New Mexico State,,,
49,,49.0,Jaxon Heil,DB,5-8,195.0,So.,"Denver, Colo. / Mullen HS",New Mexico State,,,
50,,49.0,Gabe Peterson,LB,6-2,250.0,So.,"Overland Park, Kan. / Blue Valley Northwest HS",New Mexico State,,,
51,,51.0,R.J. Chakolis,ILB,5-10,225.0,So.,"Minneapolis, Minn. / Hopkins HS",New Mexico State,,,
52,,51.0,AJ Vaipulu,OL,6-2,285.0,So.,"Riverside, Calif. / Centennial HS",New Mexico State,,,
53,,52.0,Cooper Sheehan,OL,6-4,290.0,So.,"Odessa, Texas / Permian HS",New Mexico State,,,
54,,53.0,Tobin Hacket,LB,6-3,215.0,So.,"Daytona Beach, Fla. / Flagler Palm Coast HS",New Mexico State,Eastern Arizona College,,
55,,54.0,Isaiah Mursalat,OL,6-4,305.0,R-Sr.,"Scottsdale, Ariz. / Horizon",New Mexico State,,,
56,,56.0,Canaan Yarro,OL,6-1,295.0,R-Jr.,"Provo, Utah / Timpview HS",New Mexico State,Southern Utah,,
57,,57.0,Bryant Jackson,LB,6-0,220.0,Sr.,"Chandler, Ariz. / Chandler HS",New Mexico State,,,
58,,58.0,Sioeli Helu,DL,6-2,285.0,R-So.,"San Mateo, Calif. / Junipero Serra",New Mexico State,,,
59,,59.0,Deven Dyer,DL,6-2,260.0,So.,"Albuquerque, N.M. / La Cueva HS",New Mexico State,,,
60,,63.0,Garrett Bishop,OL,6-3,300.0,Jr.,"Arvada, Colo. / Pomona",New Mexico State,,,
61,,66.0,Louie Canepa,OL,6-3,320.0,So.,"Napa, Calif. / Vintage",New Mexico State,,,
62,,71.0,Shiyazh Pete,OT,6-8,287.0,R-So.,"Missoula, Mont. / Shiprock HS",New Mexico State,,,
63,,72.0,Jai Rodriquez,OL,6-6,275.0,So.,"Phoenix, Ariz. / Desert Vista HS",New Mexico State,,,
64,,73.0,Will Thomas,OL,6-7,305.0,So.,"Tulsa, Okla. / Union HS",New Mexico State,,,
65,,74.0,Gannon Lauer,OL,6-6,285.0,So.,"Kailua, Hawai'i /",New Mexico State,,,
