,Statistic,#,Full Name,Pos.,Ht.,Wt.,Eligibility,Hometown / High School,Instagram,Twitter,Image,Name,Title
4,,,,,,,,,,,,Harlon Barnett,Secondary Coach
5,,,,,,,,,,,,Ross Els,Special Teams Coordinator
6,,,,,,,,,,,,Ted Gilmore,Tight Ends Coach
7,,,,,,,,,,,,Courtney Hawkins,Wide Receivers Coach
8,,,,,,,,,,,,Effrem Reed,Running Backs Coach
9,,,,,,,,,,,,Diron Reynolds,Defensive Line Coach
10,,,,,,,,,,,,Jim Salgado,Cornerbacks Coach
0,,,,,,,,,,,,Saeed Khalif,General Manager/Executive Director of Player Personnel and Recruiting
1,,,,,,,,,,,,Jason Novak,Head Coach - Strength and Conditioning (Football)
2,,,,,,,,,,,,Dr. Lorenzo Guess,Associate Head Strength & Conditioning Coach/Director of Player Enrichment
3,,,,,,,,,,,,Taylor Porter,Assistant Strength & Conditioning Coach / Football
4,,,,,,,,,,,,Joe Powell,Assistant Strength & Conditioning Coach / Football
5,,,,,,,,,,,,Paul Cipriano,Assistant Strength & Conditioning Coach / Football
6,,,,,,,,,,,,Rodney Freeman,Offensive Analyst
7,,,,,,,,,,,,TJ Hollowell,Defensive Analyst
8,,,,,,,,,,,,Nick Ruffing,Offensive Analyst
9,,,,,,,,,,,,Kenny Spencer,Special Teams Analyst
10,,,,,,,,,,,,Kevin Vickerson,Defensive Analyst
11,,,,,,,,,,,,Thomas Wells,Special Teams Analyst
12,,,,,,,,,,,,Ben Mathers,Director of Football Operations
13,,,,,,,,,,,,Darien Harris,Director of Player Relations & Program Advancement
14,,,,,,,,,,,,Simone Proulx,Director of Football Administration
15,,,,,,,,,,,,Thomas Wilcher,Director of Community and High School Relations
16,,,,,,,,,,,,Dr. Bill Burghardt,Director of Football Sport Science
17,,,,,,,,,,,,Amber Rinestine,Head Football Performance Dietitian
18,,,,,,,,,,,,Jensen Gebhardt,Recruiting Coordinator
19,,,,,,,,,,,,Grant Klaver,Special Assistant to the Head Coach
20,,,,,,,,,,,,Sean Levy,Assistant Director of Player Personnel
21,,,,,,,,,,,,James Kirkland,Recruiting Personnel Specialist
22,,,,,,,,,,,,Diamond Boston,Recruiting Coordinator
23,,,,,,,,,,,,Elyse Appelblatt,Social Media Manager
24,,,,,,,,,,,,Colin Ludema,Director of Football Creative Video
25,,,,,,,,,,,,Ty Woodruff,Director of Football Technology
26,,,,,,,,,,,,Davis Walker,Assistant Director of Football Technology
27,,,,,,,,,,,,Chaz Davis,Assistant Director of Football Operations
28,,,,,,,,,,,,Cindy Mejorado,Office Assistant
29,,,,,,,,,,,,Gerren DuHart,Graduate Student Coach/Defense
30,,,,,,,,,,,,Bo Els,Graduate Student Coach/Defense
31,,,,,,,,,,,,Jacob Lail,Graduate Student Coach/Offense
32,,,,,,,,,,,,Jake Reiling,Offensive Intern
33,,,,,,,,,,,,Tyler Beachnau,Sport Science Intern
34,,,,,,,,,,,,Mason Ruddy,Special Teams Intern
35,,,,,,,,,,,,Zack Wojcik,Defensive Intern
