,Statistic,#,FULL NAME,POS.,HT.,WT.,Yr.,HOMETOWN,HIGH SCHOOL,PREVIOUS SCHOOL,MAJOR,Image,Name,Title
0,,1.0,Marqui Johnson,WR,5-8,163.0,Jr.,"Philadelphia, PA",Saguaro,Sacramento State,University Studies,,,
1,,2.0,Dru Polidore,S,6-2,181.0,So.,"Katy, TX",Tompkins,Air Force,,,,
2,,2.0,Clevan Thomas Jr.,WR,5-11,192.0,Gr.,"Miami, FL",Charles W. Flanagan,Kentucky,University Studies,,,
3,,3.0,Jared White,RB,5-10,202.0,Rf.,"Frisco, TX",Wakeland,,Kinesiology,,,
4,,4.0,Tommy Mellott,QB,6-0,209.0,Jr.,"Butte, MT",Butte,,Financial Engineering,,,
5,,5.0,Garrett Coon,RB,6-0,203.0,So.,"Sheridan, WY",Sheridan,,Health Enhancement,,,
6,,6.0,Miles Jackson,DB,5-11,190.0,Jr.,"Portland, OR",Central Catholic,,General Engineering,,,
7,,6.0,Ty McCullouch,WR,6-1,180.0,Jr.,"Moreno Valley, CA",Rancho Verde,Colorado State,,,,
8,,7.0,Kaegun Williams,RB,5-9,205.0,Gr.,"Cedar Hill, TX",Cedar Hill,San Diego State,Business Management,,,
9,,8.0,Level Price Jr.,S/N,5-8,194.0,Sr.,"Los Angeles, CA",St. John Bosco,,Business Marketing,,,
10,,8.0,Derryk Snell,TE,6-2,238.0,Sr.,"Anchorage, AK",Chugiak,,Liberal Studies,,,
11,,9.0,Luke Abshire,QB,6-1,180.0,Rf.,"Spokane, WA",Central Valley,,Secondary Education,,,
12,,9.0,Simeon Woodard,CB,5-10,173.0,Jr.,"San Antonio, TX",Veterans Memorial,,Biological Engineering,,,
13,,10.0,Sean Chambers,QB,6-3,228.0,Sr.,"Kerman, CA",Kerman,Wyoming,Liberal Studies,,,
14,,10.0,Brody Grebe,DE,6-2,247.0,Jr.,"Melstone, MT",Melstone/Roundup,Choates Academy,Mechanical Engineering,,,
15,,11.0,Kenneth Eiden IV,DE,6-1,241.0,So.,"Bozeman, MT",Bozeman,,Economics,,,
