,Statistic,#,Full Name,Pos.,Academic Year,Ht.,Wt.,Hometown / High School,Image,Name,Title
21,,22.0,Joshua Stakely,RB,Sr.,6-0,225.0,"Madisonville, Tenn. / Sequoyah",,,
22,,23.0,Tyler Smith,DB,Jr.,5-11,165.0,"Bryan’s Road, Md. / Landon School",,,
23,,24.0,Shane Stewart,RB,Jr.,5-11,198.0,"Sparta, N.J. / Saint Joseph Regional",,,
24,,25.0,Alpha Barry,DB,Fr.,6-1,175.0,"Newport, R.I. / St. George's School",,,
25,,26.0,Mason Gudger,RB,Fr.,5-9,175.0,"Greeneville, Tenn. / Greeneville",,,
26,,27.0,Wedner Cadet,DB,Fr.,6-1,170.0,"Wellesley, Mass. / Deerfield/Wellesley",,,
27,,28.0,Jamal Marshall,DB,Fr.,5-11,185.0,"Memphis, Tenn. / Fort Worth Christian",,,
28,,29.0,Jaden Dugger,DB,Fr.,6-4,200.0,"Pittsburgh, Pa. / Penn HIlls",,,
29,,30.0,Noah Carr,DB,Sr.,5-11,192.0,"Venice, Fla. / Venice",,,
30,,31.0,David Ealey III,DB,Jr.,5-11,213.0,"Miami, Fla. / Miami Palmetto",,,
31,,32.0,Naiteitei Mose,LB,Fr.,5-11,215.0,"Euless, Texas / Trinity",,,
32,,33.0,Jaiden Brown,DB,Fr.,6-0,215.0,"Lakewood, N.J. / Southern Regional",,,
33,,34.0,Jack Tishman,TE,Sr.,6-2,227.0,"Wellesley, Mass. / Wellesley / Loomis Chaffee",,,
34,,35.0,Justin Fonteneaux,LB,Gr.,6-1,215.0,"Houston, Texas / Lamar",,,
35,,37.0,Kolubah Pewee Jr.,DB,R-So.,5-11,170.0,"Staten Island, N.Y. / Tottenville",,,
36,,38.0,Kamren Watkins-Hunter,DB,So.,6-1,179.0,"Hartford, Conn. / Loomis Chaffee",,,
