,Statistic,#,Full Name,Pos.,Ht.,Wt.,Cl.,Hometown / High School,Current School Name,Image,Name,Title
6,,,,,,,,,Morgan State,,Richard Reddix,Offensive Line Coach
7,,,,,,,,,Morgan State,,Ramal Faunteroy,Defensive Line Coach
8,,,,,,,,,Morgan State,,Brawley Evans,Linebackers Coach
9,,,,,,,,,Morgan State,,Omarr Smith,Defensive Pass Game Coordinator/Cornerbacks
10,,,,,,,,,Morgan State,,Melvin Coleman,Safeties Coach
11,,,,,,,,,Morgan State,,Football Recruiting,
0,,,,,,,,,Morgan State,,Dr. Tredell Dorsey,Assistant AD - Sports Performance
1,,,,,,,,,Morgan State,,Caitlin Lovend,Head Athletic Trainer - Football
2,,,,,,,,,Morgan State,,Rasheda Spratley,Director of Football Operations
3,,,,,,,,,Morgan State,,Ethan Stokes,Video Coordinator Director
4,,,,,,,,,Morgan State,,Tommy King,Assistant Strength and Conditioning Coach
5,,,,,,,,,Morgan State,,Reuben Green,Assistant Strength and Conditioning Coach
6,,,,,,,,,Morgan State,,Nahki Oliver,Asst. Director of Equipment Operations
7,,,,,,,,,Morgan State,,Randolph Brent,Digital Media Coordinator
