,Statistic,#,Full Name,Pos.,Academic Year,Ht.,Wt.,Hometown,Current School Name,High School,Previous School,Image,Name,Title
0,,0.0,Koby Duru,WR,Sr.,6-2,200.0,"Diamond Bar, Calif.",McNeese State,Bishop Amat HS,San Diego State,,,
1,,2.0,Aalah Brown,WR,So.,5-10,185.0,"Valdosta, Ga.",McNeese State,Valdosta HS,Jackson State,,,
2,,5.0,Javon Davis,DB,So.,6-0,170.0,"River Ridge, La.",McNeese State,John Curtis Christian HS,,,,
3,,5.0,D'angelo Durham,RB,Sr.,6-1,200.0,"Augusta, Ga.",McNeese State,Grovetown HS,Savannah State,,,
4,,11.0,Dillon Simon,WR,R-So.,5-9,190.0,"Lake Charles, La.",McNeese State,Lake Charles College Prep,,,,
5,,11.0,Tag Stelly,WR,R-Fr.,5-11,185.0,"Sulphur, La.",McNeese State,Sulphur HS,,,,
6,,12.0,Cameron McCalister,QB,R-Fr.,6-3,165.0,"Friendswood, Texas",McNeese State,Clear Brook HS,,,,
7,,13.0,Ryan Roberts,QB,R-Fr.,6-0,185.0,"Lafayette, La.",McNeese State,Lafayette Christian Academy,,,,
8,,15.0,Jalen Johnson,WR,Jr.,5-9,175.0,"New Orleans, La.",McNeese State,Holy Cross HS,,,,
9,,18.0,Nathan Barnett,WR,R-Fr.,6-1,185.0,"Houston, Texas",McNeese State,Clear Brook HS,,,,
10,,19.0,Thomas Miles,DB,Jr.,6-1,192.0,"Alexandria, La.",McNeese State,Peabody Magnet High School,,,,
11,,19.0,Kerry Quashijah,DB,So.,5-10,180.0,"Cypress, Texas",McNeese State,Cypress Ranch HS,,,,
12,,21.0,Jayce Bludau,LB,R-Fr.,6-0,208.0,"Hallettsville, Texas",McNeese State,,Kilgore CC,,,
13,,22.0,Kyle Klink,TE,Sr.,6-4,245.0,"Middletown, Md.",McNeese State,Middletown HS,Harvard,,,
14,,23.0,Kameran Senegal,WR,So.,5-9,160.0,"Zachary, La.",McNeese State,Zachary HS,,,,
15,,24.0,Josh Parker,RB,Jr.,5-10,190.0,"Baton Rouge, La.",McNeese State,Catholic High School,,,,
16,,25.0,Joshon Barbie,RB,R-Fr.,5-9,180.0,"Harvey, La.",McNeese State,West Jefferson HS,,,,
17,,25.0,Darius Shields,DB,R-Jr.,5-10,184.0,"Houston, Texas",McNeese State,Lamar HS,,,,
18,,26.0,Richard Akers,DB,R-So.,5-11,160.0,"Baltimore, Md.",McNeese State,Milford Mill Academy,Shepherd College,,,
19,,27.0,Simeon Jones,WR,R-Fr.,6-1,185.0,"Lafayette, La.",McNeese State,Lafayette HS,,,,
20,,28.0,Joe Ward,DB,R-Fr.,5-11,170.0,"Lake Charles, La.",McNeese State,Lake Charles College Prep,,,,
21,,29.0,Jaylon Henry,WR,R-Fr.,6-0,180.0,"Baton Rouge, La.",McNeese State,Woodlawn Magnet HS,,,,
22,,30.0,CJ Moya,PK,Jr.,5-10,180.0,"Naples, Fla.",McNeese State,Palmetto Ridge,Hutchinson CC,,,
23,,31.0,Twillie Lovett,DB,Jr.,6-1,174.0,"Belle Chasse, La.",McNeese State,Belle Chasse HS,,,,
24,,32.0,Jerome Robinson,CB,So.,-,,,McNeese State,,,,,
25,,33.0,Crajaun Bennett,DB,So.,5-11,160.0,"Iowa, La.",McNeese State,Iowa HS,,,,
26,,33.0,Ivory Roberts,RB,Jr.,5-7,190.0,"Houston, Texas",McNeese State,Westfield HS,,,,
27,,34.0,Jordan Toaston,LB,So.,6-3,230.0,"Baton Rouge, La.",McNeese State,Baton Rouge Catholic HS,,,,
28,,35.0,Brandon Hayden,PK,R-Jr.,6-0,194.0,"Sulphur, La.",McNeese State,Sulphur High School,Louisiana College,,,
29,,36.0,Tremayne Evans,DB,R-Jr.,5-10,174.0,"Houston, Texas",McNeese State,Benjamin Davis High School,,,,
30,,36.0,Jarvis Newton,RB,R-Fr.,5-11,190.0,"Alexandria, La.",McNeese State,Alexandria Senior HS,,,,
