,Statistic,#,Full Name,Pos.,Ht.,Wt.,Year,Hometown,Current School Name,High School,Previous School,Image,Name,Title
77,,,Justin Brett,OL,6-0,260.0,R-Fr.,"Sandersville, GA",Mercer,Washington County HS,,,,
78,,,Nate Brooks,SAF,6-0,175.0,R-Fr.,"Kathleen, GA",Mercer,Veterans HS,,,,
79,,,Jamell Coast Jr.,RB,6-0,228.0,R-Fr.,"Savannah, GA",Mercer,New Hampstead HS,,,,
80,,,Adjatay Dabbs,WR,6-1,175.0,Fr.,"Greeneville, TN",Mercer,Greenville HS,,,,
81,,,Avery Ferris,OL,6-2,270.0,Fr.,"Auburn, AL",Mercer,Auburn HS,,,,
82,,,Walter Goggins,DL,6-2,260.0,Fr.,"Tuscumbia, AL",Mercer,Deshler HS,,,,
83,,,Reice Griffith,K,5-10,170.0,Fr.,"Pace, FL",Mercer,Pace HS,,,,
84,,,Elijah Heald,OL,6-5,300.0,R-Fr.,"Macon, GA",Mercer,Windsor Academy,,,,
85,,,Brayden Manley,DL,6-3,240.0,Fr.,"Vanceboro, NC",Mercer,West Craven HS,,,,
86,,,Tucker Mix,WR,5-10,170.0,R-Fr.,"Gray, GA",Mercer,Jones County HS,,,,
87,,,Tripp Slaton,LB,6-1,216.0,R-Fr.,"Newnan,GA",Mercer,Newnan HS,,,,
88,,,Brayden Smith,WR,5-11,170.0,Fr.,"Macon, GA",Mercer,Tattnall Square Academy,,,,
89,,,Mikeal Sullivan,WR,6-2,186.0,R-Fr.,"Augusta, GA",Mercer,Augusta Christian School,,,,
90,,,Donovan Watkins,SAF,6-0,170.0,Fr.,"Winnsboro, SC",Mercer,Fairfield Central HS,,,,
91,,,Tucker Wilson,LB,5-11,210.0,R-Fr.,"Springfield, GA",Mercer,Effingham County HS,,,,
0,,,,,,,,,Mercer,,,,Drew Cronic,Head Coach
1,,,,,,,,,Mercer,,,,David A. Cole,Associate Head Coach / Cornerbacks / Special Teams Coordinator
2,,,,,,,,,Mercer,,,,Bob Bodine,Offensive Coordinator / Offensive Line
3,,,,,,,,,Mercer,,,,Joel Taylor,Defensive Coordinator / Linebackers
4,,,,,,,,,Mercer,,,,Fred Jones,Run Game Coordinator / Running Backs
5,,,,,,,,,Mercer,,,,Mike Adams,Defensive Pass Game Coordinator / Safeties
6,,,,,,,,,Mercer,,,,La'Donte Harris,Pass Game Coordinator / Wide Receivers
7,,,,,,,,,Mercer,,,,Jimmy Long,Defensive Run Game Coordinator / Defensive Line
8,,,,,,,,,Mercer,,,,Sumner Ellis,KATS / Defensive Recruiting Coordinator
9,,,,,,,,,Mercer,,,,Kevin O'Brien,Tight Ends / Offensive Recruiting Coordinator
10,,,,,,,,,Mercer,,,,David Salmon,Quarterbacks / Video Coordinator
11,,,,,,,,,Mercer,,,,Markerious Bolden,Analyst - Defense
12,,,,,,,,,Mercer,,,,Roman Buchanan,Volunteer Assistant - Defense
13,,,,,,,,,Mercer,,,,Barry Brown,Analyst - Offense
14,,,,,,,,,Mercer,,,,To Be Announced,Volunteer Assistant - Offense
0,,,,,,,,,Mercer,,,,Bennett Houston,Director of Football Operations
1,,,,,,,,,Mercer,,,,Akiliyah Sumlin,Coordinator of On Campus Recruiting / Creative Services
2,,,,,,,,,Mercer,,,,Drew Tranum,Director of Football Equipment
3,,,,,,,,,Mercer,,,,Ryan Juarez,Associate A.D. for Sports Medicine (Football)
4,,,,,,,,,Mercer,,,,Katie Boltz,"Assistant Athletic Trainer (FB, Spirit)"
5,,,,,,,,,Mercer,,,,Lydia Binder,"Assistant Athletic Trainer (FB, Golf)"
6,,,,,,,,,Mercer,,,,Evan Barr,Director of Strength & Conditioning
7,,,,,,,,,Mercer,,,,Jackson Morris,Associate Director of Strength & Conditioning
8,,,,,,,,,Mercer,,,,Marques White,Assistant Director of Football Strength and Conditioning
9,,,,,,,,,Mercer,,,,Justin Browner,Assistant Football Strength and Conditioning
10,,,,,,,,,Mercer,,,,CJ Canfield,Strength and Conditioning Graduate Assistant
11,,,,,,,,,Mercer,,,,Parker Hicks,Strength and Conditioning Intern
12,,,,,,,,,Mercer,,,,Riley Turner,Data and Analytics
13,,,,,,,,,Mercer,,,,Jillian Humphries,Student Assistant / Operations
14,,,,,,,,,Mercer,,,,Aidan Higgins,Student Assistant / Operations
15,,,,,,,,,Mercer,,,,Daniel Tulk,Student Assistant / Operations
16,,,,,,,,,Mercer,,,,Austin Aldridge,Student Assistant / Operations
17,,,,,,,,,Mercer,,,,Christian Kaufman,Student Assistant / Video
18,,,,,,,,,Mercer,,,,Jalen DeDeaux,Student Assistant / Video
19,,,,,,,,,Mercer,,,,Mychael Hall,Student Assistant / Video
20,,,,,,,,,Mercer,,,,TJ Parks,Student Assistant / Video
21,,,,,,,,,Mercer,,,,Holman Deriso,Student Assistant / Video
22,,,,,,,,,Mercer,,,,Neena Maith,Student Assistant / Sports Medicine
23,,,,,,,,,Mercer,,,,Olivia Rooney,Student Assistant / Sports Medicine
24,,,,,,,,,Mercer,,,,Emma Padovano,Student Assistant / Sports Medicine
25,,,,,,,,,Mercer,,,,Abby Suggs,Student Assistant / Creative Services
26,,,,,,,,,Mercer,,,,Aubree Bethune,Student Assistant / Creative Services
