,Statistic,#,Full Name,Pos.,Ht.,Wt.,Year,Hometown / High School,Current School Name,Image,Name,Title
9,,,,,,,,,New Hampshire,,Randall Jette,"Assistant Coach, CB"
10,,,,,,,,,New Hampshire,,Charles Watkins,"Assistant Coach, WR"
11,,,,,,,,,New Hampshire,,Jesse Goldberger,Director of Operations
12,,,,,,,,,New Hampshire,,Justin McMullen,Director of Player Personnel / Video Coordinator
0,,,,,,,,,New Hampshire,,Paul Chapman,Director of Strength & Conditioning
1,,,,,,,,,New Hampshire,,Jon Dana,Director of Sports Medicine
2,,,,,,,,,New Hampshire,,Cindy Michaud,Assistant Athletic Trainer
3,,,,,,,,,New Hampshire,,Cameron Reinbold,Student Manager
4,,,,,,,,,New Hampshire,,Mike Murphy,"Associate Athletic Director, Marketing & Communications (FB)"
5,,,,,,,,,New Hampshire,,Doug Poole,"Associate Director, Athletic Communications (FH, FB-secondary, WHOC, WLAX)"
6,,,,,,,,,New Hampshire,,Nicole Vuncanon,Student Recruiting and Social Media Assistant
7,,,,,,,,,New Hampshire,,Madison Roberge,Student Recruiting and Social Media Assistant
8,,,,,,,,,New Hampshire,,Jordan Sheehan,Student Recruiting Assistant
9,,,,,,,,,New Hampshire,,Madison Fleming,Student Social Media Assistant
10,,,,,,,,,New Hampshire,,Maya Patrosz,Student Recruiting Assistant
11,,,,,,,,,New Hampshire,,Delainey McGovern,Student Recruiting Assistant
12,,,,,,,,,New Hampshire,,Megan Colby,Student Social Media Assistant
