,Statistic,#,Full Name,Pos.,Ht.,Wt.,Class,School,Current School Name,Hometown / High School,Image,Name,Title
69,,87.0,Jordan Kelley,WR,6-2,175.0,So.,CC,Columbia,"Refugio, Texas / Refugio H.S.",,,
70,,88.0,Stryker Leschber,TE,6-4,250.0,So.,CC,Columbia,"Thorndale, Texas / Thorndale H.S.",,,
71,,89.0,Drew Davis,DL,6-3,255.0,Sr.,CC,Columbia,"Upper Arlington, Ohio / Bishop Watterson H.S.",,,
72,,89.0,James Miller,TE,6-4,245.0,Sr.,CC,Columbia,"Ridgewood, N.J. / Ridgewood H.S.",,,
73,,91.0,John Martin,DL,6-3,345.0,Jr.,CC,Columbia,"New Orleans, La. / De La Salle H.S.",,,
74,,92.0,Elias Barrett,DL,6-3,235.0,So.,CC,Columbia,"Wheatley Heights, N.Y. / Half Hollow Hills East H.S.",,,
75,,93.0,Shawn Lin,DL,6-5,250.0,So.,CC,Columbia,"Newport Beach, Calif. / Loyola H.S.",,,
76,,94.0,Reid Spachman,DL,6-3,255.0,Sr.,CC,Columbia,"Overland Park, Kansas / Blue Valley North H.S.",,,
77,,95.0,David Garland,DL,6-2,230.0,So.,GS,Columbia,"Springfield, Mo. / Glendale",,,
78,,97.0,William Hughes,PK/P,6-0,155.0,Sr.,CC,Columbia,"Fairfax, Va. / Chantilly H.S.",,,
79,,97.0,Owen Thomas,DL,6-3,245.0,So.,CC,Columbia,"Centreville, Va. / Westfield H.S. /",,,
0,,,,,,,,,Columbia,,,Al Bagnoli,Patricia and Shepard Alexander Head Coach of Football
1,,,,,,,,,Columbia,,,Mark Fabish,Offensive Coordinator/Tight Ends Coach
2,,,,,,,,,Columbia,,,Jon McLaughlin,Offensive Line Coach/Associate Head Coach
3,,,,,,,,,Columbia,,,Justin Stovall,Defensive Coordinator
4,,,,,,,,,Columbia,,,Joe D'Orazio,Running Backs Coach/Offensive Run Game Coordinator
5,,,,,,,,,Columbia,,,Jerry Taylor,Wide Receivers Coach/Offensive Pass Game Coordinator
