,Statistic,#,Full Name,Pos.,Ht.,Wt.,Year,Exp.,Current School Name,Hometown,High School,College,Image,Name,Title
85,,,Donte Hookfin,DL,6-3,240.0,Fr.,HS,Portland State,"North Las Vegas, NV",Mojave,,,,
86,,,Jayden House,DL,6-2,250.0,Fr.,HS,Portland State,"Las Vegas, NV",Bishop Gorman,,,,
87,,,DeMarcus Houston,DB,6-2,185.0,Fr.,HS,Portland State,,,,,,
88,,,Kristian Ingman,TE,6-5,235.0,Fr.,HS,Portland State,"Reno, NV",Bishop Manogue,,,,
89,,,Tristan Lewis,OL,6-5,275.0,Fr.,HS,Portland State,"Eatonville, WA",Eatonville,,,,
90,,,Kamren Marsh,DL,6-3,250.0,Fr.,HS,Portland State,"Corona, CA",Santiago,,,,
91,,,Michael Montgomery,LB,6-3,230.0,Fr.,HS,Portland State,"Seattle, WA",Garfield,,,,
92,,,Alex Navarro-Silva,DL,6-5,290.0,Jr.,JC,Portland State,"Chino, CA",Don Antonio Lugo,Riverside CC,,,
93,,,Isaac Perez,OL,6-3,305.0,Fr.,HS,Portland State,"Corona, CA",Centennial,,,,
94,,,Kimani Quade,WR,5-10,185.0,So.,RS,Portland State,"Eugene, OR",Churchill,Riverside CC,,,
95,,,Nate Richter,ATH,6-3,220.0,Fr.,HS,Portland State,"Henderson, NV",Green Valley,,,,
96,,,Jazel Riley,QB,6-1,205.0,Fr.,HS,Portland State,"Lakewood, CO",Golden,,,,
97,,,Pryce Roberts,OL,6-5,290.0,Fr.,HS,Portland State,"Woodinville, WA",Woodinville,,,,
98,,,Delon Thompson,RB,5-9,200.0,Fr.,HS,Portland State,"Newbury Park, CA",St. Bonaventure,,,,
99,,,Zach Wusstig,DB,6-1,185.0,Fr.,HS,Portland State,"Jefferson, OR",South Salem,,,,
0,,,,,,,,,Portland State,,,,,Bruce Barnum,Head Coach
1,,,,,,,,,Portland State,,,,,AC Patterson,Offensive Coordinator/Running Backs
2,,,,,,,,,Portland State,,,,,Matt Leunen,Run-Game Coordinator/Offensive Line
3,,,,,,,,,Portland State,,,,,Colin Fry,Co-Defensive Coordinator/Defensive Backs
4,,,,,,,,,Portland State,,,,,Mark Rhea,Co-Defensive Coordinator/Defensive Line
5,,,,,,,,,Portland State,,,,,John Ely,Linebackers
6,,,,,,,,,Portland State,,,,,Kieran McDonagh,Quarterbacks
7,,,,,,,,,Portland State,,,,,Darnell Adams,Wide Receivers
8,,,,,,,,,Portland State,,,,,Marcus Gray,Graduate Student/Offensive Assistant
0,,,,,,,,,Portland State,,,,,Terry Davis,Director of Player Personnel/Recruiting Coordinator
1,,,,,,,,,Portland State,,,,,Sydnee Hay,Football Operations/Executive Assistant
